Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
I. Ayo,Highhlaands,DF,22,1999,4.4,-0.01,1.09,0.24,19.91,1.15,0.2,-0.02,0.05,,0.04,0.08,Tournament,2020,,,,,,
J. Nakigudde,Highhlaands,DF,32,1989,4.2,-0.09,0.47,0,0.03,0.47,0.06,-0.04,,,0.07,0.05,Tournament,2020,,,,,,
R. Navarro,Highhlaands,DF,33,1988,2.41,0.03,0.45,0.33,99.98,0.47,0.5,-0.08,-0.08,,0.05,0.07,Tournament,2020,,,,,,
R. Tembo,Highhlaands,DF,29,1992,2.02,0.05,0.57,0.51,99.94,0.59,0.43,0.01,0,,0.07,-0.03,Tournament,2020,,,,,,
S. Nassali,Highhlaands,DFMF,30,1991,2.46,-0.02,0.08,-0.06,,-0.03,0.02,,,,0.02,0.09,Tournament,2020,,,,,,
B. Kintu,Highhlaands,FW,30,1991,2.07,0.54,2.99,0.51,16.71,3.07,0.49,0.17,0.92,,-0.08,-0.06,Tournament,2020,,,,,,
M. Komugisha,Highhlaands,FW,34,1987,0.74,0.07,-0.05,-0.02,,0.07,-0.09,,,,0.04,-0.06,Tournament,2020,,,,,,
M. Salisu,Highhlaands,FW,22,1998,0.22,0.05,-0.1,0.04,,0.01,-0.05,,,,-0.08,0.02,Tournament,2020,,,,,,
W. Schulze,Highhlaands,FW,29,1992,3.7,-0.04,0.6,0.51,100,0.46,0.6,-0.02,-0.09,,0.05,0.08,Tournament,2020,,,,,,
Q. binti Ismail,Highhlaands,FWMF,31,1990,2.63,0.42,2.22,1.54,66.6,2.22,1.52,0.14,0.34,,0.05,0.06,Tournament,2020,,,,,,
D. Adokorach,Highhlaands,GK,33,1988,0.97,-0.09,-0.05,0.03,,0.02,0.07,,,,-0.08,0.07,Tournament,2020,,,,,,
W. Akena,Highhlaands,GK,37,1984,2,0.06,-0.08,0.08,,-0.1,-0.04,,,,-0.02,0.03,Tournament,2020,,,,,,
Y. Tsua,Highhlaands,GK,25,1996,3.07,-0.08,0.08,-0.05,,0.01,0.06,,,,0.09,0.04,Tournament,2020,,,,,,
A. Aber,Highhlaands,MF,27,1994,0.69,-0.01,-0.07,0.06,,-0.02,0,,,,0.03,0.07,Tournament,2020,,,,,,
C. Vang,Highhlaands,MF,25,1996,1.8,0.54,0.58,0.59,99.99,0.64,0.51,1.04,1.07,,-0.03,-0.09,Tournament,2020,,,,,,
K. Nguyen,Highhlaands,MF,28,1993,2.47,-0.06,0.39,0.02,0.02,0.32,0.09,-0.07,,,-0.02,0.06,Tournament,2020,,,,,,
L. Arnaud,Highhlaands,MF,36,1985,2.96,-0.02,0.68,0.08,-0.04,0.77,-0.03,0.09,,,-0.01,0.06,Tournament,2020,,,,,,
O. Yamaguchi,Highhlaands,MF,31,1990,2.28,0.05,0.9,-0.02,-0.09,0.87,0.07,0.09,,,-0.04,0.03,Tournament,2020,,,,,,
O. Yeung,Highhlaands,MF,27,1994,0.94,-0.02,0.02,0.06,,-0.05,-0.08,,,,-0.08,-0.06,Tournament,2020,,,,,,
R. Nassaka,Highhlaands,MF,24,1997,2.09,0.09,0.86,0.43,49.97,0.88,0.51,0.03,-0.05,,-0.02,0.06,Tournament,2020,,,,,,
S. Tino,Highhlaands,MF,20,2001,0.13,-0.1,-0.09,0.04,,-0.08,0.09,,,,0.02,-0.06,Tournament,2020,,,,,,
Z. Atala,Highhlaands,MF,21,1999,1.82,0.1,0.45,0.05,-0.07,0.56,-0.01,-0.05,,,0.03,0.03,Tournament,2020,,,,,,
B. Marino,Highhlaands,MFDF,33,1988,3.47,-0.02,-0.09,-0.07,,0.06,0.08,,,,-0.03,0.07,Tournament,2020,,,,,,
G. Olanya,Highhlaands,MFDF,30,1991,2.61,-0.1,0.68,0,-0.06,0.72,-0.02,-0.04,,,-0.1,-0.08,Tournament,2020,,,,,,
L. Kidega,Highhlaands,MFDF,30,1991,5.12,-0.05,0.4,0.25,49.98,0.48,0.18,0.08,0.04,,-0.09,-0.04,Tournament,2020,,,,,,
P. Ferri,Highhlaands,MFDF,23,1998,2.8,-0.06,-0.03,-0.05,,0.01,0.03,,,,0.04,-0.06,Tournament,2020,,,,,,
A. Matama,Highhlaands,MFFW,26,1995,5.39,0.22,0.57,0.15,33.29,0.53,0.19,0.23,1.04,,0.03,0.09,Tournament,2020,,,,,,
A. Lewandowski,Humberstonia,DF,35,1986,4.09,0.25,0.56,0.28,50.02,0.44,0.17,0.47,1.1,,0.06,-0.02,Tournament,2020,,,,,,
B. Chakanyuka,Humberstonia,DF,34,1987,3,-0.03,-0.07,0.01,,0.02,-0.06,,,,-0.05,-0.01,Tournament,2020,,,,,,
C. Oryem,Humberstonia,DF,30,1991,2.96,0.02,-0.06,0,,0.02,-0.06,,,,-0.07,-0.05,Tournament,2020,,,,,,
H. Kayaga,Humberstonia,DF,31,1989,3.09,0.02,0.71,0.06,0.04,0.68,-0.08,0.09,,,0.06,-0.02,Tournament,2020,,,,,,
H. Nabaasa,Humberstonia,DF,24,1997,2.26,0.01,0.53,0.1,-0.07,0.41,0.01,0.03,,,-0.07,-0.05,Tournament,2020,,,,,,
I. Nsubuga,Humberstonia,DF,26,1994,3.11,-0.06,0.61,0.6,99.94,0.62,0.6,0.06,0.04,,0.01,-0.02,Tournament,2020,,,,,,
S. Kaya,Humberstonia,DF,35,1986,3.52,0.3,0.93,0.52,66.79,0.83,0.5,0.34,0.52,,0.08,-0.07,Tournament,2020,,,,,,
K. Carvalho,Humberstonia,DFMF,34,1987,1.29,-0.05,0.83,0.9,100.06,0.75,0.78,0.02,0.08,,0.05,-0.07,Tournament,2020,,,,,,
B. Mäkelä,Humberstonia,FW,33,1988,1.97,-0.09,1.52,0.55,33.31,1.57,0.52,-0.03,-0.07,,0.01,-0.06,Tournament,2020,,,,,,
L. Lor,Humberstonia,FW,25,1996,0.43,0.01,0.06,0.04,,0.09,-0.06,,,,-0.03,-0.1,Tournament,2020,,,,,,
M. Garnier,Humberstonia,FW,30,1991,0.52,-0.01,1.96,-0.01,0,1.78,0.03,-0.03,,,-0.04,0.08,Tournament,2020,,,,,,
M. Kralj,Humberstonia,FW,31,1989,4.2,0.3,2.11,0.66,33.36,2.02,0.77,0.09,0.31,,-0.02,-0.07,Tournament,2020,,,,,,
N. Kwikiriza,Humberstonia,FW,24,1997,0.28,-0.08,-0.05,-0.03,,-0.06,0.09,,,,-0.01,0.02,Tournament,2020,,,,,,
O. Anwar,Humberstonia,FW,24,1997,0.58,-0.03,1.74,-0.09,-0.02,1.6,0.02,0.08,,,-0.02,-0.02,Tournament,2020,,,,,,
U. Muhammad,Humberstonia,FW,23,1998,0.41,0.04,-0.03,-0.03,,0.01,0.09,,,,-0.05,0.1,Tournament,2020,,,,,,
X. B?rzi?š,Humberstonia,FW,23,1998,4.12,0.53,2.35,1.02,40.06,2.48,1.05,0.11,0.22,,0.21,0.19,Tournament,2020,,,,,,
G. Kavalio?,Humberstonia,GK,33,1988,3.09,0.02,-0.05,0.1,,0,-0.07,,,,-0.02,0.03,Tournament,2020,,,,,,
N. Golubovi?,Humberstonia,GK,32,1989,3.01,-0.05,-0.02,0.07,,-0.06,0.01,,,,0.04,0.09,Tournament,2020,,,,,,
B. Hosseini,Humberstonia,MF,22,1999,3.82,0.47,0.97,0.72,74.96,0.97,0.84,0.57,0.76,,0,-0.05,Tournament,2020,,,,,,
C. Mpirirwe,Humberstonia,MF,23,1998,0.67,0.08,2.85,-0.03,0.02,3.03,0.09,-0.07,,,-0.09,-0.04,Tournament,2020,,,,,,
E. Yakovenko,Humberstonia,MF,33,1988,1.89,0.07,0.45,-0.08,-0.05,0.59,0.1,0.01,,,-0.04,0.01,Tournament,2020,,,,,,
G. Tenywa,Humberstonia,MF,33,1988,2.72,0.05,0.67,0.41,50.06,0.81,0.41,0.04,-0.05,,0.07,-0.09,Tournament,2020,,,,,,
H. Ssemakula,Humberstonia,MF,36,1985,5.57,0.05,0.41,0.05,-0.07,0.29,0.09,-0.03,,,-0.03,-0.09,Tournament,2020,,,,,,
K. Nandudu,Humberstonia,MF,26,1995,4.59,0.52,1.92,0.84,44.38,1.88,0.9,0.21,0.44,,-0.08,-0.08,Tournament,2020,,,,,,
S. Mhamid,Humberstonia,MF,31,1990,0.96,-0.02,1.13,-0.06,0.06,1.06,-0.03,-0.08,,,0.02,0.1,Tournament,2020,,,,,,
X. Garba,Humberstonia,MF,29,1992,0.45,-0.04,0.08,-0.04,,-0.08,0.07,,,,0.1,-0.06,Tournament,2020,,,,,,
H. De Santis,Humberstonia,MFDF,24,1997,3.84,0.18,0.46,0.25,50.06,0.56,0.24,0.59,1.07,,-0.03,0.01,Tournament,2020,,,,,,
A. Idris,Ili Siaco,DF,30,1991,1.92,-0.04,0.04,0,,-0.04,-0.09,,,,0.05,-0.01,Tournament,2020,,,,,,
B. It?,Ili Siaco,DF,24,1997,0.08,-0.04,-0.09,0.05,,-0.08,-0.07,,,,0.08,-0.04,Tournament,2020,,,,,,
F. Silva,Ili Siaco,DF,32,1989,4.08,0.24,0.46,0.45,100.06,0.53,0.45,0.43,0.47,,0.09,0.07,Tournament,2020,,,,,,
K. Kakooza,Ili Siaco,DF,27,1994,4.95,-0.03,0.59,0.22,33.36,0.68,0.15,0.04,-0.03,,-0.1,-0.08,Tournament,2020,,,,,,
M. Grigoryan,Ili Siaco,DF,24,1997,2.81,-0.02,0.39,0.09,0.08,0.3,-0.1,-0.06,,,-0.09,-0.04,Tournament,2020,,,,,,
M. Santos,Ili Siaco,DF,29,1992,3.2,-0.04,0.09,-0.03,,0.02,0.09,,,,0.02,-0.05,Tournament,2020,,,,,,
N. Zari?š,Ili Siaco,DF,27,1994,0.54,1.6,3.3,1.76,49.97,3.39,1.66,0.5,1,,0.07,0.06,Tournament,2020,,,,,,
P. Dubois,Ili Siaco,DF,30,1991,6.08,0.06,0.1,-0.07,0.07,0.13,-0.03,-0.09,,,0.04,-0.06,Tournament,2020,,,,,,
X. Katsande,Ili Siaco,DF,24,1997,0.16,0.07,-0.05,0.03,,-0.01,0.07,,,,-0.05,0.09,Tournament,2020,,,,,,
L. Natuhwera,Ili Siaco,FW,34,1987,1.54,0.76,1.41,0.57,50.09,1.22,0.62,0.43,1.04,,-0.01,0.09,Tournament,2020,,,,,,
N. Pedro,Ili Siaco,FW,28,1993,0.01,0.07,0.01,0.02,,-0.09,-0.01,,,,-0.03,0.01,Tournament,2020,,,,,,
U. Nakitende,Ili Siaco,FW,31,1990,5.6,0.69,1.92,1.41,72.68,1.92,1.43,0.32,0.59,,0.08,-0.07,Tournament,2020,,,,,,
X. Koranteng,Ili Siaco,FW,26,1995,0.82,-0.09,2.29,1.1,50.03,2.31,1.07,-0.04,0.09,,0.01,-0.04,Tournament,2020,,,,,,
R. Lestari,Ili Siaco,FWMF,24,1997,3.39,0.03,1.67,0.65,33.39,1.85,0.5,0.09,-0.04,,-0.09,-0.03,Tournament,2020,,,,,,
U. Katushabe,Ili Siaco,FWMF,30,1991,0.71,0,2.91,1.43,49.97,2.98,1.54,0.02,-0.05,,0.09,-0.06,Tournament,2020,,,,,,
F. Musiimenta,Ili Siaco,GK,35,1986,1.09,0.04,0.09,-0.08,,0.04,0.08,,,,-0.06,-0.04,Tournament,2020,,,,,,
H. Odyek,Ili Siaco,GK,29,1992,4.93,-0.04,0.1,-0.04,,-0.04,0.05,,,,-0.07,-0.07,Tournament,2020,,,,,,
F. Oluka,Ili Siaco,MF,35,1986,5.6,-0.07,0.82,0.08,0.09,0.7,0.08,-0.08,,,-0.04,0.08,Tournament,2020,,,,,,
K. Luká?,Ili Siaco,MF,25,1995,4.03,0.32,2.28,1.13,55.69,2.12,1.15,0.14,0.18,,0.05,-0.07,Tournament,2020,,,,,,
O. Nassanga,Ili Siaco,MF,29,1992,4.91,-0.07,0.95,0.58,59.98,1.11,0.66,-0.08,0.1,,0.01,0.15,Tournament,2020,,,,,,
R. Kond?,Ili Siaco,MF,25,1996,0.3,0.08,3.3,3.32,100.05,3.53,3.5,-0.07,-0.03,,-0.03,-0.03,Tournament,2020,,,,,,
S. Mugumya,Ili Siaco,MF,23,1998,0.02,-0.04,-0.04,-0.05,,-0.06,0.03,,,,0.04,0.08,Tournament,2020,,,,,,
T. Ishida,Ili Siaco,MF,31,1989,1.04,-0.01,0.95,-0.02,0.07,1.02,0.04,-0.01,,,0.09,-0.09,Tournament,2020,,,,,,
R. ?tsuka,Ili Siaco,MFDF,26,1995,2.88,0.37,0.98,0.43,33.33,1.12,0.32,0.36,1.09,,0.1,0,Tournament,2020,,,,,,
Y. Pavi?,Ili Siaco,MFFW,25,1996,5.22,0.06,2.42,0.84,30.78,2.44,0.7,-0.04,0.1,,-0.07,-0.04,Tournament,2020,,,,,,
A. Namagembe,Ingre,DF,24,1997,3.63,0,0.27,0.08,-0.01,0.29,0.02,0.02,,,-0.01,-0.03,Tournament,2020,,,,,,
C. Savi?,Ingre,DF,33,1987,3.82,-0.08,0.23,0.09,0.1,0.31,0.07,0,,,0.04,0.05,Tournament,2020,,,,,,
D. Bonsu,Ingre,DF,26,1995,4.03,-0.03,0.84,-0.02,0.07,0.82,0.04,-0.04,,,0.04,-0.08,Tournament,2020,,,,,,
D. Muwonge,Ingre,DF,25,1996,0.35,0.02,0.04,0,,-0.07,0.04,,,,-0.03,0.06,Tournament,2020,,,,,,
E. Khatoon,Ingre,DF,30,1991,1.95,-0.06,0.05,-0.02,,-0.01,0.08,,,,-0.08,0,Tournament,2020,,,,,,
F. Tugumisirize,Ingre,DF,27,1994,1.93,-0.06,-0.03,-0.08,,-0.03,-0.05,,,,-0.07,0.05,Tournament,2020,,,,,,
G. Kiggundu,Ingre,DF,33,1988,1.6,0.72,3.13,1.16,40.05,3.18,1.25,0.26,0.52,,0.07,-0.03,Tournament,2020,,,,,,
K. Marques,Ingre,DF,31,1990,0.12,0.05,0.1,0.08,,-0.03,-0.09,,,,-0.09,-0.01,Tournament,2020,,,,,,
M. Birabwa,Ingre,DF,27,1993,0.42,-0.08,0.06,-0.1,,-0.05,0.07,,,,0.09,0.03,Tournament,2020,,,,,,
N. Okiria,Ingre,DF,24,1997,0.11,-0.09,0.08,0.06,,-0.08,-0.03,,,,0.05,-0.02,Tournament,2020,,,,,,
V. Pawar,Ingre,DF,23,1997,4.07,-0.02,0.15,0.21,100.1,0.31,0.32,0.02,-0.05,,0.02,-0.02,Tournament,2020,,,,,,
X. Nazari,Ingre,DF,25,1996,1.8,-0.06,0.68,0.59,99.96,0.57,0.52,-0.02,0.05,,-0.05,0.02,Tournament,2020,,,,,,
M. Yoshida,Ingre,FW,22,1998,4.04,-0.04,2.74,1.39,54.51,2.7,1.47,-0.04,-0.05,,0.01,-0.05,Tournament,2020,,,,,,
R. Nanono,Ingre,FW,25,1996,0.88,-0.09,3.4,-0.08,-0.09,3.24,0.01,-0.01,,,0.06,-0.03,Tournament,2020,,,,,,
W. Winter,Ingre,FW,26,1994,0.65,-0.01,3.34,1.58,49.99,3.12,1.5,0.06,0,,-0.07,0.01,Tournament,2020,,,,,,
F. Nekesa,Ingre,FWMF,26,1995,0.59,-0.1,3.43,1.59,49.92,3.39,1.74,0.04,-0.06,,0.02,0.1,Tournament,2020,,,,,,
J. Konadu,Ingre,FWMF,24,1997,0.1,-0.1,-0.03,0.03,,0.03,-0.05,,,,-0.05,-0.01,Tournament,2020,,,,,,
L. Nachum,Ingre,FWMF,19,2002,0.64,-0.06,0.06,0.01,,0.03,-0.1,,,,0.04,0.05,Tournament,2020,,,,,,
Q. Waiswa,Ingre,FWMF,27,1994,0.51,-0.09,1.97,-0.04,0.04,1.81,-0.06,0.02,,,0.01,-0.04,Tournament,2020,,,,,,
N. Perkovi?,Ingre,GK,27,1994,3.95,0.06,0.02,0.07,,-0.05,0.02,,,,-0.04,0.1,Tournament,2020,,,,,,
U. Lieu,Ingre,GK,27,1994,2.09,0.07,0.07,0.08,,-0.05,-0.08,,,,-0.08,0.09,Tournament,2020,,,,,,
E. Simanjuntak,Ingre,MF,33,1988,5.42,0.07,0.65,0.19,33.33,0.49,0.15,0.04,-0.01,,0.04,0.04,Tournament,2020,,,,,,
K. Ayoo,Ingre,MF,28,1993,5.78,0.42,3.1,1.8,55.52,3.19,1.65,0.04,0.06,,0.07,0.43,Tournament,2020,,,,,,
K. Mansoor,Ingre,MF,29,1992,2.82,0.42,4.03,1.81,45.59,3.84,1.68,0.07,0.28,,0.08,-0.1,Tournament,2020,,,,,,
L. Ferretti,Ingre,MF,28,1993,4.91,0.05,0.67,0,0.07,0.61,0.08,-0.05,,,0.09,0.02,Tournament,2020,,,,,,
T. Othman,Ingre,MF,28,1993,0.5,-0.06,2.4,-0.09,-0.07,2.75,0,0.06,,,0.02,0.1,Tournament,2020,,,,,,
U. Aw,Ingre,MF,28,1993,1.5,0,2.09,0.1,-0.04,2.21,-0.08,0.04,,,0.03,-0.03,Tournament,2020,,,,,,
K. Hee,Ingre,MFFW,30,1991,2.53,0.3,2.43,0.47,16.66,2.37,0.39,0.18,1,,0.01,-0.07,Tournament,2020,,,,,,
X. De Vries,Ingre,MFFW,23,1998,5.55,0.26,2.13,1.01,50.08,2.22,1.12,0,0.24,,0.08,0.05,Tournament,2020,,,,,,
E. Chai,Isle of Jabber,DF,21,1999,4.07,-0.08,0.17,0.06,0.06,0.22,0.02,-0.01,,,-0.1,-0.02,Tournament,2020,,,,,,
L. Nalweyiso,Isle of Jabber,DF,31,1990,4.6,-0.09,0.15,0.04,0.01,0.31,-0.09,-0.04,,,-0.09,0.08,Tournament,2020,,,,,,
M. Agaba,Isle of Jabber,DF,32,1989,2.41,0.02,-0.05,0.02,,0.01,-0.05,,,,0,-0.01,Tournament,2020,,,,,,
M. Walter,Isle of Jabber,DF,33,1988,1.07,-0.07,0,0.05,,0.08,0.04,,,,0.02,0.03,Tournament,2020,,,,,,
R. Nyoni,Isle of Jabber,DF,31,1990,2.99,-0.01,0.41,0.38,100.1,0.28,0.24,0.06,0.03,,-0.1,0,Tournament,2020,,,,,,
R. Tso,Isle of Jabber,DF,28,1993,1.91,-0.02,1.55,-0.09,0.07,1.57,0.04,0.09,,,0.01,-0.05,Tournament,2020,,,,,,
A. Vieira,Isle of Jabber,DFMF,29,1992,3.07,-0.01,0.3,0.06,-0.02,0.39,0.09,0.04,,,-0.06,-0.06,Tournament,2020,,,,,,
S. Shabani,Isle of Jabber,DFMF,29,1992,0.11,-0.02,4.95,-0.08,0.05,4,-0.03,-0.1,,,0.01,0.08,Tournament,2020,,,,,,
D. Alonso,Isle of Jabber,FW,24,1997,0.92,0.09,-0.05,-0.04,,0.09,-0.01,,,,0.06,0.05,Tournament,2020,,,,,,
G. Anyait,Isle of Jabber,FW,30,1991,1.92,0.01,2.02,0.6,24.95,1.94,0.55,0.06,0.08,,0.02,-0.05,Tournament,2020,,,,,,
G. Ndou,Isle of Jabber,FW,30,1991,0.42,0.06,0.06,-0.01,,-0.04,0.06,,,,-0.02,0.09,Tournament,2020,,,,,,
H. Lehner,Isle of Jabber,FW,24,1997,0.4,-0.07,0.03,-0.06,,-0.02,-0.04,,,,-0.04,-0.06,Tournament,2020,,,,,,
I. Jain,Isle of Jabber,FW,25,1996,2.05,0.06,-0.02,-0.06,,-0.04,-0.1,,,,0.02,0.09,Tournament,2020,,,,,,
N. Chin,Isle of Jabber,FW,28,1993,0.28,-0.07,0.04,-0.03,,0.06,0.01,,,,-0.03,0.08,Tournament,2020,,,,,,
N. Lewandowski,Isle of Jabber,FW,26,1995,3.96,0.54,2.62,1.29,50.06,2.53,1.35,0.19,0.34,,0.08,0.03,Tournament,2020,,,,,,
Q. Chiang,Isle of Jabber,FWMF,23,1998,2.38,0.46,1.83,0.9,50.06,1.85,0.95,0.21,0.59,,0.06,0,Tournament,2020,,,,,,
Q. Agyemang,Isle of Jabber,GK,28,1992,6.05,-0.05,-0.09,-0.1,,0.02,-0.08,,,,0.07,-0.06,Tournament,2020,,,,,,
A. Rahman,Isle of Jabber,MF,32,1989,-0.07,0.04,0.04,-0.03,,-0.02,-0.02,,,,-0.07,-0.07,Tournament,2020,,,,,,
D. Luhanga,Isle of Jabber,MF,31,1990,3.58,-0.03,1.71,0.83,50,1.7,0.77,-0.04,-0.02,,-0.05,-0.03,Tournament,2020,,,,,,
E. Sumiati,Isle of Jabber,MF,25,1996,1.36,-0.01,0.84,-0.09,-0.1,0.82,-0.09,-0.05,,,0.06,0,Tournament,2020,,,,,,
P. Gumisiriza,Isle of Jabber,MF,28,1992,2.65,-0.06,1.19,0.3,33.3,1.06,0.48,0.03,-0.05,,-0.08,0.08,Tournament,2020,,,,,,
P. Yeo,Isle of Jabber,MF,25,1996,5.19,-0.02,1.3,0.15,14.26,1.3,0.25,-0.09,-0.01,,0.02,-0.08,Tournament,2020,,,,,,
U. Claes,Isle of Jabber,MF,28,1993,0,-0.02,0,-0.04,,0.09,0.04,,,,-0.07,-0.08,Tournament,2020,,,,,,
D. Mariani,Isle of Jabber,MFDF,32,1989,1.88,0.01,1.13,-0.09,-0.05,1.21,0.06,0.02,,,-0.02,0.07,Tournament,2020,,,,,,
D. McLaughlin,Isle of Jabber,MFFW,28,1993,1.62,0.07,0.04,0.08,,-0.01,0.07,,,,-0.07,-0.07,Tournament,2020,,,,,,
K. Chisale,Isle of Jabber,MFFW,25,1996,3.96,0.06,1.23,1.1,79.97,1.34,0.96,0.09,0.08,,0.05,0.03,Tournament,2020,,,,,,
R. Luo,Isle of Jabber,MFFW,31,1990,3.74,0.04,1.57,0.01,-0.07,1.52,-0.07,-0.06,,,-0.01,0.01,Tournament,2020,,,,,,
X. Kasujja,Isle of Jabber,MFFW,28,1993,3.03,0.74,0.39,0.38,99.99,0.31,0.34,1.96,1.96,,0.07,-0.07,Tournament,2020,,,,,,
D. Tuominen,Isle of Lababwe,DF,31,1990,3.91,0.34,0.43,0.26,50.02,0.48,0.34,0.42,0.94,,-0.04,-0.03,Tournament,2020,,,,,,
G. Lunga,Isle of Lababwe,DF,29,1992,5.05,0.02,0.65,0.24,33.27,0.64,0.13,0.08,-0.04,,0.06,0.08,Tournament,2020,,,,,,
I. Sen,Isle of Lababwe,DF,26,1995,1.46,-0.03,0.01,-0.06,,-0.05,0.02,,,,0.04,0.09,Tournament,2020,,,,,,
L. Giordano,Isle of Lababwe,DF,28,1993,3.22,0.03,-0.1,-0.04,,-0.07,0.03,,,,0.05,0.1,Tournament,2020,,,,,,
V. Agyeman,Isle of Lababwe,DF,32,1989,0.09,-0.07,-0.04,-0.06,,0.07,0.03,,,,-0.09,-0.01,Tournament,2020,,,,,,
V. Mo,Isle of Lababwe,DF,28,1993,2.54,0.02,0.45,0,-0.02,0.41,0.07,0.04,,,-0.07,-0.08,Tournament,2020,,,,,,
W. Ouma,Isle of Lababwe,DF,31,1990,4.6,-0.06,-0.02,-0.02,,0.03,-0.07,,,,0.04,-0.04,Tournament,2020,,,,,,
P. Brun,Isle of Lababwe,DFMF,29,1992,3.84,0.24,0.55,0.52,99.99,0.55,0.48,0.41,0.57,,0,0.05,Tournament,2020,,,,,,
G. Tushemerirwe,Isle of Lababwe,FW,29,1992,0.9,0.07,0.92,0.08,0.08,0.96,-0.07,-0.02,,,0.08,0,Tournament,2020,,,,,,
O. Kateregga,Isle of Lababwe,FW,33,1987,4.87,0.21,1.93,1.05,55.6,1.82,1.05,0.2,0.29,,0.07,0.01,Tournament,2020,,,,,,
U. Ohana,Isle of Lababwe,FW,22,1999,1.14,0.1,5.39,0.94,16.73,5.6,1.03,0.02,-0.03,,0.05,0.07,Tournament,2020,,,,,,
Y. Marlina,Isle of Lababwe,FW,28,1993,0.99,1.09,0.97,1.03,99.99,1.04,0.93,0.97,1.01,,0,0.02,Tournament,2020,,,,,,
K. Nyo,Isle of Lababwe,FWMF,25,1996,0.25,0.08,4.9,-0.05,-0.04,5.95,-0.07,0.08,,,-0.03,0.07,Tournament,2020,,,,,,
F. Kasibante,Isle of Lababwe,GK,35,1986,5.95,-0.04,-0.05,-0.06,,-0.09,-0.07,,,,0.01,-0.05,Tournament,2020,,,,,,
B. Asiedu,Isle of Lababwe,MF,32,1989,2.03,0.49,0.97,0.49,49.99,1.09,0.41,0.03,-0.07,,0.5,0.53,Tournament,2020,,,,,,
D. Barbier,Isle of Lababwe,MF,33,1988,1.23,0.77,2.52,0.89,33.35,2.36,0.78,0.39,0.94,,-0.06,-0.04,Tournament,2020,,,,,,
F. Donkor,Isle of Lababwe,MF,26,1995,2.66,-0.04,1.24,0.06,0.08,1.15,0.01,-0.1,,,-0.03,-0.08,Tournament,2020,,,,,,
F. Mhone,Isle of Lababwe,MF,26,1995,1.48,0.01,2.78,0.7,25.06,2.79,0.74,-0.02,-0.07,,-0.09,0.03,Tournament,2020,,,,,,
G. Akumu,Isle of Lababwe,MF,26,1995,1.97,-0.04,-0.01,0.09,,0.06,-0.05,,,,-0.06,-0.09,Tournament,2020,,,,,,
I. Lange,Isle of Lababwe,MF,27,1994,0.35,-0.01,0.07,0.06,,0.06,-0.01,,,,0.06,0.07,Tournament,2020,,,,,,
M. Nakayenga,Isle of Lababwe,MF,24,1997,0.83,0.09,-0.05,0,,-0.1,-0.06,,,,-0.09,0.04,Tournament,2020,,,,,,
P. Jacobsen,Isle of Lababwe,MF,29,1992,0.34,-0.09,0.06,0.02,,-0.07,-0.08,,,,-0.03,0.02,Tournament,2020,,,,,,
Q. Twijukye,Isle of Lababwe,MF,29,1992,1.64,0.66,1.69,0.67,33.33,1.72,0.51,0.25,0.96,,0.04,-0.06,Tournament,2020,,,,,,
T. Hossein,Isle of Lababwe,MF,29,1992,4.16,0.27,-0.1,-0.05,,-0.01,0.08,,,,0.07,0.06,Tournament,2020,,,,,,
W. Yani,Isle of Lababwe,MF,34,1987,5.58,0.01,0.64,0.05,0.08,0.48,0.07,-0.09,,,0.04,-0.09,Tournament,2020,,,,,,
R. Wilson,Isle of Lababwe,MFFW,28,1993,5.36,0.18,4.05,1.67,40.81,4.01,1.74,-0.08,0.01,,0.24,0.26,Tournament,2020,,,,,,
B. Kazlo?ski,Iyan,DF,30,1990,4.05,-0.01,0.82,-0.05,0.03,0.8,0.09,-0.06,,,-0.04,0.09,Tournament,2020,,,,,,
H. Katushabe,Iyan,DF,28,1993,0.96,-0.05,-0.05,0.01,,-0.05,0.05,,,,0.03,-0.08,Tournament,2020,,,,,,
J. Dhliwayo,Iyan,DF,25,1996,3.9,0.32,0.17,0.31,99.96,0.33,0.24,1.06,1.03,,0.09,-0.08,Tournament,2020,,,,,,
L. Amolo,Iyan,DF,30,1991,1.98,0.02,2.04,0.97,50.04,1.98,0.95,-0.04,-0.05,,0,-0.06,Tournament,2020,,,,,,
O. Marchenko,Iyan,DF,33,1988,1.03,0.01,-0.09,0.09,,0.05,0.04,,,,-0.09,0.01,Tournament,2020,,,,,,
O. Rasmussen,Iyan,DF,28,1993,5.64,-0.03,0.47,0.3,66.77,0.51,0.43,-0.03,-0.09,,-0.08,0.07,Tournament,2020,,,,,,
O. Vu,Iyan,DF,24,1996,4.98,0.06,0.61,0.17,33.26,0.7,0.26,0.1,0.08,,-0.07,-0.07,Tournament,2020,,,,,,
G. Monti,Iyan,FW,26,1995,3.34,0.36,3.27,0.92,27.32,3.34,0.93,0.03,-0.08,,0.26,0.31,Tournament,2020,,,,,,
H. Jansons,Iyan,FW,20,2001,1.06,0.99,-0.01,-0.08,,-0.04,0.02,,,,1.02,1.05,Tournament,2020,,,,,,
