Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
W. Muchenje,Biarizea,DF,Simple Privateers,23,1996,10.63,0.18,0.48,0.09,20,0.38,0.04,0.14,0.99,18.5,0.12,0.09,0.06,0.08,0.04,0.05,-0.01,-0.02,B,2020
M. Ma,Central Namemo Laand,DF,Simple Privateers,18,2000,0.63,0.07,-0.07,-0.03,,0.03,0.07,,,,0.04,-0.03,-0.04,0.02,0.04,,0.08,-0.01,B,2020
X. Mostafa,Chadlau Loupenina,DF,Simple Privateers,30,1989,15.28,-0.05,0.54,0.07,-0.05,0.5,0.1,0.09,,22.92,-0.07,0.04,0.07,0.11,-0.07,0.07,0.05,-0.02,B,2020
J. Kinoshita,Czechnor,DF,Simple Privateers,31,1988,27.92,0.01,0.61,0.03,0.08,0.58,0.09,0.06,,12.98,-0.05,0.08,-0.08,-0.04,0.06,0.14,-0.01,-0.13,B,2020
H. Naluyima,Lenia Gerdanho,DF,Simple Privateers,24,1994,6,0.07,0.05,-0.09,,-0.06,-0.06,,,,0.05,-0.01,-0.02,0.06,-0.03,,0.06,-0.01,B,2020
H. Lefebvre,Reugha,DF,Simple Privateers,24,1994,7.44,0.05,0.77,0.07,19.95,0.65,0.05,0.01,-0.09,8.87,0.1,-0.03,-0.04,0.12,0.08,0.16,-0.04,-0.1,B,2020
U. Utomo,Dosqaly,FW,Simple Privateers,18,2000,0.3,0,3.32,-0.04,0.02,2.95,0.03,-0.03,,15.46,0.03,0.07,0.03,-0.02,0.08,0.09,0.08,0.09,B,2020
T. Tindyebwa,New Somoe,FW,Simple Privateers,30,1988,22.11,0.18,2.34,0.76,34.03,2.21,0.69,0.16,0.3,14.08,0.09,0.08,0.07,0.27,0.28,0.07,-0.16,-0.07,B,2020
A. Uy,People's Land of Maneau,FWMF,Simple Privateers,21,1998,15.58,0.37,1.74,0.75,42.23,1.63,0.77,0.12,0.38,15.59,0.08,0.02,0,0.26,0.18,0.07,0.17,0.05,B,2020
O. Martini,Tercapetralgrorus,FWMF,Simple Privateers,23,1995,18.51,0.41,2.65,0.87,32.09,2.58,0.88,0.05,0.34,15.96,-0.09,0,0.08,0.27,0.23,0.16,0.04,0.05,B,2020
A. Nakalyango,Zamlie Niabangthe,FWMF,Simple Privateers,24,1995,9,0.15,3.41,1.28,39.92,3.31,1.39,0.15,0.15,14.42,0.02,0.08,0.02,0.23,0.22,0.15,-0.07,0.03,B,2020
V. Arnold,Coastpa Barleslands,GK,Simple Privateers,25,1993,18.06,-0.08,0.05,-0.06,,-0.09,-0.1,,,,-0.06,-0.06,0.02,-0.06,0.06,,0.01,-0.03,B,2020
X. Adikini,Cuandbo,GK,Simple Privateers,24,1995,9.97,0.08,-0.07,-0.1,,0.02,0.05,,,,-0.05,-0.04,0.05,-0.08,-0.1,,-0.07,0,B,2020
B. bin Awang,Czechnor,MF,Simple Privateers,25,1994,26.59,0,0.7,0.23,31.59,0.71,0.21,-0.07,0.09,25.72,0.08,-0.06,-0.04,0.1,0,0,-0.07,-0.05,B,2020
F. Awino,Dosqaly,MF,Simple Privateers,27,1992,2,0.04,2.69,1.61,60.01,2.65,1.63,0.07,0.01,21.26,0.06,0.01,-0.02,0.12,0.07,0.05,-0.08,-0.23,B,2020
K. Birungi,Dosqaly,MF,Simple Privateers,18,2000,2.11,-0.06,1.51,-0.08,0,1.34,-0.05,0.09,,25.34,0.07,-0.06,0.01,0.12,0.05,0.09,0.02,0.02,B,2020
P. Otto,Dosqaly,MF,Simple Privateers,29,1989,18.81,0.09,0.58,0.07,18.14,0.63,0.03,0.06,0.43,25.11,-0.07,-0.05,-0.01,0.07,-0.08,0.03,0.09,-0.05,B,2020
V. Tong,Dosqaly,MF,Simple Privateers,39,1980,4.42,-0.02,1.6,0.62,42.81,1.64,0.68,0.02,0,31.21,-0.01,0.01,-0.03,-0.01,0.07,0.05,-0.08,-0.11,B,2020
W. Mugisha,Dosqaly,MF,Simple Privateers,27,1991,2.18,0.05,0.36,0.07,-0.06,0.55,0,0.09,,30.09,-0.01,-0.1,-0.07,-0.04,-0.08,-0.02,0.06,-0.02,B,2020
T. Owiny,Pierrema,MF,Simple Privateers,24,1994,1.82,0.09,2.13,0.05,-0.01,2.1,0.1,0.06,,24.73,0.07,-0.08,0.07,0.07,0.02,0.01,-0.04,0,B,2020
B. Nakabugo,Sina Daofra,MFDF,Simple Privateers,31,1987,20.78,-0.1,0.63,0.02,0.03,0.62,-0.1,0.08,,14.96,0.1,0.05,-0.07,0.05,0.04,0.14,0.05,-0.12,B,2020
J. Kirabo,Dosqaly,MFFW,Simple Privateers,33,1986,5.73,0.17,1.5,0.35,22.29,1.57,0.31,0.12,0.56,22.19,0.45,-0.02,-0.01,0.06,0.11,0.12,0.07,0.13,B,2020
S. Oroma,Dosqaly,MFFW,Simple Privateers,20,1999,4.33,-0.07,1.41,0.83,66.61,1.32,0.93,0.04,0.09,22.49,-0.05,-0.04,0.04,0.06,0.11,0.09,-0.02,-0.12,B,2020
V. Nagawa,Dosqaly,MFFW,Simple Privateers,20,1999,16.71,0.31,2.34,1.04,44.76,2.28,1.11,0.05,0.19,17.12,0.37,0.05,-0.06,0.18,0.2,0.17,-0.04,0.08,B,2020
D. Tkachenko,Iverde,MFFW,Simple Privateers,21,1998,1.84,0.08,1.65,0.03,0.06,1.77,-0.1,-0.08,,18.62,-0.05,0.08,0.03,0.12,0.08,0.04,-0.08,-0.07,B,2020
N. Olinga,Lefghau,MFFW,Simple Privateers,21,1998,5.14,-0.03,2.09,0.55,27.32,2.09,0.56,0.03,-0.09,25.75,-0.06,-0.04,-0.04,0.11,0.22,-0.04,-0.16,-0.2,B,2020
F. Hubert,Dosqaly,DF,Solemn Leopards,25,1994,23.97,0.09,0.67,0.24,26.76,0.54,0.14,0.04,0.24,22.14,-0.01,0.05,-0.02,0.08,-0.04,-0.04,-0.01,0.03,B,2020
R. Mutumba,Dosqaly,DF,Solemn Leopards,20,1998,3.91,0.1,0.71,0.16,33.35,0.79,0.28,-0.04,0.05,8.81,-0.04,-0.05,0.01,0.14,0.04,0.13,-0.07,-0.15,B,2020
M. Tseu,Manlisgamncent,DF,Solemn Leopards,22,1996,20.91,-0.05,0.81,0.28,26.64,0.63,0.16,0.02,0.23,14.03,-0.03,-0.03,0.04,0.07,0.13,-0.01,0.09,-0.02,B,2020
A. Peña,Nganion,DF,Solemn Leopards,29,1990,18.01,0.07,0.63,0.09,23.03,0.77,0.22,0.03,0.07,12.16,0.05,-0.03,-0.02,0.13,0.12,-0.02,-0.13,-0.05,B,2020
P. Chi,Rarita,DF,Solemn Leopards,29,1990,18.01,0.02,0.19,0.02,0.07,0.14,0.03,-0.08,,25.61,0.03,0.08,0.05,-0.03,0.08,0.09,0.07,0.05,B,2020
F. Baguma,Coastpa Barleslands,DFFW,Solemn Leopards,27,1992,24.07,0.04,1.2,0.15,14.32,1.1,0.09,0.02,0.26,19.46,0.08,0.02,0.02,0.16,0.03,0.05,-0.13,-0.04,B,2020
F. Kobugabe,Dosqaly,DFMF,Solemn Leopards,19,1999,23.83,-0.02,0.63,0.16,19.94,0.7,0.21,0,0.43,23.94,-0.04,-0.03,0,0,0.01,0,-0.06,0.01,B,2020
J. Ginting,Dosqaly,DFMF,Solemn Leopards,17,2002,0.32,-0.05,-0.04,-0.04,,-0.1,-0.01,,,,0.09,0.05,0.05,0.08,-0.07,,-0.05,-0.01,B,2020
C. Omar,Dosqaly,FW,Solemn Leopards,29,1990,14.91,0.14,1.35,0.18,19.01,1.32,0.32,0.03,0.46,12.06,0.03,-0.01,-0.02,0.18,0.18,0.13,-0.02,0.04,B,2020
Q. Okiror,Dosqaly,FW,Solemn Leopards,32,1987,21.34,0.35,2.81,1.11,38.29,2.88,1.11,0.05,0.21,22.61,0.68,0.14,0.15,0.24,0.13,0.08,0.19,0.04,B,2020
S. Abdullahi,Dosqaly,FW,Solemn Leopards,26,1993,0.18,0.02,14.95,4.97,33.2,12.21,4.06,-0.08,0.07,16.53,-0.03,0,0.1,1.41,1.44,0.18,-1.45,-1.44,B,2020
P. Jackson,Imaar Vircoand,FW,Solemn Leopards,29,1990,23.38,0.42,2.56,1.08,45.1,2.59,1.21,0.13,0.45,16.01,0.15,-0.07,0.09,0.35,0.31,0.06,0.09,0.15,B,2020
T. Marques,Dosqaly,FWMF,Solemn Leopards,18,2001,1.08,0.08,2.8,-0.09,0.06,2.75,0.09,-0.04,,21.44,0.03,-0.03,0.05,0.16,0.15,0.02,-0.12,-0.18,B,2020
F. Schäfer,Rosvi,FWMF,Solemn Leopards,23,1996,9.72,0.47,3.02,1.53,46.6,3.14,1.38,0.18,0.44,18.31,-0.01,-0.04,0.09,0.35,0.22,0.03,0.2,0.11,B,2020
A. Mbusa,Dosqaly,GK,Solemn Leopards,34,1985,26.35,-0.04,0.02,-0.06,,-0.07,0.07,,,,-0.03,0.06,0.1,0.03,-0.08,,-0.02,0.01,B,2020
N. Tumwesigye,Dosqaly,GK,Solemn Leopards,36,1982,1.61,0.09,0.07,-0.05,,-0.01,-0.07,,,,-0.05,0.06,-0.06,-0.02,0.04,,0.09,0.01,B,2020
A. Odaga,Byasier Pujan,MF,Solemn Leopards,29,1990,15.7,0.15,0.64,0.03,10.09,0.6,0.16,0.02,0.94,18.45,-0.09,-0.03,0,0.04,0.06,0.14,0.02,0.06,B,2020
K. Makaza,Dosqaly,MF,Solemn Leopards,24,1994,24.05,0.2,1.66,0.56,31.62,1.6,0.59,0.17,0.32,20.49,0.04,-0.08,0.04,0.09,0.17,0.18,0.03,0.16,B,2020
L. Ayebale,Dosqaly,MF,Solemn Leopards,21,1998,0.21,0.07,-0.02,-0.08,,0.02,-0.07,,,,0.08,-0.04,0.01,0.07,-0.04,,0.04,0.07,B,2020
Q. Ruzvidzo,Dosqaly,MF,Solemn Leopards,24,1994,19.82,-0.06,1.83,0.39,22.28,1.73,0.45,-0.09,-0.09,22.49,0.06,-0.05,0.09,0.1,0.05,0.11,-0.09,-0.06,B,2020
L. Hall,Lefghau,MF,Solemn Leopards,32,1987,2.07,0.09,0.93,-0.09,-0.03,0.87,-0.02,-0.05,,11.92,0.02,0.06,-0.06,0.05,-0.05,0.08,0.05,-0.11,B,2020
Z. Heinonen,Dosqaly,MFFW,Solemn Leopards,21,1997,12.21,0.03,0.91,0.22,18.26,0.97,0.11,-0.03,-0.08,20.09,-0.01,-0.01,-0.09,0.1,0.05,0.12,-0.08,-0.13,B,2020
K. Baumann,Tabhu Striary,MFFW,Solemn Leopards,24,1995,1.15,-0.09,4.2,1.69,40.08,4.3,1.75,0.08,-0.03,23.21,0.07,-0.08,0.02,0.17,0.07,-0.04,-0.26,-0.14,B,2020
M. Chavula,Dosqaly,DF,Somber Stallions,30,1989,4.97,0.09,0.44,0.02,-0.04,0.42,-0.09,-0.08,,25.88,-0.03,0.09,0.01,0.03,-0.07,-0.02,0.06,0.09,B,2020
W. Aciro,Dosqaly,DF,Somber Stallions,27,1992,4.56,0.15,0.88,0.4,50.06,0.91,0.35,0.16,0.48,6.39,-0.03,0.09,0.02,0.09,0.24,0.19,-0.04,0.03,B,2020
I. Nabatanzi,Greri Landmoslands,DF,Somber Stallions,35,1983,24.59,0,0.71,0.23,33.21,0.76,0.19,0.02,0.1,10.12,0.02,-0.07,-0.08,0.1,0.07,0.03,-0.02,0.01,B,2020
P. Nahabwe,Greri Landmoslands,DF,Somber Stallions,19,2000,7.33,-0.08,0.1,-0.03,,0.05,-0.09,,,,-0.08,0.03,0.03,-0.02,0.08,,0.06,-0.01,B,2020
S. Chided,Lefghau,DF,Somber Stallions,21,1997,23.27,0.14,0.77,0.11,18.84,0.72,0.09,0.16,0.35,10.86,0.01,0.01,-0.09,0.12,0.1,-0.02,-0.04,-0.04,B,2020
S. Lamptey,Manlisgamncent,DF,Somber Stallions,19,1999,15.84,0.02,0.37,-0.06,-0.08,0.22,0.05,0.01,,29.99,0.12,0.05,0.06,0.06,-0.04,0.03,0.06,0.07,B,2020
M. Nagudi,Pitpu Biaal,DF,Somber Stallions,25,1994,12.39,0.07,0.13,-0.02,0.06,0.22,0.01,0.04,,25.92,0.08,0.1,-0.07,0.05,0.04,-0.05,0.08,0.07,B,2020
L. James,Varijitri Isles,DF,Somber Stallions,22,1997,22.9,-0.01,0.15,0.04,19.92,0.21,0.12,0,-0.08,18.57,-0.04,-0.08,0.06,-0.03,0.07,0.05,0,0.02,B,2020
S. Zupan,Dosqaly,FW,Somber Stallions,32,1987,10.7,0.61,2.6,1.04,39.36,2.56,1.06,0.15,0.54,15.69,0.17,0.03,-0.06,0.46,0.32,0.14,0.3,0.32,B,2020
K. Sekh,Republic of Denand Landsa,FW,Somber Stallions,20,1998,25.4,0.56,3.25,1.35,38.93,3.21,1.27,0.07,0.26,13.55,0.05,0.02,0.12,0.67,0.48,0.14,-0.11,-0.12,B,2020
E. Tumukunde,Dosqaly,FWMF,Somber Stallions,23,1996,21.49,0.07,2.13,1.14,52.32,1.95,1.09,0.1,-0.05,22.1,0,-0.03,0.15,0.25,0.21,-0.04,-0.23,-0.19,B,2020
L. Aguilar,Lefghau,FWMF,Somber Stallions,23,1996,9.11,0.13,2.68,1.2,45.73,2.68,1.29,0.05,0.18,24.76,0.06,0.04,0.03,0.06,0.06,0.11,0.1,0.1,B,2020
I. Kumari,Dosqaly,GK,Somber Stallions,24,1995,28,-0.07,0.03,-0.01,-0.09,0.13,0.07,0.02,,9.84,0.03,0.07,0.07,-0.08,-0.02,0.08,0,-0.06,B,2020
K. Wee,Central Namemo Laand,MF,Somber Stallions,19,2000,0.9,-0.06,1.16,0,0.03,1.13,0.08,-0.06,,31.06,0.04,0.03,0.05,-0.07,-0.09,0.11,0.02,-0.01,B,2020
G. Kyamanywa,Coastpa Barleslands,MF,Somber Stallions,19,2000,0.14,0.02,-0.08,0.07,,0.08,0.02,,,,0.07,0.05,-0.02,0.03,-0.02,,0.1,0.05,B,2020
E. Longwe,Dosqaly,MF,Somber Stallions,20,1999,13.59,-0.02,0.06,-0.02,-0.03,0.04,0.08,-0.04,,11.91,0.06,-0.06,-0.01,0.07,-0.08,0.11,-0.01,0.05,B,2020
G. Jesus,Dosqaly,MF,Somber Stallions,28,1990,22.75,0.01,0.75,0.19,18.9,0.66,0.13,0.2,0.73,13.88,0.05,0.05,0,-0.01,0.01,0.09,-0.04,0.11,B,2020
K. Gao,Greri Landmoslands,MF,Somber Stallions,24,1994,7.99,0.01,1.04,0.38,33.32,1.05,0.32,0.01,0.06,14.96,-0.08,0.03,0.09,0.03,0.03,0.18,-0.21,-0.07,B,2020
B. Lu,Lefghau,MF,Somber Stallions,22,1997,0.47,-0.05,0.01,-0.05,,0.03,-0.02,,,,-0.02,0.08,0.05,-0.04,-0.08,,-0.06,-0.07,B,2020
Q. Nikoli?,Saintswacroa,MF,Somber Stallions,19,1999,0.18,0,0.08,0.04,,-0.08,-0.01,,,,-0.02,-0.06,0.07,-0.07,-0.02,,-0.08,-0.01,B,2020
E. Teixeira,Slandsganiamayotteque,MF,Somber Stallions,19,2000,0.95,-0.06,1.04,-0.03,-0.09,1.12,-0.07,0.07,,20.53,0.02,-0.04,-0.06,0.09,0.06,-0.06,-0.05,-0.01,B,2020
K. Guillaume,Dosqaly,MFFW,Somber Stallions,21,1998,22.95,0.03,1.63,0.58,38.97,1.56,0.53,0.15,0.1,18.21,0.03,0.03,-0.01,0.18,0.22,0.18,0.02,-0.15,B,2020
X. Durand,Greri Landmoslands,MFFW,Somber Stallions,21,1997,16.52,0.16,1.88,0.62,35.6,1.97,0.72,0.15,0.25,24.57,0.17,-0.04,-0.06,0.15,0.07,0.04,0,0.11,B,2020
Z. Perrin,Imaar Vircoand,MFFW,Somber Stallions,31,1988,0.66,-0.06,-0.03,0.04,,-0.05,0.04,,,,0.03,0.06,-0.06,-0.03,0.09,,0.09,-0.02,B,2020
K. Koppel,Varijitri Isles,MFFW,Somber Stallions,22,1997,9.44,0.13,2.04,0.28,15.07,2.2,0.26,-0.04,-0.07,24.25,0.22,0.06,0.08,0.16,0.06,0.08,-0.07,-0.04,B,2020
G. Asiedu,Dosqaly,DF,Supreme Janes,31,1987,20.91,0.07,0.65,0.16,21.49,0.68,0.12,0.03,0.08,13.44,-0.05,0.02,0.06,0.07,-0.03,0.1,0.01,-0.07,B,2020
L. Hasegawa,Dosqaly,DF,Supreme Janes,27,1992,17.8,0.06,0.06,0.06,0.09,0,-0.08,0.01,,18.34,-0.05,-0.05,-0.03,-0.04,0,-0.06,-0.06,0.05,B,2020
N. Agyapong,Dosqaly,DF,Supreme Janes,21,1997,0.58,-0.09,0.08,0.02,,-0.03,0.04,,,,0.02,0.05,0.02,-0.04,0,,0.1,-0.08,B,2020
R. Horvat,Dosqaly,DF,Supreme Janes,20,1999,0.55,-0.06,0.09,0.02,,0,0.06,,,,-0.03,0.03,-0.04,-0.07,0.02,,-0.03,0.08,B,2020
S. bin Osman,Dosqaly,DF,Supreme Janes,20,1999,4.6,-0.07,0.2,0.02,-0.02,0.16,0,0.1,,7.26,0.09,0,0.04,0.01,-0.02,0.14,-0.03,0.03,B,2020
K. Nakku,Former Maneau,DF,Supreme Janes,23,1996,2.02,-0.07,-0.08,-0.09,,0.05,0,,,,-0.07,-0.03,0.01,0.05,0.1,,0.07,-0.07,B,2020
G. Suad,Lefghau,DF,Supreme Janes,27,1992,24.14,-0.01,1.06,0.17,24.92,0.96,0.34,0.12,0.13,19.91,0.02,0.1,-0.07,-0.03,0.04,0.05,0.09,-0.06,B,2020
I. Nantale,Lefghau,DF,Supreme Janes,29,1990,9.27,-0.05,0.51,0.1,-0.04,0.51,0.04,0.07,,25.13,-0.05,0.02,0.01,-0.07,0.1,-0.03,-0.08,0.04,B,2020
E. Nelima,Reugha,DF,Supreme Janes,28,1991,7.57,0.09,0.17,-0.02,-0.04,0.35,0.05,-0.03,,8.52,0.08,0.09,0.02,-0.03,0.08,0.15,-0.12,0.03,B,2020
J. Ferri,Reugha,DF,Supreme Janes,27,1992,19.36,-0.06,0.21,0.08,20.08,0.29,-0.01,0.02,-0.02,30.11,0.06,-0.04,0.08,-0.05,0.02,0.09,0,-0.11,B,2020
K. Balogun,Lenia Gerdanho,DFFW,Supreme Janes,22,1996,5.77,-0.07,0.7,0.25,24.91,0.61,0.22,-0.1,-0.07,18.33,-0.05,-0.1,-0.08,-0.01,0.09,0.04,-0.02,-0.08,B,2020
Y. D?browski,Rarita,DFMF,Supreme Janes,29,1990,3.63,-0.04,0.35,-0.09,-0.01,0.2,-0.03,0.06,,7.82,0.06,0.09,-0.03,0,0,0.08,-0.09,0.02,B,2020
K. Macuacua,Dosqaly,FW,Supreme Janes,23,1996,0.24,-0.02,0.02,0.09,,0.04,0.08,,,,-0.02,0,-0.04,0.01,0.08,,0.02,-0.09,B,2020
H. Sentongo,Reugha,FW,Supreme Janes,27,1991,18.1,0.16,2.64,1.04,40.45,2.66,1.03,0,0.25,12.3,-0.02,-0.02,-0.01,0.32,0.24,0.14,-0.1,0.02,B,2020
O. Cheah,Lefghau,FWDF,Supreme Janes,27,1991,2.96,-0.03,0.76,0.32,50.05,0.61,0.32,-0.06,0.05,34.53,0.39,-0.01,0.05,0,0.1,0.05,-0.12,-0.03,B,2020
B. Roche,Dosqaly,FWMF,Supreme Janes,25,1994,16.29,0.1,1.21,0.45,47.35,1.21,0.53,0.03,0.05,20.29,-0.1,-0.08,0.05,0.07,0.12,0.19,0.02,-0.04,B,2020
F. Kyoshabire,Dosqaly,FWMF,Supreme Janes,20,1999,1.88,-0.06,1.77,1.16,66.74,1.69,1.08,-0.04,0.07,10.8,-0.07,-0.03,-0.08,0.32,0.31,0.18,-0.27,-0.22,B,2020
H. Pang,Dosqaly,FWMF,Supreme Janes,21,1997,20.43,0.31,2.18,1.07,43.57,2.17,0.99,0.08,0.25,21.97,0.04,-0.08,-0.01,0.03,0.13,0.03,0.13,0.16,B,2020
E. Lund,Republic of Denand Landsa,FWMF,Supreme Janes,24,1995,24.1,0.19,1.84,0.74,41.88,1.8,0.74,0.2,0.29,15.75,-0.03,-0.01,0.03,0.25,0.32,0.19,-0.14,0.02,B,2020
O. Tio,Southern Ristan,FWMF,Supreme Janes,25,1994,1.68,0.65,1.11,0.6,50,1.14,0.53,0.48,0.98,10.98,0.03,0.04,0.09,0.19,0.14,0.11,0.35,0.33,B,2020
R. Mkandla,Southern Ristan,FWMF,Supreme Janes,27,1991,3.27,-0.07,1.16,0.31,25.06,1.28,0.35,-0.08,-0.09,9.24,0,-0.08,0.08,0.27,0.19,0.13,-0.28,-0.22,B,2020
O. Burgos,Dosqaly,GK,Supreme Janes,20,1999,26.95,0.02,-0.09,-0.01,,-0.05,0.03,,,,-0.07,0,-0.05,0.06,-0.04,,-0.04,0.09,B,2020
E. Liepi?š,Rosvi,GK,Supreme Janes,31,1988,0.97,-0.03,0.05,-0.07,,0.04,-0.02,,,,-0.01,0.02,-0.08,-0.09,0.06,,0.06,-0.06,B,2020
G. Albrecht,Dosqaly,MF,Supreme Janes,22,1996,0.07,-0.08,9.91,0.09,0.07,14.95,-0.06,-0.02,,27.31,-0.07,0.1,0.03,-0.01,0.02,-0.05,0,0.07,B,2020
P. Lo,Dosqaly,MF,Supreme Janes,25,1994,24.67,0.18,1.39,0.22,24.26,1.44,0.3,-0.02,0.07,26.3,-0.01,0.08,0.04,0.21,0.01,0.13,0.01,-0.04,B,2020
Q. Ruzvidzo,Dosqaly,MF,Supreme Janes,24,1994,3.06,-0.03,1.4,0.29,24.91,1.34,0.41,0.09,-0.1,16.81,0.09,0.09,-0.08,0,0.16,0.11,0,-0.13,B,2020
B. Apio,Pierrema,MF,Supreme Janes,26,1992,20.17,0.06,1.54,0.33,21.26,1.61,0.28,0.03,0.06,24.93,0.16,-0.06,-0.04,0.09,0.02,0.08,0.03,-0.03,B,2020
L. Mirzaei,Biarizea,MFFW,Supreme Janes,20,1999,22.37,0.04,1.56,0.54,35.12,1.56,0.53,0.05,0.12,24.99,0.19,-0.05,-0.01,0.1,0.07,0.1,0.11,0.04,B,2020
E. Fujiwara,Former Maneau,MFFW,Supreme Janes,25,1994,3.91,-0.06,1.28,0.79,60.07,1.27,0.79,0.05,0.07,17.88,-0.09,0.01,-0.01,0.13,0.16,0.15,0,-0.04,B,2020
H. Romero,Coastpa Barleslands,DF,Swift Rustlers,22,1997,18.62,-0.03,0.19,0.01,40.04,0.28,0.04,-0.08,0.02,12.58,-0.03,-0.05,0.05,0.07,0.05,0.17,0,0.04,B,2020
A. Schmidt,Dosqaly,DF,Swift Rustlers,26,1993,11.92,0.05,0.58,0.17,42.87,0.5,0.3,0.1,0.02,22.67,0,0.03,-0.04,0.1,-0.02,-0.03,-0.09,0.04,B,2020
D. Tweheyo,Dosqaly,DF,Swift Rustlers,18,2001,15.72,-0.09,0.67,0.12,29.93,0.6,0.27,0.05,-0.05,13.25,0,0,-0.08,0.09,0.12,-0.01,-0.02,-0.09,B,2020
Y. Meyer,Nkasland Cronestan,DF,Swift Rustlers,31,1988,23.03,0.12,0.57,0.12,33.25,0.5,0.11,0.13,0.3,7.18,-0.04,0.03,0.09,-0.03,0.14,0.03,0.03,0.03,B,2020
O. Bošnjak,Northern Namemo Laand,DF,Swift Rustlers,25,1994,19.59,0.11,0.42,0.29,39.91,0.43,0.2,0.3,0.45,13.68,-0.01,0.03,0.02,0.15,0.15,0.25,0.03,0.1,B,2020
N. Gumbo,People's Land of Maneau,DF,Swift Rustlers,18,2000,1.13,0,0.93,-0.09,-0.02,0.84,-0.05,-0.09,,12.99,-0.08,-0.09,0,0.05,-0.09,-0.01,0.02,-0.1,B,2020
O. Ninsiima,Greri Landmoslands,DFFW,Swift Rustlers,24,1995,18.51,0.29,1.44,0.63,39.37,1.51,0.56,0.13,0.34,15.04,0.04,-0.05,0.05,0.2,0.37,0.14,-0.05,0,B,2020
S. Jalali,Esia,DFMF,Swift Rustlers,22,1997,9.83,0.08,0.98,0.01,10,0.93,0.19,-0.02,-0.02,20.17,-0.02,-0.03,-0.1,0.11,0.1,0.15,-0.12,-0.11,B,2020
L. Fung,Greri Landmoslands,DFMF,Swift Rustlers,22,1996,11.74,0.08,1.44,0.36,31.3,1.4,0.35,0.03,0.06,19.26,0.04,-0.05,-0.08,0.18,0.02,0.11,-0.16,-0.08,B,2020
L. Chifamba,Lefghau,DFMF,Swift Rustlers,26,1992,11.76,-0.04,0.1,-0.09,,0.01,-0.05,,,,0.03,-0.08,0.03,-0.03,-0.03,,0.06,0.03,B,2020
Q. Mukasa,Buhegeor,FW,Swift Rustlers,18,2000,0.73,0.02,2.79,0.01,0.01,2.83,0.03,-0.02,,17.28,-0.03,-0.08,-0.06,0.26,0.31,0.05,-0.31,-0.37,B,2020
E. Nankunda,Dosqaly,FW,Swift Rustlers,22,1997,2.92,-0.04,2.3,0.99,42.85,2.38,1.02,0.03,0.1,14.27,-0.08,-0.06,0.03,0.08,0.15,0.06,-0.11,-0.26,B,2020
F. Mapfumo,Dosqaly,FW,Swift Rustlers,19,1999,0.05,-0.06,0.04,-0.02,,0.06,0.01,,,,-0.03,0.01,-0.04,0.08,-0.04,,-0.01,0.07,B,2020
L. Castro,Dosqaly,FW,Swift Rustlers,28,1990,24.02,0.73,2.65,1.38,53.99,2.65,1.45,0.25,0.41,13.47,0.36,0.22,0.07,0.46,0.53,0.26,0.13,0.08,B,2020
M. Mubangizi,Greri Landmoslands,FW,Swift Rustlers,23,1995,0.87,0.02,2.14,0.01,0.09,2.17,-0.05,-0.09,,12.47,-0.03,-0.07,-0.05,0.15,0.17,0.08,-0.28,-0.13,B,2020
H. Mubaiwa,Rarita,FW,Swift Rustlers,31,1988,14.31,0.55,3.35,1.42,39.61,3.37,1.28,0.14,0.42,10.99,-0.01,0.11,0.12,0.6,0.72,0.22,-0.05,-0.09,B,2020
V. Smits,Coastpa Barleslands,FWMF,Swift Rustlers,24,1995,9.44,0.37,2.97,1.34,46.38,2.96,1.41,0.12,0.27,15.11,-0.05,0.08,-0.07,0.45,0.44,0.08,-0.04,-0.09,B,2020
F. Monday,Pahon,FWMF,Swift Rustlers,29,1989,5.38,0.34,4.1,1.68,40.85,4.23,1.69,0.18,0.23,20.93,0.32,0.05,0.02,0.41,0.41,0.04,0.11,0.13,B,2020
Z. Pinto,Republic of Denand Landsa,FWMF,Swift Rustlers,22,1997,1.76,-0.08,0.65,0.01,-0.01,0.53,0.01,-0.03,,16.1,-0.03,0.03,-0.06,0.08,0.05,0.18,-0.19,-0.19,B,2020
Q. Permana,Dosqaly,GK,Swift Rustlers,28,1991,27.93,-0.01,0.05,0.06,,-0.07,0.09,,,,-0.08,0.07,0.01,-0.08,0.05,,-0.02,-0.05,B,2020
C. Langa,Dosqaly,MF,Swift Rustlers,19,2000,0.65,0.08,2.79,1.52,50.03,2.82,1.42,0.03,-0.05,16.5,-0.05,0.07,0,0.22,0.14,0.11,-0.06,-0.21,B,2020
F. Perrin,Dosqaly,MF,Swift Rustlers,20,1999,6.71,-0.09,0.96,0.33,28.57,1.01,0.36,-0.02,-0.02,27.56,-0.09,0.04,-0.01,-0.05,-0.03,0.05,-0.03,0.01,B,2020
I. Brown,Dosqaly,MF,Swift Rustlers,24,1994,19.04,0.03,1.2,0.46,33.34,1.29,0.45,0.12,0.04,17.58,0,0.06,-0.09,0.13,0.13,0.12,-0.05,0.01,B,2020
