"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"922","L. Das","Central Diasongo","DFFW","Weak Blimps",20,1999,0.55,-0.04,1.62,1.64,100.07,1.71,1.77,0,0.08,6.93,0.07,0.09,0.06,0.27,0.31,0.24,-0.33,-0.28,0.66,61.78,73.31,84.02,1250.03,453.35,18.31,18.26,99.95,36.66,39.91,91.65,6.57,15.01,44.34,0.06,0.09,-0.04,0.53,1.7,1.7,1.65,-0.06,0,0.09,-0.08,NA,-0.05,3.39,1.77,50.1,1.62,0.06,1.65,1.64,1.63,0.04,-0.06,-0.09,1.64,9.97,-0.02,"B",2020
"923","V. Koller","Coastpa Barleslands","DFFW","Weak Blimps",23,1995,7.11,0.22,0.83,0.51,66.61,0.81,0.49,0.19,0.33,8.31,-0.08,0.05,-0.04,0.24,0.08,0.27,0.05,-0.09,7.21,64.66,74.99,86.31,1118.89,387.57,27.33,30.62,89.19,29.94,32.31,92.78,5.25,8.05,65.48,0.1,-0.05,0.02,7.15,2.74,1.25,1.61,0.78,0.2,1.15,2.5,44.43,1.47,17.92,6.59,37.28,10.02,6.33,1.76,1.29,0,0.02,1.34,0.88,3.49,3.06,0.05,"B",2020
"925","T. Chua","Dosqaly","FW","Weak Blimps",29,1990,1.14,0.09,1.89,0.01,-0.08,1.8,0.03,0.04,NA,13.48,-0.01,-0.05,0.01,0.11,0.03,-0.01,-0.03,-0.14,1.17,16.44,20.88,78.3,220.87,10.86,10.01,10.97,91.74,5.43,5.49,100.05,0.08,1.79,0.03,0.95,0.24,0.79,1.05,-0.07,-0.05,0.07,0.04,-0.08,0.02,0,NA,0.01,10.88,2.72,25.07,0.94,2.8,7.29,-0.08,0.07,-0.1,-0.04,0.03,0.07,1.88,-0.08,"B",2020
"926","P. Khoh","Mico","FW","Weak Blimps",21,1997,21.04,0.49,1.98,1.18,59.53,2.09,1.24,0.24,0.53,13.69,-0.09,-0.07,-0.07,0.33,0.28,0.23,0.26,0.22,21.07,11.08,14.34,77.17,168.32,11.63,6,7.77,79.55,3.94,4.84,82.9,0.69,0.66,86.74,0.21,0.14,0.08,20.97,0.71,0.4,0.07,0.23,0.43,0.4,1.24,36.04,0.76,17.93,4.22,23.04,0.87,7.42,9.9,0.78,0.24,-0.01,0.62,0.4,1.2,1.28,0.05,"B",2020
"927","B. Nyamadzawo","Dosqaly","FWDF","Weak Blimps",22,1997,1.6,-0.01,0.09,0.06,NA,-0.02,-0.02,NA,NA,NA,-0.08,0.02,-0.07,0.08,0.07,NA,-0.08,0.04,1.6,20.06,26.81,74.34,378.73,85.63,6.92,10.01,68.82,12.58,16.26,76.86,0.55,0.69,100.02,0.08,0.27,-0.16,1.66,0.63,0.58,0.65,-0.01,0.06,0.05,0.07,NA,0.07,15.67,4.43,27.95,3.82,6.98,4.93,1.33,-0.07,0.1,1.15,-0.1,0.64,0.06,0.08,"B",2020
"928","F. Fournier","Pierrema","FWDF","Weak Blimps",23,1996,11,0.1,1.79,0.76,47.49,1.62,0.74,0.11,0.09,17.4,0.05,-0.09,0.06,0.23,0.08,-0.01,-0.09,-0.14,11.04,36.96,45.91,80.65,584.87,176.56,22.19,24.92,88.82,12.02,14.64,82.13,2.69,4.75,59.69,0.06,0.08,0,11.05,2.67,1.49,1.28,0.84,0.4,1.39,3.02,44.05,1.77,17.64,4.71,27.22,6.72,7.03,3.8,2.1,-0.08,-0.01,2.13,1.53,4.09,1.03,0.03,"B",2020
"929","X. Lim","Tabhu Striary","FWDF","Weak Blimps",22,1997,1.43,0.03,0.74,-0.01,-0.1,0.66,-0.08,-0.03,NA,12.08,-0.09,0,0.09,0.14,0.1,0.12,-0.11,-0.05,1.45,27.92,33.24,84.07,475.91,61.23,9.93,10.76,93.82,15.23,16.63,92.08,2.08,3.33,59.93,-0.08,0.02,-0.02,1.47,0.07,0.03,0.03,0.02,0.09,-0.01,1.27,-0.02,1.33,15.36,1.23,8.73,2.63,5.95,6.69,0.65,-0.02,0.02,0.71,0.6,0.73,0.06,-0.08,"B",2020
"930","Y. bin Abu Bakar","Central Namemo Laand","FWMF","Weak Blimps",20,1999,13.86,0.29,1.26,0.5,35.33,1.24,0.5,0.13,0.41,16.93,0.03,0.01,0.03,0.12,0.17,0.25,0.07,0,13.7,20.59,26.45,77.24,325.47,70.68,10.45,12.97,81.57,8.3,10.27,80.85,1.22,1.89,61.46,0.02,0.07,0.1,13.81,0.72,0.59,0.41,0.21,0.08,0.21,1.48,20.08,1.15,20.72,3.39,16.71,3.91,9.81,6.78,0.73,0.08,0,0.61,0.27,1.1,0.67,0.05,"B",2020
"931","J. Nakayama","Dosqaly","FWMF","Weak Blimps",20,1999,7.51,0.06,2.04,0.74,31.39,2.04,0.76,0.07,0.19,16.08,-0.1,-0.08,-0.03,0.35,0.23,0.09,-0.09,-0.15,7.6,34.22,42.28,81.06,495.24,134.01,20.79,24.56,84.8,11.53,14.09,82.89,1.07,2.07,53.38,0.36,0.18,0.07,7.51,2.09,1.44,0.66,0.61,0.63,0.61,2.03,31.32,1.47,18.61,4.79,25.69,4.95,7.86,5.92,1.68,0.04,-0.03,1.69,0.62,2.71,0.27,0.03,"B",2020
"940","J. Khosravi","Dosqaly","MFFW","Weak Blimps",22,1997,10.92,0.13,0.47,0.3,60.06,0.51,0.22,0.2,0.3,19.54,0.01,-0.02,-0.04,0.05,0.11,0.12,0.1,0,10.98,35.14,41.02,85.55,596.68,115.64,17.12,18.88,91.29,13.21,15.25,86.73,3.26,4.7,69.15,0.27,0.22,-0.02,10.93,2.27,1.51,1.18,0.63,0.55,0.43,2.32,20.05,1.74,25.89,7.4,28.74,6.78,11.66,7.33,1.18,-0.02,0.1,1.15,0.44,2.49,0.39,-0.08,"B",2020
"941","P. Li","Dosqaly","MFFW","Weak Blimps",21,1998,18.05,0.07,2.17,0.57,28.95,2.16,0.53,-0.02,0.14,17.23,-0.04,-0.04,0.06,0.21,0.1,0.09,-0.2,-0.15,18.14,27.73,33.13,83.94,459.26,94.07,15.23,16.93,90.49,9.61,11.32,84.39,2.52,3.64,67.79,0.01,0.11,0.05,18.16,1.59,1.05,0.54,0.66,0.43,0.64,1.83,30.21,1.35,19.31,4.77,24.93,3.58,8.21,7.45,1.18,0.14,-0.04,0.94,0.57,2.35,0.44,-0.09,"B",2020
"942","G. Mar","Pierrema","MFFW","Weak Blimps",22,1996,12.6,0.18,1.77,0.67,42.98,1.71,0.8,0.08,0.3,17.43,0.01,0.01,-0.09,0.05,0.06,0.08,0.09,0.03,12.59,29.86,39.53,75.67,593.08,140.92,12.42,14.98,83.34,11.61,15.09,78.09,5.17,8.21,63.7,0.27,0.14,0.21,12.49,0.77,0.46,0.33,0.32,0.16,0.49,1.13,35.61,0.67,15.73,3.5,22.15,2.18,8.58,4.98,1.04,0.14,-0.03,0.79,0.55,1.43,0.66,0,"B",2020
"943","O. Ssenabulya","Pierrema","MFFW","Weak Blimps",19,1999,5.38,0.15,0.72,0.68,99.99,0.66,0.82,0.21,0.18,12.68,0.06,-0.09,0.09,0.14,0.19,0.18,-0.11,0.05,5.32,28.17,36.86,76.45,418.08,107.86,16.04,19.55,82.12,9.51,11.35,83.52,1.57,3.24,50.09,0.35,0.18,0.18,5.46,2.58,1.56,1.17,1.45,0.04,1.43,4.75,30.77,3.35,31.48,7.63,24.01,11.92,12.62,7.04,1.88,0.5,-0.03,1.22,1.54,4.13,1.78,0.04,"B",2020
"950","I. Matsinhe","Dosqaly","DFFW","Wet Monarchs",20,1998,0.18,0.1,0.02,0.08,NA,0.06,0.03,NA,NA,NA,-0.07,-0.03,0.02,-0.08,-0.08,NA,0.1,-0.09,0.11,10.04,9.96,100.07,179.94,0.06,5.03,5.07,99.93,4.95,4.96,99.91,0.03,0.04,NA,0.05,-0.09,0.01,0.2,-0.07,0.02,-0.05,0,0.06,-0.06,5.1,-0.07,4.97,19.94,10.05,50.05,15.02,5.08,0.07,-0.01,0.06,-0.05,-0.03,-0.06,0.06,0.03,0.03,"B",2020
"951","P. Tse","Biarizea","FW","Wet Monarchs",21,1998,0.22,0.08,0.08,-0.07,NA,-0.08,0,NA,NA,NA,-0.03,-0.07,0.09,-0.05,0.08,NA,0.08,-0.09,0.27,29.91,40.07,75.09,625.02,374.95,15.03,20.05,75.01,10.04,10.09,99.97,5.07,4.98,100.01,-0.01,-0.06,-0.09,0.13,5,-0.02,0.05,0.1,5.01,0.09,0.06,NA,0.04,24.93,14.97,59.99,14.97,4.91,4.96,4.97,0.01,-0.01,5.09,5.09,9.92,4.99,0.01,"B",2020
"952","L. Lukwago","Coastpa Barleslands","FW","Wet Monarchs",22,1996,1.59,1.27,4.29,1.95,42.9,4.54,2.01,0.38,0.59,12.56,-0.1,-0.03,0.08,0.82,0.77,0.13,0.46,0.55,1.69,11.26,13.76,81.9,219.48,21.4,5.05,6.17,80.02,3.12,3.77,83.35,1.81,1.93,99.97,-0.01,0.14,-0.1,1.55,1.21,1.2,1.18,0.03,0.09,0.64,2.47,25.09,1.83,15.01,1.95,12.42,2.43,9.42,3.12,1.32,0.56,-0.07,0.59,0.54,1.78,0.08,-0.08,"B",2020
"953","L. Chandia","Dosqaly","FW","Wet Monarchs",31,1988,6.54,0.33,2.7,1.25,44.33,2.82,1.33,0.18,0.17,15.07,0.07,0.02,-0.02,0.24,0.26,0.13,0.03,0.17,6.45,14.93,21.07,70.79,211.43,25.26,8.07,10.51,75.31,5.42,6.92,77.79,0.25,0.91,33.3,0.09,0.13,-0.13,6.48,0.53,0.21,0.09,0.4,0.1,0.12,0.94,16.79,0.71,20.49,5.79,27.7,1.45,8.29,10.7,1.11,-0.04,0.05,1.08,0.54,1.32,0.92,0.04,"B",2020
"954","Y. Seidel","Dosqaly","FW","Wet Monarchs",20,1998,0.17,-0.1,0.06,0.01,NA,0.04,-0.03,NA,NA,NA,0.02,-0.05,-0.08,0.08,0.05,NA,0.05,0.1,0.2,20.04,40.02,50.07,159.96,90.05,20.01,30.08,66.74,0.02,0.02,NA,0.01,9.97,0.01,0.06,-0.05,0.03,0.14,9.92,0,10,0.04,-0.08,-0.02,-0.01,NA,-0.07,30.03,-0.08,-0.03,19.96,10.02,-0.06,9.91,0.09,0.06,9.98,10,20.02,0.09,0.01,"B",2020
"955","A. Mwesige","Eastern Niasland","FW","Wet Monarchs",22,1997,1.35,0,1.41,1.39,100.06,1.51,1.51,-0.05,-0.03,14.61,0.09,0.07,-0.04,0.32,0.34,0.22,-0.32,-0.34,1.46,14.21,19.93,71.48,255.69,25.69,7.11,8.61,83.31,4.98,6.36,77.84,2.07,2.09,100.05,-0.06,0.1,-0.1,1.4,1.42,1.38,0.04,1.38,0,0.06,0.03,NA,0.07,13.51,5.05,36.86,2.9,1.41,9.22,0.06,-0.04,0.02,0.02,0.65,2.09,0.72,-0.07,"B",2020
"956","Y. Jokinen","Dosqaly","FWDF","Wet Monarchs",26,1993,22.59,0.26,2.08,0.73,31.3,2.16,0.7,-0.03,0.14,16.33,0.05,0,0.15,0.24,0.19,0,-0.05,-0.09,22.58,18.96,28.53,66.68,311.67,91.56,10.49,13.81,75.34,6.16,8.84,69.22,1.66,3.26,52.71,0.13,0.09,-0.09,22.53,1.4,0.63,0.5,0.58,0.15,0.56,1.77,35.94,1.04,19.01,5.38,28.56,2.92,8.96,6.97,1.42,0.06,-0.07,1.3,0.39,1.85,1.58,-0.09,"B",2020
"957","M. Maimon","Dosqaly","FWMF","Wet Monarchs",31,1988,22.16,0.18,1.36,0.52,38.61,1.45,0.54,0.17,0.37,18.83,0.06,0.04,-0.09,0.13,0.13,0.08,0.03,0.17,22.23,20.06,28.13,71.29,319.46,115.08,10.86,12.95,83.28,7.12,9.29,76.1,1.57,3.86,38.65,0,0.13,0.03,22.27,1.1,0.64,0.4,0.42,0.17,0.22,1.97,15.82,1.62,17.11,4.28,24.66,4.42,8.55,4.35,1.22,0.13,-0.04,1.16,0.92,2.06,0.39,-0.03,"B",2020
"958","Z. Wati","Dosqaly","FWMF","Wet Monarchs",21,1997,1.27,0.07,0.09,0.05,NA,0.06,-0.02,NA,NA,NA,-0.09,-0.03,0.03,0.04,0.08,NA,0.08,0.07,1.21,10.01,13.78,72.19,145.31,43.04,6.21,9.26,66.78,3.89,3.83,100.04,0.05,-0.09,NA,-0.04,-0.07,0.02,1.3,3.92,1.51,3.09,0.73,-0.03,0.02,2.25,-0.1,2.4,44.54,14.55,32.82,27.74,13.1,3.83,0.79,-0.01,0.02,0.76,1.59,5.32,0.68,-0.08,"B",2020
"959","A. Serrano","Pierrema","FWMF","Wet Monarchs",26,1993,25.05,0.16,1.8,0.59,31.15,1.79,0.58,-0.02,0.2,18.69,0.21,-0.02,-0.05,0.1,0.2,-0.02,-0.06,0.07,24.97,23.93,37.97,63.45,428.83,170.16,11.96,15.19,77.92,7.85,11.76,67.2,3.42,8.2,42.49,0.1,0.2,-0.05,24.95,1.04,0.6,0.5,0.43,0.1,0.51,2.04,27.41,1.46,10.43,3,29.29,2.25,5.16,3.18,0.88,0.11,0.07,0.82,0.55,1.72,0.78,-0.02,"B",2020
"960","C. Domínguez","Southern Viout Aman","FWMF","Wet Monarchs",18,2000,6.61,0.44,3.05,1.04,35.02,2.92,1.13,0.07,0.43,17,-0.06,-0.06,0.09,0.16,0.22,0.08,0.24,0.18,6.64,15.29,22.12,68.44,223.32,43.05,9.77,12.84,76.64,3.87,6.06,63.31,1.03,1.27,77.81,0.1,0.08,0.04,6.77,1.69,1.27,0.36,1,0.54,0.57,1.62,36.38,1.1,20.17,6,29.59,1.73,12.75,5.64,0.95,0.24,0.09,0.77,0.03,1.58,0.11,-0.08,"B",2020
"961","W. Okumu","Unicorporated Tiagascar","FWMF","Wet Monarchs",25,1993,5.79,0.06,2.5,0.67,28.54,2.38,0.62,0.03,-0.09,24.5,0.04,-0.08,0.09,0.07,0.14,0.12,-0.11,-0.16,5.84,19.72,28,70.38,309.08,62.48,10.99,14.14,77.91,6.73,8.88,76.54,1.3,3.47,35.09,0.61,0.26,0.31,5.77,2.13,1.53,0.87,0.48,0.6,0.5,2.08,24.96,1.62,16.94,6.33,37.9,2.81,8.34,5.94,1.26,0.06,-0.02,1.15,0.37,2.33,0.19,-0.05,"B",2020
"971","B. Ndlovu","Dosqaly","MFFW","Wet Monarchs",20,1999,8.56,0.25,2.77,1.19,43.5,2.75,1.1,0.12,0.18,20.32,0.57,0.03,0,0.16,0.31,0.03,-0.07,0.04,8.51,24.43,37.15,66.05,439.28,133.39,12.32,14.3,86.14,7.29,9.34,77.57,4.04,11.1,35.81,0.27,0.24,0.11,8.45,1.08,0.68,0.23,0.45,0.44,0.26,1.97,17.66,1.73,17.6,6.29,35.31,2.78,7.15,7.8,0.83,0.05,0.02,0.73,0.35,1.35,0.26,-0.06,"B",2020
"982","B. Hadži?","Esia","FW","Awkward Trailblazers",24,1995,5.11,-0.04,2.48,0.91,38.6,2.6,1,0.05,-0.09,12.77,-0.04,0.02,0.05,0.23,0.29,0.08,-0.27,-0.24,5.19,17.76,26.42,67.42,213.29,39.79,10.24,13.79,74.28,5.29,8.03,65.95,0.23,1.25,16.68,-0.01,-0.05,-0.13,5.07,0.81,0.51,0.27,0.41,0.27,0.15,0.93,20.08,0.71,22.84,5.98,26.41,0.96,13.12,8.77,0.56,0.1,-0.1,0.5,0.1,0.76,0.44,-0.06,"C",2020
"983","F. Zziwa","Esia","FW","Awkward Trailblazers",19,2000,0.2,0.09,-0.04,0.01,NA,0.09,-0.06,NA,NA,NA,0.02,0.06,0.05,-0.01,-0.04,NA,0.03,0.06,0.09,10.04,40.05,25.09,69.9,-0.04,10.05,20.07,49.92,0.01,9.95,0.09,0,0.08,NA,-0.05,0.03,0.01,0.1,9.97,9.92,-0.06,0.08,10.06,0.05,0.05,NA,0.05,79.92,29.93,37.45,0.01,29.96,50.09,0.02,0,0.06,-0.07,0.06,10.06,-0.07,-0.07,"C",2020
"984","O. Pellegrini","Esia","FW","Awkward Trailblazers",26,1993,4.57,0.83,4.09,2.07,50,3.96,2.03,0.23,0.46,11.78,-0.05,0.02,-0.01,0.66,0.54,0.21,0.35,0.3,4.42,17.66,25.93,67.47,276.84,35.76,9.62,13.12,72.96,5.36,8.52,63.18,1.79,1.99,88.82,0.18,0.12,-0.02,4.51,0.46,0.15,0.29,0.02,0.24,0.27,0.35,49.95,0.27,14.94,3.1,20.84,1.06,4.66,9.12,1.2,0.05,-0.07,1.09,-0.09,0.44,1.09,0.08,"C",2020
"985","G. Chakanyuka","Loco Phirema","FW","Awkward Trailblazers",23,1996,25.22,0.27,2.68,1.03,37.16,2.7,1.06,0.18,0.28,23.09,0.15,0.03,0.21,0.26,0.14,0.08,0.09,0.02,25.21,18.76,27.9,67.03,364.38,81.36,7.89,9.82,79.45,7.24,10.04,71.4,3.16,6.37,50.53,0.28,0.17,0,25.14,0.98,0.64,0.48,0.29,0.13,0.4,1.5,22.18,1.02,18.02,5.51,30.53,4.18,8.7,5.24,1.12,0.19,0.06,0.93,0.63,1.44,0.35,0.13,"C",2020
"986","R. Mbeiza","Slandsganiamayotteque","FW","Awkward Trailblazers",19,2000,15.68,0.21,1.79,0.71,42.93,1.69,0.68,0.22,0.25,14.33,-0.08,0.06,-0.04,0.25,0.3,0.11,-0.08,-0.09,15.62,16.62,23.13,71.74,225.84,45.1,10.47,13.04,80.58,4.21,5.52,73.97,0.95,1.39,65.24,0.21,-0.02,0.11,15.68,1.02,0.9,0.35,0.21,0.51,0.34,1.19,27.74,0.78,23.53,6.49,27.37,3.6,11.22,8.83,1.65,0.21,-0.01,1.47,0.44,1.38,1.65,0.07,"C",2020
"987","B. Ionescu","Esia","FWMF","Awkward Trailblazers",17,2002,1.07,-0.1,0.94,-0.03,0.1,0.88,0.03,0.07,NA,24.94,0.08,-0.05,-0.03,-0.08,-0.06,0.1,-0.05,0.04,1.03,16.93,21.06,80.99,243.06,43.1,9.06,9.03,100.05,5.07,6.99,71.43,0.91,1.94,49.93,-0.07,0.02,-0.08,1.01,0.94,0.92,0.07,0.98,0.03,0.06,2.04,0.09,1.9,38.07,12.07,31.68,3.06,24.93,9.95,1.08,-0.08,-0.08,1.03,0.06,1.06,1.98,0.01,"C",2020
"988","F. Kigongo","Esia","FWMF","Awkward Trailblazers",20,1999,3.28,-0.09,0.57,0.01,-0.1,0.59,-0.08,-0.04,NA,17.09,-0.01,0.06,-0.05,0.09,-0.06,-0.03,-0.1,-0.03,3.28,18.01,27.14,66.78,231.57,57.49,12.54,15.52,80.1,3.84,4.7,79.99,0.97,3.51,27.3,0.05,0.03,-0.11,3.21,2.76,1.97,0.95,1.33,0.57,1.28,3.38,36.43,2.22,33.84,6.29,18.49,8.74,14.94,10.03,0.93,-0.09,0.08,0.94,0.02,2.87,0.67,-0.06,"C",2020
"989","K. Ozols","Esia","FWMF","Awkward Trailblazers",25,1993,21,0.15,1.92,0.45,26.11,1.93,0.6,0.04,0.33,17.08,-0.02,0.04,0.03,0.22,0.12,0.17,0.08,0.1,20.9,32.01,43.19,73.89,519.4,164.51,17.36,20.71,83.53,11.18,14.4,77.62,2.66,5.51,48.7,0.14,0.1,0.01,21.02,2.72,1.54,1.15,1.09,0.6,0.34,2.41,17.91,1.92,28.71,6.66,23.04,7.54,14.07,6.99,1.43,0.18,0.1,1.44,0.79,3.69,0.38,-0.05,"C",2020
"990","X. Han","Esia","FWMF","Awkward Trailblazers",32,1987,3.88,-0.08,1.92,0.86,42.91,1.88,0.8,0.04,-0.06,20.34,0.02,0.06,-0.03,0.12,0.17,0.07,-0.12,-0.14,3.75,29.51,39.6,74.19,502.86,148.41,13.72,16.85,81.2,12.45,14.2,86.91,3.16,6.35,49.98,-0.1,0.08,-0.19,3.88,2.88,1.12,1.42,1.1,0.49,1.66,3.06,49.99,1.62,20.39,3.95,19.48,4.96,9.2,6.14,0.82,0.18,0.08,0.51,0.55,3.38,1.27,0.03,"C",2020
"991","C. Niwagaba","Former Maneau","FWMF","Awkward Trailblazers",40,1978,2.61,0.06,1.64,-0.01,0.02,1.46,-0.07,0.09,NA,9.23,-0.1,0.05,-0.03,0.19,0.19,0.19,-0.12,-0.07,2.59,23.13,33.58,69.07,364.55,139.25,11.51,15.07,76.87,8.51,10.41,81.46,1.6,3.15,49.92,0,0.31,-0.31,2.55,1.07,0.35,-0.03,0.73,0.39,-0.05,0.78,0.09,0.71,13.12,2.63,20.56,2.4,6.56,4.28,0.76,0.09,0.04,0.78,0.81,1.9,0.76,0.04,"C",2020
"992","H. Manyika","Lylimi","FWMF","Awkward Trailblazers",29,1990,20.41,0.37,2.22,1.06,45.71,2.24,0.92,0.23,0.42,15.55,0,0.08,0.09,0.32,0.25,0.19,0.08,-0.03,20.51,24.07,31.71,75.8,411.7,95.25,12.15,14.94,81.74,8.3,10.5,79.46,2.9,4.01,69.04,0.04,0.03,0.03,20.47,1.41,1.11,0.32,0.83,0.29,0.33,1.39,21.46,1.07,18.2,5.18,28.67,2.2,8.84,7.23,1,0.03,0.04,0.78,-0.02,1.54,0.34,-0.03,"C",2020
"1000","D. Isabirye","Esia","MFFW","Awkward Trailblazers",21,1998,5.67,0.23,2.65,1.09,39.99,2.75,1.1,0.16,0.25,17.81,0,-0.02,0.05,0.21,0.24,0.14,-0.02,0.03,5.67,25.38,35.6,71.34,361.7,87.3,15.04,18.45,81.8,8.9,11.08,81.06,0.96,2.93,29.46,0.07,0.15,-0.13,5.64,1.67,0.89,0.65,0.43,0.58,0.78,2.91,23.51,2.23,31.22,9.06,29.25,10.59,12.31,8.4,1.62,-0.05,0,1.6,0.35,1.91,0.96,0.07,"C",2020
"1001","R. Nimusiima","Giumle Lizeibon","MFFW","Awkward Trailblazers",32,1987,0.13,0.06,-0.08,-0.06,NA,-0.02,-0.09,NA,NA,NA,0.06,0.03,-0.07,0.09,-0.09,NA,-0.02,0.07,0.18,40.08,40.01,100.02,370.09,0.04,29.94,29.94,100.06,-0.09,-0.05,NA,0.06,-0.1,NA,0,0,-0.09,0.18,-0.07,0.01,0.09,-0.07,0.07,-0.07,-0.07,NA,0.05,39.98,19.95,50.06,29.91,-0.09,10.02,-0.05,0,0.08,0.05,-0.04,0.08,10,0.03,"C",2020
"1011","S. Armah","Mico","DFFW","Blue Jaguars",23,1996,28.99,0.13,2.18,0.65,30.12,2.14,0.72,0.05,0.27,22.97,0.69,0.1,0.08,0.13,0.07,0.05,0.08,-0.07,28.91,34.63,46.1,74.9,639.17,218.74,15.62,17.36,89.28,14.47,17.97,80.57,4.2,9.02,46.61,0.27,0.15,0.04,28.97,1.55,0.97,1.27,0.47,0.07,0.85,1.96,47.23,0.99,10.01,3.15,31.74,3.44,4.15,2.46,1.58,0.24,0.09,1.33,0.66,2.14,1.37,0.08,"C",2020
"1013","H. Engel","Byasier Pujan","FW","Blue Jaguars",25,1993,5.97,0.68,3.14,1.74,55.51,3.11,1.79,0.25,0.32,13.6,0.07,0.09,0.1,0.6,0.42,0.11,0.23,0.11,5.94,16.33,22.43,72.81,254.81,44.52,9.3,11.77,79.78,5.15,7.18,73.78,1.32,1.99,66.75,0.02,0.11,-0.01,5.85,1.1,0.62,-0.08,0.61,0.39,0.09,0.44,-0.02,0.49,13.16,3.99,31.15,0.62,7.55,4.77,0.16,0.17,-0.04,0.06,-0.02,1,0.1,0.07,"C",2020
"1014","N. Khalil","Dastatesne","FW","Blue Jaguars",27,1992,8.46,0.44,2.7,1.18,43.48,2.63,1.23,0.11,0.38,13.56,0,-0.1,0.06,0.43,0.41,0.18,0.06,0.18,8.48,22.13,30.6,72.66,323.63,94.89,13.52,16.44,82.06,5.44,7.71,72.33,1.82,3.06,61.58,-0.04,0.08,-0.15,8.54,0.96,0.75,0.22,0.56,0.41,0.55,1.17,40.01,0.8,17.97,4.78,26.29,2.51,6.59,8.72,1.45,0.27,-0.01,1.2,0.56,1.54,0.08,0.02,"C",2020
"1015","K. Ozols","Esia","FW","Blue Jaguars",25,1993,0.02,-0.05,1.05,-0.06,-0.06,30,-0.06,-0.08,NA,19.77,-0.05,0.04,0.02,-0.01,-0.02,0.09,0.05,-0.09,0.08,2.07,3.08,66.65,37.02,-0.09,1.03,1.93,49.95,1.03,0.97,100.1,0.04,0.08,NA,0.03,0.09,-0.09,-0.06,-0.04,-0.1,0.03,-0.07,-0.01,0.07,0.08,NA,0.07,2.04,-0.06,-0.07,-0.03,2.03,-0.03,-0.02,0.02,-0.02,-0.06,-0.04,-0.08,0.08,0.06,"C",2020
"1016","F. Ankrah","Esia","FWMF","Blue Jaguars",16,2002,1.3,0.09,5,2.51,49.94,4.97,2.56,0.08,0.06,14.74,-0.1,0.06,-0.06,1.14,1.1,0.22,-1.22,-1.14,1.19,12.59,18.25,68.22,165.71,25.07,6.65,7.53,88.9,4.95,8.23,60.06,0.07,-0.08,NA,-0.02,0.09,-0.02,1.15,3.27,2.45,0.8,0.9,1.67,0.78,2.51,33.33,1.62,30.82,11.66,37.87,2.49,15.89,12.55,0.09,0.07,0.09,0.05,-0.1,3.41,-0.06,-0.06,"C",2020
"1017","Y. Marlina","Isle of Lababwe","FWMF","Blue Jaguars",26,1993,8.29,0.65,2.43,1.19,50.04,2.37,1.26,0.25,0.59,11.26,0.04,0.09,-0.05,0.45,0.48,0.13,0.1,0.18,8.37,16.91,23.1,73.33,241.96,51.63,10.71,13.34,81.7,4.82,6.46,74.13,0.76,1.27,54.53,0.03,0.16,-0.01,8.39,1.2,0.47,0.32,0.62,0.31,0.56,2.8,16.65,2.48,25.11,5.35,21.52,3.98,11.16,10.05,0.56,0.09,-0.02,0.57,0.28,1.53,0.6,0.07,"C",2020
"1018","Z. Davies","Manlisgamncent","FWMF","Blue Jaguars",28,1991,15.84,0.85,2.44,1.18,49.98,2.51,1.22,0.34,0.53,14.32,0.25,0.16,0.11,0.53,0.48,0.24,0.26,0.12,15.75,28.25,35.17,80.24,471.52,92.1,13.9,16.58,84.62,10.85,12.76,85.51,2.36,3.94,60.75,0.09,0.11,-0.08,15.73,0.23,0.09,0.18,0.11,0.03,0.02,0.62,11.12,0.57,14.46,4.08,28.38,1.75,5.79,6.99,1.07,0.1,-0.09,0.99,0.03,0.32,0.51,-0.06,"C",2020
"1019","E. Bah","Mico","FWMF","Blue Jaguars",20,1998,4.24,-0.03,0.96,0.17,25,0.99,0.21,-0.09,-0.09,14.68,-0.02,0.02,0.08,0.14,0.09,0.04,-0.09,-0.09,4.26,24.71,32.11,76.71,404.99,80.6,13.71,15.93,85.49,8.29,10.79,78.22,2.06,3.01,69.2,0.27,0.24,-0.03,4.28,1.49,0.99,0.85,0.25,0.27,0.53,2.05,22.21,1.6,16.02,4.48,27.42,3.18,4.43,8.39,1.14,-0.04,-0.05,1.24,-0.05,1.46,0.39,0.08,"C",2020
