"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","Playing.Time.MP","Playing.Time.Starts","Playing.Time.Min","Playing.Time.90s","Performance.GA","Performance.GA90","Performance.SoTA","Performance.Saves","Performance.Save.","W","D","L","Performance.CS","Performance.CS.","Performance.PKatt","Penalty.Kicks.PKA","Penalty.Kicks.PKsv","Penalty.Kicks.PKm","Penalty.Kicks.Save.","League","Year"
"1344","Y. Hahn","Esia","GK","Ultimate Longhorns",29,1990,2.96,0.08,-0.05,0.06,NA,-0.08,0.09,NA,NA,NA,-0.01,0,0.09,-0.06,0,NA,0.07,-0.05,3.05,23.22,34.27,68.05,776.01,576.63,2.62,2.92,88.93,9.59,10.77,90.53,10.91,20.71,53.3,-0.01,0.08,-0.02,2.97,-0.08,0.03,-0.01,0.04,-0.08,0.1,-0.09,NA,0.05,0.28,-0.03,-0.02,0.41,0.05,-0.04,0.04,0.07,-0.02,0.02,-0.06,0.04,-0.07,0.28,2.99,3.02,269.98,3.04,2.71,2.77,7.03,4.39,61.85,0.06,0.04,0.95,0.05,-0.04,0.06,-0.03,0.03,0.01,NA,"C",2020
"1345","U. Ndagire","Mico","GK","Ultimate Longhorns",26,1992,8.98,-0.05,-0.01,-0.07,NA,-0.04,0.07,NA,NA,NA,0,0.04,-0.1,-0.08,-0.08,NA,-0.02,0.03,8.97,26.74,38.23,70.18,908.04,669.07,4.68,4.75,99.96,10.15,10.16,98.88,12.05,23.36,51.49,-0.06,0.08,-0.01,9.07,-0.03,-0.1,-0.07,0.05,0.06,-0.06,0.05,0.01,0.09,0.14,-0.03,0.07,0.28,0.07,0.03,-0.03,-0.04,0.02,-0.07,0.06,0,0.2,0.14,9.03,9.01,810,9.07,1.53,1.52,5.24,3.96,74.57,0.21,0.38,0.38,0.17,11.07,0.17,0.28,0.06,-0.06,0.08,"C",2020
"1374","B. Shimada","Esia","GK","Weak Chargers",31,1988,3.91,0.08,0.03,-0.07,NA,0.04,0.1,NA,NA,NA,0.09,0.02,0.06,-0.05,0.07,NA,-0.06,0.06,3.97,19.57,32.24,60.49,775.42,589.04,2.24,2.26,99.92,6.57,6.44,99.94,10.87,23.46,45.7,-0.02,0.09,0.07,3.92,-0.06,0.08,-0.03,0.06,-0.02,-0.01,0.02,NA,-0.04,-0.03,0.05,NA,-0.09,-0.01,-0.09,0.06,-0.08,-0.01,-0.08,-0.07,-0.03,-0.09,-0.03,4.08,3.96,360.07,4.1,2.18,2.23,4.96,2.67,54.99,-0.04,0.82,0.35,-0.05,-0.03,-0.02,-0.07,-0.09,-0.05,NA,"C",2020
"1375","C. Nakajima","Esia","GK","Weak Chargers",20,1999,1.75,0.05,0.01,0.07,NA,-0.04,-0.08,NA,NA,NA,0.07,-0.04,0.04,0.04,0.09,NA,0.06,-0.05,1.72,29.35,41.14,71.47,915.37,638.77,4.62,4.72,100.05,12.89,12.8,99.91,11.82,23.57,50.07,0.07,0.05,0.04,1.72,-0.05,0.02,0.06,0.04,-0.05,-0.04,-0.06,NA,-0.07,0.04,0.02,NA,0.05,-0.02,-0.06,0,0.09,0.09,0.03,0.04,-0.1,0.09,-0.09,1.91,0.98,151.03,1.64,2.4,2.35,6.39,4.16,63.52,0.06,-0.02,0.62,0.07,0.08,0.09,0,-0.05,0.04,NA,"C",2020
"1376","P. Wan","Redohrainbri","GK","Weak Chargers",34,1984,28.33,0.06,0.05,-0.02,NA,-0.09,0,NA,NA,NA,-0.09,-0.09,0.07,0.03,0.03,NA,-0.1,0.01,28.3,23.34,35.63,65.25,866.42,608.67,2.81,2.98,100,7.96,7.97,98.61,12.44,24.61,50.49,-0.05,0.04,-0.05,28.4,0.06,0.04,0.06,0.09,0.06,-0.01,0.15,-0.07,0.14,0.14,0.1,-0.1,0.08,-0.06,0.1,0.08,0.08,0.07,-0.08,-0.05,0.06,0.04,0.09,29.08,29.1,2546.98,28.34,1.72,1.66,4.6,3.36,70.13,0.4,0.2,0.51,0.37,31.08,0.31,0.17,-0.09,0.06,-0.01,"C",2020
"1402","E. Tushemereirwe","New Uwi","GK","White Firebirds",29,1990,32.02,0.08,-0.01,-0.05,NA,0,-0.07,NA,NA,NA,-0.03,0.04,-0.09,-0.01,0.06,NA,-0.04,0.02,32.04,31.72,39.63,80.05,854.84,476.36,5.51,5.6,99.37,16.21,16.55,98.38,9.76,17.31,56.3,0.12,0.02,0.01,32.01,0.08,-0.07,0.04,-0.09,-0.01,-0.06,-0.03,NA,-0.05,0.07,0.03,100.06,-0.02,-0.06,-0.1,0.08,-0.1,-0.07,-0.01,0,-0.09,0.11,0.02,31.92,32.08,2879.94,31.96,1.05,1.13,3.57,2.54,72.65,0.51,0.42,0.14,0.22,31.23,0.15,0.04,0.02,-0.06,0.09,"C",2020
"1403","A. Bagonza","Quewenia","GK","White Firebirds",25,1994,2.04,-0.08,0.02,0.03,NA,0.08,-0.1,NA,NA,NA,0.02,0.01,-0.02,0.04,-0.09,NA,0.08,-0.04,2.09,34.04,39.51,86.19,830.08,441.46,6.92,6.94,100,19.41,19.59,99.97,7.42,13.02,57.72,-0.01,-0.03,0.1,2.1,0.03,-0.09,0.01,0.01,0.03,0.09,0.07,NA,0.02,0,-0.02,NA,-0.07,-0.05,0.07,0.09,0.07,0.07,0.04,-0.1,-0.03,0.08,0,2.09,2.01,179.99,2.07,1.48,1.43,2.58,1.06,39.95,1.04,0.08,0.01,0.03,0.03,0.05,0.09,0.1,-0.03,NA,"C",2020
"1431","L. Foo","Sobianitedrucy","GK","Coy Sunbirds",28,1991,3.97,-0.07,0.07,0.07,NA,0.06,-0.08,NA,NA,NA,0.09,0.03,0.05,0.01,-0.09,NA,0.02,0.08,4.03,20.53,24.44,83.78,478.6,286.95,4.72,4.72,100.02,10.23,11.06,93.21,4.07,7.33,55.26,-0.07,-0.08,-0.08,3.91,0.07,-0.04,-0.01,-0.04,-0.02,-0.06,-0.01,NA,-0.01,0.09,0.02,NA,0.05,0.04,-0.02,0.03,0.03,-0.07,0.01,-0.04,-0.05,-0.06,-0.08,3.97,4.03,360.05,4,0.92,1.05,4.2,3.47,82.42,0.28,0.32,0.52,0.22,24.98,0.58,0.21,-0.05,0.32,-0.02,"D",2020
"1432","X. Dahan","Sobianitedrucy","GK","Coy Sunbirds",28,1991,33.92,0,0.09,0,NA,0.02,-0.02,NA,NA,NA,0.09,0.06,0.08,0.02,-0.03,NA,-0.05,0.02,34,24.67,33.5,73.94,783.35,512.47,5.02,5.14,99.38,7.47,7.48,99.29,10.96,19.62,55.91,0.07,-0.04,-0.1,33.91,-0.01,0.04,0.09,0.06,-0.09,0.1,0.1,50.07,0.11,0.25,0.06,19.96,0.19,-0.03,-0.09,0.09,0.04,0.04,0.08,-0.08,-0.04,0.08,-0.01,34.08,33.92,3060.01,34,1.47,1.63,5.48,3.95,74.47,0.31,0.14,0.35,0.24,14.71,0.31,0.27,0,0,33.3,"D",2020
"1458","J. Ashknaziy","Lefghau","GK","Deranged Defenders",26,1992,33.36,-0.08,0.05,-0.07,NA,-0.06,-0.03,NA,NA,NA,0.02,0.07,0,-0.09,0.03,NA,0.05,-0.05,33.28,22.66,29.37,76.7,590.1,369.24,7.14,7.16,99.54,8.22,8.27,97.85,7,13.54,51.54,-0.07,-0.02,-0.09,33.37,-0.05,0.05,-0.04,-0.02,-0.06,-0.07,-0.02,-0.02,0.05,0.15,0.03,16.77,0.15,-0.06,-0.06,-0.09,0.01,0.06,0.05,0.03,-0.04,0.12,0.14,34.04,34.08,2997.08,33.39,2.36,2.3,6.52,4.61,69.54,0.15,0.29,0.55,0.01,5.91,0.32,0.27,-0.02,-0.02,16.68,"D",2020
"1459","G. Nakandi","Sobianitedrucy","GK","Deranged Defenders",29,1990,4.66,0.03,0.01,0.08,NA,0.07,0.08,NA,NA,NA,-0.07,-0.03,-0.01,0.05,-0.01,NA,0.06,0.07,4.76,23.1,32.68,71.12,613.97,380.33,7.35,7.51,100.07,8.28,8.2,99.91,7.41,16.52,44.83,-0.07,0.01,-0.05,4.79,0.07,-0.07,0.08,-0.04,0.09,0.07,0.07,NA,-0.07,0.44,0.02,-0.07,0.43,-0.04,-0.09,0.04,0,-0.03,0.08,0.06,0.05,-0.03,0.08,5.04,3.93,422.94,4.68,1.98,1.92,5.65,4.02,70.47,0.62,-0.03,0.12,0.17,25,0.12,0.23,0.02,-0.05,0.08,"D",2020
"1487","N. Busingye","Sobianitedrucy","GK","Fighting Clippers",22,1997,21.76,-0.08,-0.06,0.03,NA,0.02,0.09,NA,NA,NA,-0.06,-0.04,0.1,0.02,0.1,NA,-0.01,0.06,21.62,23.34,27.63,84.41,520.65,262.39,7.98,7.89,99.45,9.99,10.03,99.99,5.51,9.8,56.3,-0.08,0.04,-0.05,21.76,-0.07,-0.05,0.09,-0.03,0.09,-0.09,0.01,0.01,0.15,0.22,0,0.09,0.12,0.05,0.04,0.03,-0.08,-0.09,0.12,0.01,0.02,0.1,0.01,22.07,20.91,1950.94,21.68,1.51,1.53,3.59,2.09,63.16,0.33,0.14,0.33,0.11,14.3,0.33,0.24,0.1,0.07,16.65,"D",2020
"1488","R. Owere","Western Niasland","GK","Fighting Clippers",30,1988,16.21,0.01,-0.06,0.05,NA,-0.01,0.03,NA,NA,NA,0,-0.05,0.07,-0.05,-0.09,NA,0.05,-0.01,16.3,24.93,28.7,87.23,585.83,344.47,6.65,6.71,99.92,11.83,11.98,99.43,6.11,9.82,62.9,-0.08,0.05,-0.01,16.25,-0.04,-0.04,-0.04,0.06,-0.05,-0.02,0.04,NA,0.02,0.28,-0.1,0.09,0.19,-0.1,-0.07,0.03,-0.08,0.1,0.06,0.08,0.05,0.08,0.07,16.96,16.93,1468.95,16.34,1.02,0.95,3.21,2.25,71.66,0.62,0.27,0.24,0.21,23.54,0.17,0.09,0.08,-0.03,-0.07,"D",2020
"1512","J. Vásquez","Nkasland Cronestan","GK","Fighting Wave",29,1990,28.82,-0.04,0,-0.08,NA,-0.1,-0.04,NA,NA,NA,0.06,-0.05,0.05,0,-0.06,NA,-0.05,-0.05,28.87,22.88,26.42,86.19,612.71,302.88,4.39,4.35,99.93,9.8,9.94,98.38,8.32,11.82,71.17,0.08,-0.01,0.1,28.85,-0.08,0.07,0.04,0.03,-0.03,-0.07,0.07,NA,-0.04,0,-0.01,0.07,0.03,0.02,0.01,-0.02,-0.03,0.03,0.01,-0.02,0.09,0.01,0.09,29.01,28.93,2591.07,28.72,1.17,1.24,4.23,3.27,79.24,0.67,0.23,0.13,0.45,37.94,0.43,0.24,-0.02,0.08,11.19,"D",2020
"1513","A. Amongin","Sobianitedrucy","GK","Fighting Wave",29,1990,0.22,0.01,0.01,-0.03,NA,0,-0.01,NA,NA,NA,-0.03,0.05,0.05,0.01,-0.09,NA,0.02,-0.05,0.23,14.91,15,100.08,404.96,345.01,-0.05,0.05,NA,9.97,9.94,100.1,4.99,5.03,99.99,-0.03,-0.04,0.06,0.21,0.06,0.03,0.04,0,-0.03,0.09,-0.04,NA,-0.09,-0.06,0.07,NA,0.1,0.02,0.08,-0.08,-0.09,0,-0.05,0.08,0.01,-0.08,0.08,1.08,0.08,18.9,0.12,0.01,-0.03,0.03,0.02,NA,-0.1,0.04,-0.09,-0.01,NA,0.08,0.01,0.06,0,NA,"D",2020
"1514","N. Tkachuk","Sobianitedrucy","GK","Fighting Wave",41,1978,9.02,-0.09,-0.09,0.04,NA,0.01,0.02,NA,NA,NA,0.02,-0.08,-0.1,-0.04,0.07,NA,0.08,0.04,9.04,21.79,23.57,92.01,502.97,278.38,6.44,6.39,100.02,8.83,8.89,99.96,5.58,7.26,75.82,0.1,0.03,-0.09,8.97,0.02,0.1,-0.05,0.1,0.01,0.05,0.08,NA,0.06,0.15,-0.06,0,0.18,-0.01,-0.08,0.05,-0.07,0.04,-0.07,-0.09,0.06,-0.01,-0.06,8.95,9.05,810.02,8.94,1.14,1.06,3.63,2.6,71.94,0.75,0.09,0.18,0.16,11.11,0.12,0.19,-0.05,0.17,-0.05,"D",2020
"1543","V. Razak","Lefghau","GK","Flying Bombadiers",35,1983,0.94,0.05,0.06,0.09,NA,-0.04,-0.01,NA,NA,NA,-0.06,0.04,0.1,-0.06,-0.01,NA,-0.09,0.07,1.07,25.04,27.95,89.2,575,293.95,4.1,4.07,100.09,16.03,16.03,99.97,5,7.95,62.49,0.09,0.08,-0.08,1.03,-0.02,-0.07,0.04,-0.1,0,0.08,-0.07,NA,0.08,-0.02,0.04,NA,-0.08,-0.08,-0.01,0.06,-0.08,0.06,0.09,-0.04,-0.05,-0.07,0.02,1.04,0.93,90.06,1.01,0.94,0.91,1.96,1.09,50.06,-0.06,1.05,-0.08,0,0.08,-0.01,-0.06,0.06,-0.06,NA,"D",2020
"1544","U. Mvula","Nkasland Cronestan","GK","Flying Bombadiers",28,1991,37.02,-0.03,-0.09,0.01,NA,0.03,-0.01,NA,NA,NA,-0.03,0.1,0.1,0.02,-0.1,NA,-0.01,0.07,37.05,23.5,30.91,75.64,667.87,369.46,3.78,3.75,98.59,10.76,10.72,99.1,8.46,15.87,53.15,-0.07,-0.03,-0.06,37.08,0.09,-0.02,0.08,-0.05,0.06,-0.09,0.08,NA,0.06,0.17,0.05,33.34,0.15,-0.04,0.08,0.1,0.04,-0.1,-0.02,-0.07,0.02,0.01,0.03,37.1,36.9,3330,37.07,1.69,1.77,4.95,3.21,67.87,0.29,0.29,0.38,0.03,5.39,0.27,0.08,-0.03,0.07,14.27,"D",2020
"1573","Z. Nyamahunge","Lefghau","GK","Hideous Spartans",37,1982,4.98,-0.09,0.04,-0.03,NA,0.07,0.1,NA,NA,NA,-0.02,0.08,-0.02,0,-0.04,NA,-0.05,0.04,4.92,21.44,30.69,69.94,670,435.42,3.69,3.59,100.02,7.76,8.03,97.59,9.64,18.52,51.67,-0.02,-0.04,-0.06,4.97,0.03,-0.04,0.02,-0.07,0.04,0.02,0.02,NA,0.05,-0.06,0.07,NA,0.01,0.08,0.02,-0.02,-0.02,0.07,-0.01,0.06,0.03,0.5,-0.02,5.97,5.05,454.01,5.03,2.24,2.19,2.94,1.17,40.03,0.16,0.16,0.61,0,-0.07,0.62,0.36,0.01,0.15,0.03,"D",2020
"1574","Y. Nanyondo","Sobianitedrucy","GK","Hideous Spartans",25,1994,15.91,-0.1,-0.06,-0.03,NA,0.08,-0.02,NA,NA,NA,-0.08,0.09,-0.06,0.01,-0.02,NA,0.05,-0.03,16.04,19.12,29.78,64.19,577.36,382.16,4.75,4.83,98.72,6.09,6.23,96.99,7.96,18.33,43.25,-0.02,0.01,-0.06,15.91,-0.05,-0.09,-0.04,0,-0.07,0.02,-0.03,NA,0.08,0.01,0.07,-0.09,0.03,0.08,0.09,0,-0.07,0.09,-0.01,-0.03,0.07,0.12,0.05,15.94,16.02,1440.03,16.06,1.39,1.38,5.44,4.16,76.71,0.22,0.36,0.43,0.22,18.75,0.23,0.11,0.07,-0.02,50.09,"D",2020
"1575","M. Ngamita","Xikong","GK","Hideous Spartans",29,1990,16.9,-0.01,-0.01,-0.02,NA,0.01,-0.01,NA,NA,NA,0.04,0.07,-0.04,0,-0.02,NA,-0.04,0.07,16.98,19.21,29.67,64.71,659.54,429.16,3.32,3.16,99.99,5.86,5.95,100.09,9.78,20.18,48.4,-0.09,-0.08,-0.04,16.87,0.06,0.02,-0.01,-0.04,0.03,-0.03,0.01,-0.01,0.02,-0.04,-0.08,NA,0.1,-0.07,0.09,0.05,-0.1,0,0.07,0.06,0.09,0.05,0.01,16.97,16.92,1524.01,16.88,1.51,1.49,4.86,3.76,75.85,0.43,0.39,0.16,0.26,23.57,0.26,0.29,-0.02,-0.09,-0.08,"D",2020
"1610","A. Kova?evi?","Sobianitedrucy","GK","Marvelous Heels",27,1992,5.85,-0.03,0.09,0.08,NA,0.09,-0.02,NA,NA,NA,-0.04,-0.08,0.03,-0.01,0.01,NA,-0.08,0.03,5.89,22.35,26.29,85.53,546.82,238.46,3.93,3.88,100,11.39,11.46,100.03,6.97,10.77,64.59,-0.06,-0.02,-0.1,5.73,-0.01,-0.08,-0.02,0.09,0.02,-0.09,-0.06,NA,0.06,-0.03,-0.02,NA,0.03,-0.1,0.01,0,-0.01,-0.09,-0.01,-0.05,-0.04,0.08,-0.05,6.09,5.01,525.02,5.72,0.91,0.81,3.36,2.34,73.65,0.61,0.06,0.11,0.29,39.93,-0.08,-0.08,-0.08,-0.01,NA,"D",2020
"1611","H. Okafor","Sobianitedrucy","GK","Marvelous Heels",24,1995,32.04,0.02,-0.07,0.08,NA,0.1,-0.09,NA,NA,NA,-0.01,0.02,0.08,0.04,0,NA,-0.01,-0.05,32.02,22.76,30.26,74.88,739.2,435.74,2.84,2.85,99.98,9.31,9.53,98.78,10.31,17.72,58.18,0.03,0,0.03,31.94,0.05,-0.02,-0.03,0.01,0.01,0.03,-0.02,-0.06,0.05,0.33,0.07,37.52,0.34,0.02,0.09,0.04,0.06,0.03,0.03,-0.09,-0.08,0.07,-0.02,33,32.97,2884.1,32.05,1.39,1.24,3.51,2.36,68.02,0.61,0.19,0.21,0.18,24.11,0.22,0.13,-0.04,-0.08,-0.09,"D",2020
"1612","P. Kachingwe","Sobianitedrucy","GK","Marvelous Heels",28,1991,0.06,-0.08,-0.09,-0.07,NA,-0.03,-0.06,NA,NA,NA,-0.04,-0.1,0.06,0.02,0.04,NA,0.06,0.08,0.18,29.95,29.92,99.95,799.99,730,20.04,20.02,99.97,0.04,-0.07,NA,9.94,9.92,99.99,0.02,0.09,0.01,0.08,0.1,0.06,0.03,0,0.03,-0.01,0,NA,-0.03,0.01,0.08,NA,0.1,0.07,-0.04,-0.08,0.09,0.04,-0.09,-0.06,-0.07,-0.01,0.03,1.05,0.04,11.07,0.11,10.06,8.23,9.93,0.02,-0.03,0.09,-0.1,-0.04,0.05,NA,-0.01,-0.02,-0.04,-0.09,NA,"D",2020
"1637","Y. Acola","Rarita","GK","Marvelous Patriots",32,1987,31.04,-0.1,-0.08,0.07,NA,-0.1,0.04,NA,NA,NA,-0.08,-0.01,0.03,-0.1,-0.04,NA,-0.06,-0.01,31.03,25.13,32.1,78.3,608.78,351.62,8.98,8.98,99.54,8.68,8.97,97.88,6.88,13.6,50.74,0.03,0.11,-0.08,30.95,0.09,0.07,0.06,0.03,0.09,-0.01,-0.05,0.02,0.03,-0.02,-0.02,0.1,-0.01,-0.06,0.09,-0.02,-0.04,-0.01,-0.09,0.04,0.09,0.05,0.1,1.92,2.05,180,2.06,1.95,2.08,5.42,4.05,72.8,-0.05,1.06,0.07,-0.06,-0.06,0.53,0.49,0.06,0.01,0.1,"D",2020
"1638","G. Hasan","Sobianitedrucy","GK","Marvelous Patriots",17,2001,2.04,0.03,-0.06,0.06,NA,0.04,0,NA,NA,NA,0.03,-0.05,0.06,-0.06,-0.06,NA,0.07,0.06,1.97,21.57,25.52,84.28,448.47,264.44,7.42,7.43,99.97,10.57,10.5,99.91,3.43,7.49,46.65,0.02,-0.03,0.05,1.9,-0.03,-0.1,-0.05,0.02,0.02,-0.07,0.04,NA,-0.02,0.04,-0.01,NA,0.04,-0.09,-0.1,0.04,0.06,-0.09,-0.06,0.05,-0.05,-0.04,0.08,5,5.01,450.02,4.98,0.89,0.76,5.29,4.61,84.6,0.45,0.42,0.19,0.37,39.92,-0.05,-0.08,-0.02,-0.09,NA,"D",2020
"1639","K. Huang","Sobianitedrucy","GK","Marvelous Patriots",38,1981,5.01,-0.03,-0.06,-0.04,NA,0.03,0.03,NA,NA,NA,-0.03,-0.04,-0.01,0.09,-0.02,NA,-0.01,0.05,4.94,26.07,31.53,82.37,537.55,292.56,10.42,10.37,99.98,10.09,10.42,96.19,5.05,10.14,48.99,-0.09,-0.09,-0.08,4.93,0.03,0.08,0.02,0.1,0.08,-0.03,0.14,0.08,0.11,-0.09,0,NA,-0.09,0.04,0.02,-0.04,0.05,-0.01,-0.02,-0.08,0.04,0.09,-0.01,37.97,38.05,3419.98,37.99,1.35,1.33,4.85,3.61,76.98,0.31,0.34,0.54,0.42,36.86,0.25,0.27,0.14,0.01,20.02,"D",2020
"1666","Y. Larsen","Imaar Vircoand","GK","Mean Wolves",25,1994,38.01,0.08,0.06,-0.09,NA,0.04,-0.03,NA,NA,NA,0,0.07,-0.08,0.01,0,NA,0.09,0.03,38.09,23.29,31.05,74.94,679.64,401.15,5.48,5.39,99.42,8.5,8.74,97.55,9.14,16.61,54.63,0.08,-0.02,0.07,38.06,-0.1,-0.06,-0.05,0.08,-0.04,0.06,-0.01,-0.02,0.11,-0.06,0.09,-0.07,-0.05,0.08,0.02,0.07,-0.03,-0.03,0.07,0.04,0.01,0,0.09,35.92,36.08,3240.05,35.93,1.62,1.71,4.44,3.08,66.8,0.29,0.15,0.5,0.16,24.98,0.18,0.1,0.04,-0.05,0.05,"D",2020
"1690","C. Hamed","Sobianitedrucy","GK","Mighty Monkeys",22,1997,36.05,-0.04,-0.05,-0.05,NA,0.05,-0.09,NA,NA,NA,0.02,0.09,0.08,-0.03,-0.09,NA,-0.03,0,35.97,18.21,28.84,63.68,603.58,392.55,2.31,2.38,97.58,8.09,8.19,98.97,7.98,18.21,43.4,0.05,-0.03,0.02,36.09,0.03,0,0.06,-0.05,0.06,0,0.08,-0.04,0.06,0,-0.09,0.06,0.03,0,-0.03,0.04,0.02,-0.07,0.05,0.09,0.1,0.06,0.11,2.06,2.04,180.06,2.03,2.43,2.58,6.58,3.95,69.3,0.06,0.49,0.6,-0.01,0,0.54,0.53,0.02,0,-0.07,"D",2020
"1691","S. Namuwonge","Sobianitedrucy","GK","Mighty Monkeys",24,1995,2,0.04,0.01,-0.08,NA,0.06,-0.02,NA,NA,NA,0.07,0.07,0.01,-0.02,-0.08,NA,0.06,-0.07,1.95,19.55,30.43,63.96,484.43,283.45,5,5.09,100.02,9.94,9.93,100.06,4.5,15.54,29.06,0.07,-0.02,-0.05,1.95,0.08,0.01,0.04,0.03,0.01,0.06,-0.06,NA,0,0.43,0.06,0.07,0.44,-0.07,-0.04,-0.05,0.06,0.01,-0.03,-0.01,-0.04,-0.07,-0.07,2.06,1.95,180.1,1.99,1.97,1.97,7.03,5.59,78.51,-0.04,0.45,0.55,0.09,0.05,0.55,0.47,-0.01,0.07,0.07,"D",2020
"1727","J. Colón","Coastpa Barleslands","GK","Punctual Fire",21,1998,2.09,-0.05,0.09,-0.01,NA,-0.01,-0.03,NA,NA,NA,-0.06,-0.04,0.01,0.08,-0.06,NA,0.09,0.1,2.04,27.05,35.6,76.02,686.46,367.6,8.46,8.41,99.98,7.98,8.45,94.1,10.01,18.06,55.64,0.09,0.01,0.08,2.08,0.08,-0.07,0.04,0.01,0.05,-0.04,-0.03,NA,0.02,-0.04,-0.07,NA,-0.02,-0.07,-0.08,0.43,-0.07,-0.07,0.59,0.07,-0.02,0.08,-0.01,10.01,10.06,900.01,9.93,2.81,2.87,6.56,3.79,56.04,0.05,0.1,0.85,0.05,-0.01,0.06,0.01,0.18,0.02,100.08,"D",2020
"1728","H. Saeed","Manlisgamncent","GK","Punctual Fire",22,1997,10.02,0.06,-0.02,-0.07,NA,-0.01,-0.03,NA,NA,NA,-0.02,0.04,-0.07,0.02,-0.09,NA,0.06,0.07,9.92,20.21,31.97,63.35,641.49,447.23,4.38,4.39,99.92,7.4,7.27,100.08,8.32,19.81,41.68,-0.08,-0.07,-0.07,9.99,-0.03,0.08,-0.02,0,-0.08,-0.06,0.22,0.02,0.13,0.01,0.1,0.08,0.16,0.03,-0.07,0.02,-0.01,-0.07,0,0.08,-0.04,-0.01,0.1,25.96,25.94,2340.02,25.99,1.55,1.56,5.37,4.17,75.37,0.09,0.15,0.76,0.09,11.47,0.31,0.24,0.03,-0.05,-0.03,"D",2020
"1729","A. Lynch","Moaithe","GK","Punctual Fire",30,1989,26.01,0.08,0.05,0.05,NA,0.02,-0.02,NA,NA,NA,0.02,0.04,-0.02,0.02,0.1,NA,-0.02,-0.08,26.1,23.95,34.07,70.46,773.51,529.91,4.73,4.87,100.05,8.31,8.57,97.25,10.67,20.54,52.24,0.08,-0.09,-0.09,26.09,0,0.04,0.08,-0.03,0.07,-0.04,0.16,25.02,0.03,0.26,-0.04,12.53,0.26,0.04,-0.05,-0.08,0.03,-0.02,-0.07,0,0.02,0.07,-0.08,2.91,2.94,269.93,2.99,2.7,2.62,4.31,2.36,53.74,0.34,-0.02,0.73,0.26,33.36,0.74,0.6,-0.09,-0.03,-0.06,"D",2020
"1761","T. Sharifi","Rosvi","GK","Red Rangers",23,1996,3.05,0.03,-0.01,0.04,NA,0.02,-0.05,NA,NA,NA,0.03,0.05,-0.08,-0.03,-0.02,NA,0.1,0.04,2.97,12.26,20.26,60.77,420.99,289.06,1.24,1.42,99.96,4.92,4.99,100.03,6.09,14.02,42.82,0.03,-0.04,0.02,3.03,0.1,0.01,-0.06,0.03,0.03,-0.01,-0.08,NA,0.02,0.35,0.06,-0.03,0.4,0.09,0.08,0.05,0.06,0.06,-0.02,-0.03,-0.04,0.03,-0.06,34.99,34.98,3150.02,35.09,1.22,1.3,4.25,3.03,75.61,0.34,0.44,0.31,0.18,25.65,0.23,0.28,-0.03,-0.03,-0.01,"D",2020
"1762","V. Ssali","Sobianitedrucy","GK","Red Rangers",28,1991,34.97,0.06,-0.09,0.04,NA,0.1,-0.05,NA,NA,NA,0.05,-0.03,0.03,-0.05,0.07,NA,0.01,-0.02,35.09,12.84,28.31,45.42,497.17,374.82,1.26,1.23,97.79,4.58,4.68,97.45,7.02,22.35,31.34,0.04,0.06,-0.09,35.07,-0.09,-0.08,-0.09,0.09,0.04,-0.07,0.13,0.06,0,0.16,-0.04,-0.02,0.03,-0.05,0.09,0.02,0.07,0,-0.02,-0.07,0.01,0.04,-0.01,1,1.02,90.07,1.01,0.94,0.98,1.93,0.93,49.98,0.91,-0.09,-0.09,0.04,0.03,-0.02,-0.09,-0.08,-0.02,NA,"D",2020
"1792","H. Tuhaise","Lefghau","GK","Remarkable Flames",22,1997,0.98,-0.05,0.04,-0.08,NA,-0.03,0.05,NA,NA,NA,-0.01,-0.08,0.02,-0.05,-0.02,NA,0.05,-0.07,1.02,29.92,44.05,68.18,752.09,352.92,7.04,6.93,100.06,13,13.02,100.05,9.96,24.08,41.68,0.02,-0.04,-0.08,1.08,-0.06,-0.05,0.05,0.06,-0.03,0.06,-0.06,NA,-0.1,-0.08,0.06,NA,0.06,0.07,0.04,-0.08,-0.09,-0.01,-0.04,-0.04,-0.06,-0.04,-0.06,31.99,31.96,2880.05,32.03,1.45,1.37,3.79,2.68,69.61,0.61,0.14,0.22,0.19,15.61,0.18,0.3,0,-0.01,11.01,"D",2020
