"","�..Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"784","E. Nelima","Reugha","DF","Supreme Janes",28,1991,7.57,0.09,0.17,-0.02,-0.04,0.35,0.05,-0.03,NA,8.52,0.08,0.09,0.02,-0.03,0.08,0.15,-0.12,0.03,34,40.07,85.22,704.97,188.81,9.54,11.06,85.67,19.37,21.31,90.27,4.56,6.73,68.51,-0.07,0.06,-0.06,0.11,0.82,0.21,0.05,1.24,2.63,1.82,2.31,0.31,-0.05,0.72,1.1,75.1,0.3,9.7,3.41,35.51,6.89,2.55,0.22,2.05,1.32,0.06,0.8,1.35,3.89,8.41,0.16,"B",2020
"785","J. Ferri","Reugha","DF","Supreme Janes",27,1992,19.36,-0.06,0.21,0.08,20.08,0.29,-0.01,0.02,-0.02,30.11,0.06,-0.04,0.08,-0.05,0.02,0.09,0,-0.11,41.62,55.85,74.5,755.28,335.13,17.96,20.47,87.39,19.3,25.08,76.57,4.1,8.86,47.89,0,-0.04,0.06,0.44,3.99,0.63,0.09,4.04,2.88,1.4,1.68,1.02,0.25,1.66,3.09,50.89,1.54,15.62,4.26,27.52,8.46,5.59,1.57,1.7,0.14,0.05,1.69,1.4,4.27,4.87,-0.1,"B",2020
"786","K. Balogun","Lenia Gerdanho","DFFW","Supreme Janes",22,1996,5.77,-0.07,0.7,0.25,24.91,0.61,0.22,-0.1,-0.07,18.33,-0.05,-0.1,-0.08,-0.01,0.09,0.04,-0.02,-0.08,44.78,54.7,81.81,739.42,254.04,25.5,28.82,88.53,14.43,17.15,84.03,4.38,6.76,66.6,-0.08,0.18,-0.09,1.05,3.53,0.37,0.04,4.58,1.03,0.41,0.18,0.6,0.09,0.75,1.98,36.44,1.26,14.76,4.06,27.11,4.85,6.58,3.19,1.65,0.08,-0.06,1.54,0.35,1.46,1.11,-0.06,"B",2020
"787","Y. D?browski","Rarita","DFMF","Supreme Janes",29,1990,3.63,-0.04,0.35,-0.09,-0.01,0.2,-0.03,0.06,NA,7.82,0.06,0.09,-0.03,0,0,0.08,-0.09,0.02,38.16,43.3,87.77,764.33,161.95,13.23,14.38,92.34,18.3,21.05,86.84,6.33,7.44,85.25,0.08,0.01,0.07,-0.03,0.27,0.06,-0.05,1.02,1.15,0.75,0.66,0.65,-0.09,0.37,1.47,20.02,1.2,8.81,3.03,34.4,4.99,3.84,-0.09,1.15,0.09,-0.03,1.03,1.58,2.71,6.1,0.01,"B",2020
"790","O. Cheah","Lefghau","FWDF","Supreme Janes",27,1991,2.96,-0.03,0.76,0.32,50.05,0.61,0.32,-0.06,0.05,34.53,0.39,-0.01,0.05,0,0.1,0.05,-0.12,-0.03,40.2,59.93,67.24,761.3,285.62,18.3,20.94,87.22,16.3,21.75,75.36,5.3,14.78,36.32,0,0.02,0,1.64,4.01,1.34,0.58,4.58,1.76,1.36,0.73,0.99,0.07,0.08,0.69,-0.06,0.69,17.78,3.36,18.9,4.28,11.06,2.38,0.73,-0.06,0.09,0.63,0.03,1.69,0.28,-0.07,"B",2020
"805","H. Romero","Coastpa Barleslands","DF","Swift Rustlers",22,1997,18.62,-0.03,0.19,0.01,40.04,0.28,0.04,-0.08,0.02,12.58,-0.03,-0.05,0.05,0.07,0.05,0.17,0,0.04,36.69,46.07,79.75,638.81,215.62,18.6,20.7,90.35,13.12,15.89,82.72,4.04,7.29,55.88,0.07,0.05,-0.13,0.78,2.49,0.75,0.41,3.24,2.33,1.3,1.41,0.68,0.33,0.73,1.74,48.45,0.81,13.67,4.52,32.91,6.69,4.95,2.03,1.47,0.01,0.02,1.57,1.1,3.36,2.45,0.09,"B",2020
"806","A. Schmidt","Dosqaly","DF","Swift Rustlers",26,1993,11.92,0.05,0.58,0.17,42.87,0.5,0.3,0.1,0.02,22.67,0,0.03,-0.04,0.1,-0.02,-0.03,-0.09,0.04,56.01,66.53,84.21,925.46,343.71,29.93,31.86,94.28,20.45,23.92,85.97,4.5,8.42,53.95,0.22,0.22,0.12,1.14,3.36,2.07,1.17,4.3,3.25,2.33,1.78,1.21,0.4,1.53,2.18,66.66,0.83,17.08,5.95,34.93,8.32,6.22,2.38,0.97,0.15,-0.08,0.81,0.9,4.2,2.17,0.08,"B",2020
"807","D. Tweheyo","Dosqaly","DF","Swift Rustlers",18,2001,15.72,-0.09,0.67,0.12,29.93,0.6,0.27,0.05,-0.05,13.25,0,0,-0.08,0.09,0.12,-0.01,-0.02,-0.09,51.32,59.05,87.04,1097.84,367.02,15.63,17.14,91.47,26.35,28.76,92.01,9.16,12.36,74.58,0.08,-0.03,0.06,0.28,3.94,0.14,0.05,4.16,1.33,0.67,0.9,0.33,0.1,0.28,0.87,38.58,0.42,7.99,2.86,35.43,4.18,3.3,0.46,1.64,0.77,0.01,0.9,1.15,2.64,5.39,0.09,"B",2020
"808","Y. Meyer","Nkasland Cronestan","DF","Swift Rustlers",31,1988,23.03,0.12,0.57,0.12,33.25,0.5,0.11,0.13,0.3,7.18,-0.04,0.03,0.09,-0.03,0.14,0.03,0.03,0.03,42,46.94,89.54,969.26,235.8,8.29,8.84,93.66,25.65,26.79,95.73,8.02,11.05,72.83,-0.05,0,-0.01,-0.06,0.88,-0.03,0.09,1.36,1.34,0.49,0.72,0.56,0.01,0.52,1.06,54.19,0.44,7.22,2.29,31.28,4.7,2.43,0.21,1.83,0.8,0.03,1,0.73,2.01,7.13,0.09,"B",2020
"809","O. Bošnjak","Northern Namemo Laand","DF","Swift Rustlers",25,1994,19.59,0.11,0.42,0.29,39.91,0.43,0.2,0.3,0.45,13.68,-0.01,0.03,0.02,0.15,0.15,0.25,0.03,0.1,48.04,53.98,88.98,1124.25,339.22,11.3,12.48,89.23,24.87,26.69,93.62,11.65,14.37,81.06,0.04,0,0.08,-0.03,3.31,0.12,0.05,3.76,2.64,1.34,1.85,0.76,-0.09,1.25,2.54,50.02,1.32,12.05,4.54,37.65,7.31,4.32,0.46,2.04,0.82,-0.07,1.34,1.1,3.76,4.25,0.14,"B",2020
"810","N. Gumbo","People's Land of Maneau","DF","Swift Rustlers",18,2000,1.13,0,0.93,-0.09,-0.02,0.84,-0.05,-0.09,NA,12.99,-0.08,-0.09,0,0.05,-0.09,-0.01,0.02,-0.1,49.2,57.51,85.41,1076.66,291.68,12.52,13.27,93.8,27.4,29.2,94.24,8.23,14.19,58.85,-0.08,-0.05,-0.1,0.05,2.41,0.03,0.04,5.89,1.68,0.89,1.59,0.04,0.02,0.73,1.59,49.97,0.8,12.57,4.2,33.23,9.95,1.72,0.73,4.08,0.8,-0.06,3.25,2.48,4.17,5.76,0.03,"B",2020
"811","O. Ninsiima","Greri Landmoslands","DFFW","Swift Rustlers",24,1995,18.51,0.29,1.44,0.63,39.37,1.51,0.56,0.13,0.34,15.04,0.04,-0.05,0.05,0.2,0.37,0.14,-0.05,0,33.54,42.14,79.67,501.78,146.09,19.86,22.32,88.94,11.41,14.09,81.46,1.48,3.17,48.32,0.01,0.21,-0.18,1.59,1.53,1.13,0.37,2.73,1.68,1.17,0.65,0.77,0.29,0.63,2.42,22.69,1.86,14.4,3.67,26.02,4.01,5.69,4.61,0.85,0.04,0.04,0.82,1.24,3.04,0.44,-0.05,"B",2020
"812","S. Jalali","Esia","DFMF","Swift Rustlers",22,1997,9.83,0.08,0.98,0.01,10,0.93,0.19,-0.02,-0.02,20.17,-0.02,-0.03,-0.1,0.11,0.1,0.15,-0.12,-0.11,42.98,53.26,80.54,806.17,282.11,16.18,19.13,84.68,20.8,24.01,86.63,5.06,8.4,61.44,-0.04,-0.01,-0.15,0.55,3.12,0.81,0.14,4.24,2.44,1.38,1.68,0.9,0.02,1.3,3.34,35.25,2.2,17.25,5.11,29.31,6.57,8.04,2.39,3.1,0.34,0.01,2.75,1.57,4.04,1.68,0.09,"B",2020
"813","L. Fung","Greri Landmoslands","DFMF","Swift Rustlers",22,1996,11.74,0.08,1.44,0.36,31.3,1.4,0.35,0.03,0.06,19.26,0.04,-0.05,-0.08,0.18,0.02,0.11,-0.16,-0.08,44.17,54.61,80.82,737.25,275.39,20.89,23.69,88.03,18.92,22.84,82.72,3.24,5.88,55.9,0.05,0.23,-0.09,1.02,3.2,1.68,0.26,6.08,4.72,2.9,2.44,1.88,0.36,1.89,4.87,37.53,2.94,25.51,7.78,30.93,9.32,11.62,4.44,2.24,0.13,-0.03,1.99,1.33,6.05,2.12,0.11,"B",2020
"814","L. Chifamba","Lefghau","DFMF","Swift Rustlers",26,1992,11.76,-0.04,0.1,-0.09,NA,0.01,-0.05,NA,NA,NA,0.03,-0.08,0.03,-0.03,-0.03,NA,0.06,0.03,46.67,54.48,85.79,843.87,321.46,18.54,19.95,92.71,23.84,26.61,89.42,3.86,6.59,57.2,0.09,-0.05,-0.06,0.25,3.61,0.12,0.16,3.67,2.46,1.15,1.18,1.29,0.23,0.67,1.66,35,1.07,14.4,4.83,33.59,6.72,7.33,0.56,1.01,0.51,0.09,0.58,0.97,3.43,3.42,0.04,"B",2020
"833","C. Danquah","Byasier Pujan","DF","Unaccountable Foxes",23,1995,11.89,-0.02,0.69,0.14,28.61,0.63,0.21,-0.07,0.07,17.25,-0.08,-0.08,-0.08,0.09,0.11,0.17,-0.11,-0.04,57.44,70.77,81.17,1021.74,378.77,28.13,30.81,91.53,22.45,26.97,83.47,6.36,9.83,64.09,0.07,0.09,0.05,0.99,3.93,1.2,0.56,5.49,3.2,2.06,1.69,1.07,0.24,1.01,1.7,52.39,0.85,12.58,3.97,31.95,5.71,4.63,2.35,1.71,0.23,0.08,1.48,1.3,4.4,3.56,-0.04,"B",2020
"834","B. Nandudu","Dosqaly","DF","Unaccountable Foxes",18,2000,0.48,-0.04,-0.08,0.09,NA,-0.04,-0.03,NA,NA,NA,-0.04,-0.03,0.02,-0.08,-0.06,NA,0.09,-0.09,80.06,94.03,85.04,1278.07,316.06,41.95,44.02,95.55,33.91,37.98,89.51,4.06,5.98,66.66,-0.1,0.17,-0.11,3.94,1.91,0.04,-0.01,1.91,0.02,-0.08,-0.05,0.05,0,0.04,-0.06,NA,0.04,10.02,5.95,60.07,6.06,4.05,0,0.06,-0.05,-0.02,-0.08,-0.08,0.08,0.05,-0.06,"B",2020
"835","H. Chandiru","Dosqaly","DF","Unaccountable Foxes",19,2000,0.15,0.04,0.05,-0.04,NA,0.06,-0.09,NA,NA,NA,0.09,-0.08,-0.02,0.01,-0.09,NA,-0.04,0.02,39.91,49.94,79.9,1060.05,340,-0.04,0.09,NA,19.97,20,100.01,20.03,30.08,66.66,0.1,-0.08,-0.02,-0.01,0.02,0.02,0.09,0.05,0.06,0.04,0.01,0.05,0.06,-0.06,0.06,NA,-0.04,10,0,0.05,10.08,-0.04,0.07,10.06,10.01,0.02,-0.03,-0.01,-0.04,10,0.04,"B",2020
"836","J. Delemovi?","Dosqaly","DF","Unaccountable Foxes",24,1994,14.99,-0.1,0.26,-0.05,0.08,0.27,0.01,-0.07,NA,24.18,-0.01,-0.06,-0.07,0.08,0.07,-0.07,0.03,-0.1,51.54,64.38,79.81,965.23,371.18,21.63,24.59,88.08,22.89,27.49,83.36,6.36,10.57,60.15,0.01,0.04,-0.19,1.02,3.13,0.84,0.39,4.84,2.01,1.36,1.3,0.73,0.13,0.71,1.78,46.21,0.96,15.98,4.76,30.36,8.92,4.48,2.53,1.69,0.32,0.01,1.44,0.93,2.83,2.44,-0.04,"B",2020
"837","B. Chided","Lefghau","DF","Unaccountable Foxes",29,1990,7.79,0.08,0.54,0.21,20.06,0.68,0.14,-0.09,-0.02,26.82,-0.02,-0.09,0.01,-0.03,0.02,-0.05,0.02,0.04,45.72,55.88,81.83,692.11,297.07,26.41,28.29,93.2,16.39,19.89,81.86,2.25,5.28,42.92,0,0.14,0.01,0.41,3.14,0.17,0.07,3.91,3.24,2.31,2.04,0.96,0.22,1.19,2.32,55.51,1,19.6,5.69,28.75,7.81,8.17,3.62,2.36,0.48,-0.04,1.94,0.97,4.21,2.86,0.01,"B",2020
"838","D. Byogero","Lefghau","DF","Unaccountable Foxes",32,1987,16.77,-0.05,0.54,0.17,25.03,0.52,0.06,0.09,0.01,10.03,0.07,-0.09,-0.06,0.03,0.06,0.07,0.03,0.04,59.09,67.83,87.07,1377.31,393.19,13.17,14.24,92.4,31.68,33.56,94.34,13.84,19.22,72.26,-0.01,0.06,-0.01,-0.02,4.35,0.04,-0.03,4.35,1.87,1.04,1.33,0.55,0.01,0.5,1.2,49.95,0.67,6.54,2.44,38.02,4.64,1.61,0.12,1.54,0.92,0.04,0.66,1.06,2.99,6.8,0.08,"B",2020
"839","U. Arthur","Lefghau","DF","Unaccountable Foxes",30,1989,9.17,0.06,0.49,0.04,19.98,0.58,0.07,-0.06,-0.1,27.19,-0.07,-0.08,-0.06,-0.04,-0.01,0.09,-0.07,-0.05,67.45,81.78,82.48,1270.16,431.71,28.75,31.51,90.65,28.82,33.98,85.24,8.9,13.74,64.58,0.12,0.16,-0.09,1.28,6,1.37,0.69,5.8,3.38,1.79,2.11,0.97,0.39,1.29,2.59,52.26,1.3,13.77,6.1,44.18,7.39,4.29,2.25,2.12,0.42,-0.08,1.8,1.57,5.09,3.71,0.1,"B",2020
"840","E. Nakayiza","Mico","DF","Unaccountable Foxes",23,1996,16.96,0.08,0.65,-0.03,10.04,0.68,0.14,0.2,0.98,15.4,0.01,0.1,-0.01,0.1,-0.02,0.14,-0.05,0.08,70.11,76.84,91.09,1644.66,418.59,13.44,14.14,93.75,41.33,43.57,94.74,15.19,18.48,81.6,-0.06,-0.07,-0.09,0.28,3.33,0.08,-0.02,3.9,1.07,0.62,0.93,0.06,-0.01,0.28,1.19,31.6,0.71,6.27,1.97,31.75,4.67,1.4,0.33,1.25,0.75,0.04,0.47,0.56,1.58,5.49,0.21,"B",2020
"841","Q. Vuji?","Reugha","DF","Unaccountable Foxes",24,1995,9.16,0.08,0.27,0.09,0.01,0.27,0.05,-0.09,NA,32.04,-0.03,-0.09,0.06,0.06,-0.03,0.06,-0.02,0.02,61.56,71.22,86.62,1162.12,367.42,23.78,25.76,92.75,30.33,33.17,91.68,7.12,11.31,63.04,-0.07,0.05,-0.02,1.1,2.93,0.6,0.29,5.41,2.56,1.64,1.99,0.48,0.07,1.21,2.27,54.91,1,8.92,2.53,28.48,6.26,1.91,0.68,0.97,0.11,0.01,0.7,0.58,3.37,2.33,0.06,"B",2020
"842","H. Nyombi","Southern Ristan","DF","Unaccountable Foxes",24,1995,23.61,0.07,0.13,0.11,40.04,0.27,0.15,-0.01,-0.07,6.51,-0.07,-0.06,0.02,0.11,-0.05,0.15,-0.04,-0.09,62.97,66.22,95.26,1405.84,392.24,14.66,15.14,96.08,36.18,36.89,98.37,11.78,13.63,86.42,-0.02,-0.02,-0.06,0.23,2.54,-0.04,0.03,2.59,0.91,0.59,0.69,0.26,-0.05,0.23,0.62,46.68,0.26,6.1,2.34,36.88,4.17,1.66,0.24,1.75,1.28,-0.05,0.58,0.46,1.29,4.41,0.02,"B",2020
"846","J. Rinaldi","Central Diasongo","FWDF","Unaccountable Foxes",22,1996,14.75,0.26,1.6,0.84,54.23,1.52,0.94,0.2,0.37,16.86,0.17,0,0.09,0.09,0.26,0.03,0.04,0.04,33.71,46.52,72.36,555.54,192.85,18.19,21.57,83.81,12.06,15.87,76.58,2.55,6.17,40.71,0.24,0.1,0.09,1.6,1.53,1.45,0.88,3.35,1.82,0.86,1.44,0.32,0.28,1.11,1.79,65.35,0.58,14.8,4.59,31.02,5.62,5.61,3.67,1.41,0.19,-0.1,1.31,1.06,2.96,1.93,0,"B",2020
"860","Y. Peter","Central Namemo Laand","DF","Unethical Comets",28,1991,20.18,-0.03,0.43,0.04,9.94,0.57,0.02,-0.04,-0.09,21.87,0.04,-0.08,0,0,0.02,0.06,-0.09,0.05,33.4,44.44,74.9,609.11,259.47,15.76,18.11,87.5,12.94,16.14,80.04,3.97,7.84,51.82,-0.05,0.02,-0.09,0.54,2.47,0.85,0.4,3.61,1.09,0.3,0.64,0.39,0.07,0.38,0.97,42.15,0.53,13.87,3.43,25.46,6.1,5.67,2.22,1.78,0.08,-0.01,1.94,0.35,1.37,2.32,-0.06,"B",2020
"861","B. Nassozi","Dosqaly","DF","Unethical Comets",34,1985,21.67,-0.02,0.46,0.17,24.93,0.47,0.07,0.09,-0.05,9.72,-0.01,0.05,-0.07,-0.03,0.11,0.13,-0.02,0.02,35.09,41.68,83.97,706.09,317.31,12.35,13.88,88.94,17.9,19.96,89.83,4.79,7.19,65.42,0.02,0.05,0.04,0.08,2.88,0.17,0,3.82,1.46,0.97,1.02,0.35,0.05,0.72,1.84,39.05,1.13,9.49,3.05,31.43,4.97,4.09,0.5,1.38,0.27,-0.06,0.98,1.43,2.93,4.53,-0.07,"B",2020
"862","B. Pandit","Dosqaly","DF","Unethical Comets",19,2000,1.02,-0.05,-0.06,-0.08,NA,-0.07,0.08,NA,NA,NA,-0.06,-0.01,0.1,-0.09,0,NA,-0.08,-0.01,37.04,45.06,82.15,846.9,328.07,7.9,9.91,80.09,19.99,22.01,90.97,8.02,12.08,66.7,-0.09,-0.04,0.02,-0.03,0.98,-0.09,0.03,2.99,-0.08,0.05,0.05,-0.07,-0.02,-0.03,2,-0.01,1.97,14.06,1.93,14.38,8.02,3.99,2.04,5.06,1,0.06,3.98,0.08,0.09,4.91,0.05,"B",2020
"863","K. Cohen","Dosqaly","DF","Unethical Comets",27,1992,22.36,-0.01,0.75,0.14,26.67,0.62,0.2,0.08,0.45,20.16,-0.09,0.04,-0.04,-0.03,-0.03,0,0.12,0.04,36.01,47.46,76.09,611.4,267.19,17.97,20.92,86.17,14.54,18.24,79.61,2.86,5.77,51.12,-0.04,0.12,0.03,0.6,2.33,0.58,0.15,3.87,2.5,1.29,1.66,0.45,0.24,1.3,3.33,37.87,2.11,19.21,4.98,25.67,8.24,7.59,3.41,1.87,0.2,0.08,1.73,0.5,3.04,2.82,-0.09,"B",2020
"864","R. Dube","Dosqaly","DF","Unethical Comets",20,1999,6.29,0,0.3,0.08,50,0.4,0.09,-0.08,-0.08,6.42,0.1,0.04,0.04,0.07,0.09,0.07,-0.11,0.08,31.09,37.65,82.83,655.33,236.63,10.4,11.57,90.32,15.92,17.69,89.99,4.43,7.54,59.57,0.05,0.01,0.05,-0.09,1.34,0.14,0,2.71,0.88,0.64,0.61,0.34,-0.05,0.01,0.42,-0.06,0.49,8.48,1.81,20.88,6.36,2.18,-0.06,2.16,0.98,0.03,1.15,1.17,2,4.38,-0.05,"B",2020
"865","D. Nangiro","Greri Landmoslands","DF","Unethical Comets",28,1990,15.35,0.09,0.53,0.24,33.31,0.59,0.28,0.14,0.27,13.43,0.04,-0.05,0.05,0.13,-0.01,0.19,0.02,0.05,38.46,46.7,82.28,889.23,345.62,10.6,11.68,91.48,19.27,20.85,92.48,8.23,13.58,61.75,0.02,0,-0.01,0.16,3.73,0.23,0.08,4.73,2.5,1.84,1.4,1.03,0.03,0.62,1.29,57.96,0.59,12.95,4.51,34.52,7.25,5.11,0.57,1.51,0.84,0.05,0.69,0.91,3.5,3.63,0.05,"B",2020
"866","L. Popa","Janmico","DF","Unethical Comets",23,1996,0.75,-0.01,0.03,-0.02,NA,-0.08,0.08,NA,NA,NA,0.07,-0.08,0.04,0.08,0.02,NA,-0.06,0.01,27.04,38.57,70.43,429.98,241.32,14.24,17.1,83.33,11.4,14.2,80.07,0,0.04,NA,0,0.02,0.01,-0.08,0.04,0.03,-0.1,0.05,2.89,2.91,2.9,-0.09,0.1,2.95,4.27,66.74,1.51,15.67,2.93,18.27,7.16,7.14,1.39,2.94,-0.06,-0.1,2.78,1.51,4.36,2.83,0.01,"B",2020
"867","L. Kalni?š","Lefghau","DF","Unethical Comets",41,1977,27.81,-0.05,0.42,0.01,0.07,0.49,-0.01,-0.1,NA,7.56,-0.07,-0.05,0,0.04,0.09,0.07,0.02,-0.11,39.11,47.25,82.78,1063.39,382.4,5.94,7.2,84.4,18.83,19.96,94.27,13.88,19.28,72.07,0.09,0.1,0.14,0.42,3.35,0.19,-0.02,3.31,1.25,0.93,0.93,0.33,0.14,0.61,1.4,43.9,0.88,6.07,2.13,35.3,3.96,1.92,0.24,1.33,0.87,-0.02,0.58,1.1,2.54,7.56,0.06,"B",2020
"868","H. Afriyie","Dosqaly","DFMF","Unethical Comets",22,1996,6.51,0.24,1.95,0.7,38.6,2.06,0.86,0.11,0.13,22.06,0.29,-0.06,0.02,0.15,0.14,0.11,0.15,0.04,29.5,38.43,76.35,539.5,240.93,12.35,14.07,87.89,13.22,17.11,76.89,3.53,6.79,52.28,0.1,0.08,0.16,0.6,2.05,1.71,1,5.07,2.05,1.85,1.27,0.44,0.49,0.99,2.59,41.14,1.49,18.68,5.13,28.11,6.71,8.53,3.45,1.25,0.24,-0.09,1.07,0.71,2.79,1.94,-0.01,"B",2020
"869","Z. Ebner","Dosqaly","DFMF","Unethical Comets",19,2000,1.63,0.02,0.05,0.1,NA,0.08,0.07,NA,NA,NA,-0.07,0.09,0.05,-0.05,-0.08,NA,-0.01,-0.01,27.11,38.16,70.86,514.79,138.77,12.95,16.56,78.54,10.63,14.66,71.95,3.61,6.99,49.95,-0.05,0.12,0.02,1.25,-0.07,1.77,1.2,1.09,0.59,-0.04,0.56,0.03,0.08,0.66,2.38,25.03,1.69,19.31,3.61,18.17,9.45,6.44,3.47,1.24,1.14,-0.05,-0.03,0.08,0.65,1.79,0,"B",2020
"870","M. Mizrahi","Rosvi","DFMF","Unethical Comets",23,1995,9.08,0.06,0.87,0.04,12.5,0.86,0.04,-0.07,-0.05,22.96,0.05,-0.05,0.06,0.09,0.02,0.01,-0.1,0.07,31.21,41.67,75,600.39,217.61,13.68,16.47,82.49,11.67,14.51,80.28,5.25,7.97,66.2,0.13,-0.05,0.2,1.13,1.82,1.06,1,2.88,2.13,0.8,1.52,0.59,0.09,0.83,2.12,36.89,1.39,17.41,3.53,19.7,4.85,8.1,4.76,1.65,0.33,0.04,1.4,0.12,2.27,1.37,0.08,"B",2020
"885","J. Mutyaba","Dosqaly","MFDF","Unethical Comets",29,1990,27.24,0.04,0.54,0.23,43.75,0.63,0.32,0.06,0.23,13.14,-0.07,-0.07,-0.09,-0.04,0.12,0.1,0.03,-0.06,29.18,36.28,80.62,584.48,190.03,11.17,13.22,83.26,12.91,14.87,87.01,4.67,7.26,64.9,-0.04,0.03,-0.06,0.43,3.08,0.28,0.08,3.13,1.9,1.38,0.68,0.87,0.16,0.68,2.68,27.83,1.83,18.33,5.5,30.55,5.87,9.35,3.1,1.84,0.67,0.08,1.21,1.07,2.77,3.25,-0.01,"B",2020
"887","H. Isa","Central Diasongo","DF","Villainous Eagles",32,1986,22.8,0,0.38,-0.03,0.01,0.48,0.07,0.03,NA,11.48,0.09,-0.08,0,-0.01,-0.03,0.12,-0.1,-0.03,38.47,45.08,85.32,834.91,301.53,8.72,9.79,89.67,23.67,25.35,93.97,5.64,9.11,61.06,0.03,0,0,0.19,1.87,0.15,-0.05,1.89,1.4,1,0.96,0.31,0.02,0.52,1.13,50.04,0.61,9.56,3.5,36.11,6.65,2.46,0.37,1.63,0.57,0.08,0.93,0.8,2.05,5.1,0.04,"B",2020
"888","K. Weiß","Central Diasongo","DF","Villainous Eagles",22,1996,4.97,-0.02,0.03,0.01,NA,0.04,-0.01,NA,NA,NA,0.08,0.07,0.09,0.01,-0.05,NA,0.01,0.09,46.69,60.68,76.94,733.03,340.82,26.67,29.23,91.1,16.53,20.97,78.92,2.86,8.02,35.06,0.21,-0.03,0.11,0.82,2.59,0.84,0.28,3.98,2.03,0.79,1.44,0.36,0.18,1.03,1.87,55.53,0.83,11.71,3.59,30.43,6.92,3.6,1.23,2.71,0.04,0.04,2.7,0.89,2.8,2.68,0.09,"B",2020
"889","Y. Bano","Central Diasongo","DF","Villainous Eagles",29,1990,6.11,0.09,0.22,-0.02,-0.07,0.16,-0.07,-0.03,NA,22.78,-0.05,0.07,0.06,0.08,0.04,-0.03,-0.03,-0.04,33.47,44.92,74.3,571.4,277.29,15.44,16.95,91.31,14.82,18.6,80.1,2.81,7.51,38.38,0.09,-0.01,0.02,0.52,1.55,0.39,0.23,2.18,2.01,1.06,1.49,0.16,0.5,1.21,2.29,50.07,1.11,10.05,2.28,22.58,4.58,3.96,1.56,1.51,0.1,-0.02,1.29,0.33,2.36,2.23,-0.05,"B",2020
"890","T. Maganga","Coastpa Barleslands","DF","Villainous Eagles",23,1996,0.66,-0.02,0.09,0.03,NA,0.1,0.07,NA,NA,NA,0.02,-0.03,0.08,-0.09,-0.05,NA,0.08,0.06,81.34,89.96,90.47,1404.21,515.69,39.98,41.36,96.64,32.88,38.69,85.15,7.23,8.54,83.25,-0.01,0.12,-0.24,1.4,2.82,1.35,1.44,5.76,1.39,-0.07,0,1.47,-0.03,-0.02,-0.04,NA,-0.1,15.78,4.28,27.34,5.69,7.06,2.91,2.8,0.04,0.09,2.8,-0.01,1.52,-0.03,0.1,"B",2020
"891","M. Lehmann","Dosqaly","DF","Villainous Eagles",25,1994,5.13,-0.08,-0.05,0,NA,-0.1,-0.04,NA,NA,NA,0.04,0.02,0,-0.01,0.08,NA,0.06,0.03,41.16,55.02,74.7,658.11,308.81,21.95,25.04,87.6,15.35,19.23,79.67,3.01,7.23,40.59,0.01,-0.04,-0.09,1.16,3.73,0.99,0.39,5.3,1.4,0.52,0.82,0.47,0.16,0.62,2.3,24.9,1.7,16.25,4.99,30.12,7.35,5.81,3.07,2.25,0.25,-0.02,2.21,0.92,2.41,1.63,-0.07,"B",2020
"892","M. Okori","Dosqaly","DF","Villainous Eagles",18,2001,14.19,0.01,0.34,0.04,0.02,0.22,-0.06,0.02,NA,17.9,0,-0.1,0.06,-0.08,0.03,0.11,0.08,0,44.09,56.46,77.95,734.08,334.34,23.96,26.17,91.67,16.39,19.88,81.52,3.58,8.33,42.07,0.08,0.04,0.12,0.85,2.52,1.25,0.85,3.43,2.33,1.18,0.96,0.71,0.63,0.34,1.59,25.07,1.25,15.84,5.81,37.11,7.37,5.76,2.66,2.29,0.16,-0.07,2.2,0.89,3.08,3.55,0.03,"B",2020
"893","S. Parisi","Dosqaly","DF","Villainous Eagles",31,1988,26.04,0.09,0.31,0.13,24.97,0.4,0.05,0.18,0.53,8.17,0.07,0.03,0.03,0.03,0.09,0.08,-0.04,0.01,38.29,43.61,87.29,933.08,333.31,8.77,9.46,93.98,18.49,19.65,93.28,10.64,13.97,75.84,0.01,0.04,0.05,0.24,1.85,-0.02,0.03,1.64,1.05,0.81,0.71,0.39,0,0.24,1.08,26.76,0.86,8.67,3.38,39.68,6.32,2.35,0.14,2.08,0.76,0.06,1.28,1.33,2.4,6.85,0.02,"B",2020
