Player Name,League,Squad,Country,Position,Annualized Salary
E. Koç,A,Stacked Rocks,Rarita,DF,"∂ 14,050,000"
W. Karlsson,A,Stacked Rocks,Southern Ristan,DF,"∂ 8,610,000"
C. Bai,A,Stacked Rocks,Western Niasland,DF,"∂ 14,830,000"
Q. Ariko,A,Stacked Rocks,Djipines,FW,"∂ 34,440,000"
C. Kadosh,A,Stacked Rocks,Landli Blicporlip,FW,"∂ 33,020,000"
P. Musiime,A,Stacked Rocks,Lefghau,FW,"∂ 26,930,000"
J. Hakim,A,Stacked Rocks,People's Land of Maneau,FW,"∂ 9,770,000"
Z. binti Zakaria,A,Stacked Rocks,People's Land of Maneau,FW,"∂ 31,400,000"
L. Kyalisiima,A,Stacked Rocks,Byasier Pujan,FWMF,"∂ 19,220,000"
D. Namugerwa,A,Stacked Rocks,Imaar Vircoand,FWMF,"∂ 29,860,000"
C. Guerrero,A,Stacked Rocks,Lefghau,FWMF,"∂ 33,230,000"
W. Nasiru,A,Stacked Rocks,Rarita,GK,"∂ 22,410,000"
G. Magnusson,A,Stacked Rocks,Dosqaly,MF,"∂ 23,890,000"
H. Cardoso,A,Stacked Rocks,Dosqaly,MF,"∂ 16,120,000"
H. Ruiz,A,Stacked Rocks,Imaar Vircoand,MF,"∂ 25,380,000"
A. Kiss,A,Stacked Rocks,Mico,MF,"∂ 12,340,000"
I. Nayak,A,Stacked Rocks,People's Land of Maneau,MF,"∂ 12,860,000"
V. Álvarez,A,Stacked Rocks,Rarita,MF,"∂ 27,580,000"
J. Tse,A,Swift Musketeers,Dosqaly,DF,"∂ 14,990,000"
W. Twinamatsiko,A,Swift Musketeers,Mico,DF,"∂ 11,320,000"
K. Ferrari,A,Swift Musketeers,Nancipenuaroe,DF,"∂ 15,610,000"
D. Shahar,A,Swift Musketeers,Nkasland Cronestan,DF,"∂ 12,060,000"
F. Fujihara,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 20,700,000"
J. Ssempijja,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 15,840,000"
P. Byamukama,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 18,330,000"
Q. Tiko,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 12,270,000"
W. Alves,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 12,900,000"
E. Kühn,A,Swift Musketeers,Dosqaly,DFMF,"∂ 24,300,000"
D. Obeng,A,Swift Musketeers,Ngoque Blicri,FW,"∂ 26,810,000"
C. Joly,A,Swift Musketeers,People's Land of Maneau,FW,"∂ 18,000,000"
T. Acom,A,Swift Musketeers,People's Land of Maneau,FW,"∂ 33,590,000"
F. Siddiqui,A,Swift Musketeers,Southslands,FW,"∂ 26,220,000"
S. Sarpong,A,Swift Musketeers,Southslands,FW,"∂ 26,170,000"
D. Tukamuhebwa,A,Swift Musketeers,People's Land of Maneau,FWMF,"∂ 22,990,000"
F. Ribeiro,A,Swift Musketeers,People's Land of Maneau,GK,"∂ 25,830,000"
S. Aslan,A,Swift Musketeers,People's Land of Maneau,GK,"∂ 21,840,000"
F. Kabanda,A,Swift Musketeers,Dosqaly,MF,"∂ 19,880,000"
V. Nakayima,A,Swift Musketeers,Nganion,MF,"∂ 17,210,000"
A. Lombardi,A,Swift Musketeers,Ngoque Blicri,MF,"∂ 38,940,000"
A. Avako,A,Swift Musketeers,People's Land of Maneau,MF,"∂ 32,070,000"
B. Supriatna,A,Swift Musketeers,Quewenia,MF,"∂ 10,470,000"
G. Abbas,A,Swift Musketeers,Reugha,MF,"∂ 36,720,000"
N. Nyesiga,A,Swift Musketeers,Southslands,MF,"∂ 13,350,000"
Z. Alupo,A,Swift Musketeers,Central Republic of Boekrainego,MFFW,"∂ 22,590,000"
A. Logose,A,Swift Musketeers,Lylimi,MFFW,"∂ 21,650,000"
C. Namutebi,A,Swift Musketeers,People's Land of Maneau,MFFW,"∂ 28,860,000"
R. Jacobs,A,Swift Musketeers,People's Land of Maneau,MFFW,"∂ 25,210,000"
C. Danquah,A,Weak Tornadoes,Byasier Pujan,DF,"∂ 15,800,000"
J. Tsan,A,Weak Tornadoes,Byasier Pujan,DF,"∂ 11,750,000"
Z. Kituyi,A,Weak Tornadoes,Central Republic of Boekrainego,DF,"∂ 12,790,000"
D. Mo,A,Weak Tornadoes,Dosqaly,DF,"∂ 3,330,000"
E. Nakayiza,A,Weak Tornadoes,Mico,DF,"∂ 14,690,000"
S. Wafula,A,Weak Tornadoes,People's Land of Maneau,DF,"∂ 8,410,000"
H. Byamugisha,A,Weak Tornadoes,Republic of Denand Landsa,DF,"∂ 15,270,000"
H. Makoni,A,Weak Tornadoes,Slandsganiamayotteque,DF,"∂ 11,650,000"
T. Teo,A,Weak Tornadoes,Slandsganiamayotteque,DF,"∂ 11,170,000"
G. Cossa,A,Weak Tornadoes,Southern Ristan,DF,"∂ 10,910,000"
S. Rahmani,A,Weak Tornadoes,Thaijagypt,DF,"∂ 15,810,000"
X. Emmanuel,A,Weak Tornadoes,People's Land of Maneau,DFFW,"∂ 18,070,000"
E. Saka,A,Weak Tornadoes,Rosvi,FW,"∂ 28,110,000"
F. Namajja,A,Weak Tornadoes,Central Badad,FWDF,"∂ 25,300,000"
X. V?tols,A,Weak Tornadoes,Greri Landmoslands,FWMF,"∂ 34,230,000"
M. Iqbal,A,Weak Tornadoes,Lenia Gerdanho,FWMF,"∂ 22,670,000"
L. Barman,A,Weak Tornadoes,People's Land of Maneau,FWMF,"∂ 24,850,000"
U. Atugonza,A,Weak Tornadoes,Republic of Denand Landsa,FWMF,"∂ 30,250,000"
N. Kyohirwe,A,Weak Tornadoes,Dosqaly,GK,"∂ 23,590,000"
E. binti Ismail,A,Weak Tornadoes,Ledian,GK,"∂ 10,840,000"
G. Namugere,A,Weak Tornadoes,Central Namemo Laand,MF,"∂ 21,910,000"
M. Amsalem,A,Weak Tornadoes,Czechnor,MF,"∂ 17,020,000"
A. Karlsson,A,Weak Tornadoes,Ngoque Blicri,MF,"∂ 20,670,000"
L. Kawuma,A,Weak Tornadoes,People's Land of Maneau,MF,"∂ 21,250,000"
V. Al-Harbi,A,Weak Tornadoes,People's Land of Maneau,MF,"∂ 15,420,000"
F. Hughes,A,Weak Tornadoes,Thaijagypt,MFDF,"∂ 30,210,000"
J. Wan,A,Weak Tornadoes,People's Land of Maneau,MFFW,"∂ 22,490,000"
U. Alshehri,A,Weak Tornadoes,People's Land of Maneau,MFFW,"∂ 33,630,000"
A. Andama,B,Flawless Cows,Byasier Pujan,DF,"∂ 17,220,000"
Y. Nassuuna,B,Flawless Cows,Coastpa Barleslands,DF,"∂ 18,880,000"
J. Kyarisiima,B,Flawless Cows,Dosqaly,DF,"∂ 15,310,000"
O. Takeda,B,Flawless Cows,Dosqaly,DF,"∂ 27,650,000"
Q. Coppola,B,Flawless Cows,Dosqaly,DF,"∂ 24,730,000"
V. Mhlanga,B,Flawless Cows,Dosqaly,DF,"∂ 21,630,000"
J. Kawano,B,Flawless Cows,Esia,DF,"∂ 17,530,000"
D. Mabhena,B,Flawless Cows,Nganion,DF,"∂ 21,260,000"
F. Yunusa,B,Flawless Cows,Rarita,DF,"∂ 18,150,000"
T. Neves,B,Flawless Cows,Sobianitedrucy,DF,"∂ 30,990,000"
H. Robert,B,Flawless Cows,Dosqaly,FW,"∂ 33,510,000"
T. Jabarin,B,Flawless Cows,Dosqaly,FW,"∂ 12,080,000"
Z. Basile,B,Flawless Cows,Dosqaly,FW,"∂ 33,730,000"
B. Zheng,B,Flawless Cows,Imaar Vircoand,FW,"∂ 37,660,000"
Y. Mutema,B,Flawless Cows,Nganion,FW,"∂ 1,200,000"
J. Lysenko,B,Flawless Cows,Sobianitedrucy,FW,"∂ 34,620,000"
Y. Manuel,B,Flawless Cows,Biarizea,FWMF,"∂ 10,890,000"
C. Asiku,B,Flawless Cows,Dosqaly,FWMF,"∂ 22,900,000"
B. Obonyo,B,Flawless Cows,Imaar Vircoand,FWMF,"∂ 32,320,000"
R. Ssembatya,B,Flawless Cows,Nganion,FWMF,"∂ 24,780,000"
Y. Kyosiimire,B,Flawless Cows,Nganion,GK,"∂ 14,410,000"
X. Driscoll,B,Flawless Cows,Nkasland Cronestan,GK,"∂ 22,110,000"
P. Addae,B,Flawless Cows,South Sati Fatina,GK,"∂ 13,170,000"
A. Fekete,B,Flawless Cows,Byasier Pujan,MF,"∂ 7,380,000"
D. Muhammad,B,Flawless Cows,Coastpa Barleslands,MF,"∂ 34,050,000"
I. Ndoro,B,Flawless Cows,Dosqaly,MF,"∂ 5,700,000"
E. Sommer,B,Flawless Cows,Imaar Vircoand,MF,"∂ 15,780,000"
P. Susanto,B,Flawless Cows,Lefghau,MF,"∂ 23,300,000"
O. Musonza,B,Flawless Cows,Nganion,MF,"∂ 13,270,000"
I. Marie,B,Flawless Cows,Sobianitedrucy,MF,"∂ 24,550,000"
Z. Musenero,B,Flawless Cows,Greri Landmoslands,MFDF,"∂ 20,000,000"
K. Opio,B,Flawless Cows,Esia,MFFW,"∂ 30,710,000"
Z. Ahmetovi?,B,Flawless Cows,Lefghau,MFFW,"∂ 31,600,000"
O. Naderi,B,Glistening Paladins,Badad,DF,"∂ 11,950,000"
A. Nabuuma,B,Glistening Paladins,Dosqaly,DF,"∂ 25,080,000"
B. Ban,B,Glistening Paladins,Dosqaly,DF,"∂ 12,180,000"
B. Polák,B,Glistening Paladins,Dosqaly,DF,"∂ 17,970,000"
L. Mulyani,B,Glistening Paladins,Dosqaly,DF,"∂ 17,410,000"
O. Wagner,B,Glistening Paladins,Dosqaly,DF,"∂ 7,730,000"
S. Bukirwa,B,Glistening Paladins,Dosqaly,DF,"∂ 17,140,000"
A. Palmieri,B,Glistening Paladins,Landsfupua,DFMF,"∂ 34,010,000"
I. Berg,B,Glistening Paladins,Tito Mia,FW,"∂ 33,740,000"
G. Lombardo,B,Glistening Paladins,Dosqaly,FWMF,"∂ 29,200,000"
L. Alanyo,B,Glistening Paladins,Dosqaly,FWMF,"∂ 25,230,000"
F. Kimera,B,Glistening Paladins,Dosqaly,GK,"∂ 20,670,000"
T. Okello,B,Glistening Paladins,Dosqaly,GK,"∂ 22,390,000"
C. Asiku,B,Glistening Paladins,Dosqaly,MF,"∂ 5,990,000"
F. Kabanda,B,Glistening Paladins,Dosqaly,MF,"∂ 19,870,000"
H. Lwanga,B,Glistening Paladins,Dosqaly,MF,"∂ 15,270,000"
J. Takali,B,Glistening Paladins,Dosqaly,MF,"∂ 37,380,000"
S. Vidal,B,Glistening Paladins,Dosqaly,MF,"∂ 23,300,000"
B. Akullu,B,Glistening Paladins,Lefghau,MF,"∂ 23,390,000"
Z. Mlilo,B,Glistening Paladins,Pierrema,MF,"∂ 24,530,000"
G. Munsaka,B,Glistening Paladins,Dosqaly,MFFW,"∂ 37,880,000"
M. Maimon,B,Glistening Paladins,Dosqaly,MFFW,"∂ 20,980,000"
U. Madondo,B,Glistening Paladins,Dosqaly,MFFW,"∂ 31,000,000"
W. Kuhn,B,Glistening Paladins,Dosqaly,MFFW,"∂ 30,150,000"
J. Leng,B,Glistening Paladins,Greri Landmoslands,MFFW,"∂ 29,980,000"
M. Hassan,B,Glistening Paladins,Sobianitedrucy,MFFW,"∂ 32,520,000"
W. Santoro,B,Golden Rustlers,Coastpa Barleslands,DF,"∂ 13,020,000"
E. Gamal,B,Golden Rustlers,Dosqaly,DF,"∂ 10,890,000"
I. Chandra,B,Golden Rustlers,Dosqaly,DF,"∂ 16,390,000"
P. Igwe,B,Golden Rustlers,Dosqaly,DF,"∂ 18,860,000"
S. bin Ramli,B,Golden Rustlers,Dosqaly,DF,"∂ 7,180,000"
J. Mushabe,B,Golden Rustlers,Lefghau,DF,"∂ 18,610,000"
K. Oloya,B,Golden Rustlers,Quewenia,DF,"∂ 27,880,000"
B. Lai,B,Golden Rustlers,Rarita,DF,"∂ 15,490,000"
K. Kyosiimire,B,Golden Rustlers,Southern Viout Aman,DF,"∂ 12,860,000"
A. Musonza,B,Golden Rustlers,Dosqaly,FW,"∂ 28,950,000"
M. Reilly,B,Golden Rustlers,Dosqaly,FW,"∂ 26,770,000"
U. Atugonza,B,Golden Rustlers,Republic of Denand Landsa,FW,"∂ 33,660,000"
E. Cortez,B,Golden Rustlers,Dosqaly,FWMF,"∂ 30,830,000"
J. Testa,B,Golden Rustlers,Dosqaly,FWMF,"∂ 29,340,000"
T. Karmakar,B,Golden Rustlers,Dosqaly,FWMF,"∂ 32,620,000"
Y. Horváth,B,Golden Rustlers,Landli Blicporlip,FWMF,"∂ 23,410,000"
F. Salonen,B,Golden Rustlers,Republic of Denand Landsa,FWMF,"∂ 35,680,000"
V. Bwambale,B,Golden Rustlers,Dosqaly,GK,"∂ 18,830,000"
D. Taniguchi,B,Golden Rustlers,Central Diasongo,MF,"∂ 18,620,000"
C. Shaheen,B,Golden Rustlers,Dosqaly,MF,"∂ 29,480,000"
Z. Hasna,B,Golden Rustlers,Dosqaly,MF,"∂ 21,300,000"
W. Noguchi,B,Golden Rustlers,Lefghau,MF,"∂ 27,110,000"
M. Muwanga,B,Golden Rustlers,Manlisgamncent,MF,"∂ 36,170,000"
V. Amini,B,Golden Rustlers,Reugha,MF,"∂ 21,170,000"
P. Atukwatse,B,Golden Rustlers,Dosqaly,MFFW,"∂ 30,240,000"
U. Oyella,B,Golden Rustlers,Dosqaly,MFFW,"∂ 27,780,000"
M. Anderson,B,Golden Rustlers,Nganion,MFFW,"∂ 13,970,000"
E. Apiyo,B,Golden Rustlers,Pierrema,MFFW,"∂ 28,650,000"
S. Namanya,B,Grotesque Rocks,Central Diasongo,DF,"∂ 8,280,000"
E. Fujii,B,Grotesque Rocks,Dosqaly,DF,"∂ 18,920,000"
F. Shkreli,B,Grotesque Rocks,Dosqaly,DF,"∂ 28,450,000"
G. Namanya,B,Grotesque Rocks,Dosqaly,DF,"∂ 18,410,000"
H. Kaweesi,B,Grotesque Rocks,Dosqaly,DF,"∂ 24,430,000"
U. Müller,B,Grotesque Rocks,Dosqaly,DF,"∂ 24,960,000"
X. binti Awang,B,Grotesque Rocks,Rosvi,DF,"∂ 16,170,000"
O. Tshuma,B,Grotesque Rocks,Rarita,DFMF,"∂ 28,050,000"
D. Tshuma,B,Grotesque Rocks,Coastpa Barleslands,FW,"∂ 24,970,000"
B. Ghorbani,B,Grotesque Rocks,Ngogalar,FW,"∂ 32,930,000"
B. Okyere,B,Grotesque Rocks,Dosqaly,FWDF,"∂ 12,320,000"
J. Lorenz,B,Grotesque Rocks,Biarizea,FWMF,"∂ 38,630,000"
K. Van der Meer,B,Grotesque Rocks,Central Diasongo,FWMF,"∂ 24,060,000"
C. Kwakye,B,Grotesque Rocks,Nancipenuaroe,FWMF,"∂ 35,500,000"
K. Imai,B,Grotesque Rocks,Pierrema,FWMF,"∂ 37,100,000"
U. Dewi,B,Grotesque Rocks,Reugha,FWMF,"∂ 31,940,000"
U. Yamasaki,B,Grotesque Rocks,Coastpa Barleslands,GK,"∂ 19,570,000"
S. binti Othman,B,Grotesque Rocks,Lylimi,GK,"∂ 14,740,000"
T. Bukar,B,Grotesque Rocks,Southern Ristan,GK,"∂ 11,540,000"
B. Guillot,B,Grotesque Rocks,Central Diasongo,MF,"∂ 20,290,000"
B. Nalwanga,B,Grotesque Rocks,Dosqaly,MF,"∂ 29,480,000"
K. Kaudha,B,Grotesque Rocks,Dosqaly,MF,"∂ 21,850,000"
T. Orishaba,B,Grotesque Rocks,Dosqaly,MF,"∂ 33,130,000"
X. Odongo,B,Grotesque Rocks,Unicorporated Tiagascar,MF,"∂ 10,030,000"
O. Soleimani,B,Grotesque Rocks,Dosqaly,MFFW,"∂ 32,590,000"
U. Sun,B,Grotesque Rocks,Reugha,MFFW,"∂ 3,780,000"
O. Barone,B,Jumping Beans,Biarizea,DF,"∂ 22,340,000"
G. Sande,B,Jumping Beans,Central Diasongo,DF,"∂ 16,390,000"
O. Kembabazi,B,Jumping Beans,Giumle Lizeibon,DF,"∂ 1,690,000"
T. Muhumuza,B,Jumping Beans,Reugha,DF,"∂ 29,660,000"
C. Mashiri,B,Jumping Beans,Southern Ristan,DF,"∂ 17,560,000"
K. Ahimbisibwe,B,Jumping Beans,Southern Ristan,DF,"∂ 16,160,000"
L. Wenene,B,Jumping Beans,Southern Ristan,DF,"∂ 17,550,000"
Q. Mutabazi,B,Jumping Beans,Byasier Pujan,FW,"∂ 10,510,000"
O. Chelimo,B,Jumping Beans,Ngoque Blicri,FW,"∂ 23,700,000"
O. Ghanbari,B,Jumping Beans,Coastpa Barleslands,FWMF,"∂ 22,670,000"
Q. Nampijja,B,Jumping Beans,Reugha,FWMF,"∂ 20,170,000"
A. Lamunu,B,Jumping Beans,Dosqaly,GK,"∂ 25,300,000"
K. Adero,B,Jumping Beans,Rosvi,GK,"∂ 12,060,000"
T. Makaza,B,Jumping Beans,Central Namemo Laand,MF,"∂ 21,920,000"
W. Nantale,B,Jumping Beans,Central Namemo Laand,MF,"∂ 8,410,000"
H. Taniguchi,B,Jumping Beans,Coastpa Barleslands,MF,"∂ 23,980,000"
J. Bah,B,Jumping Beans,Dosqaly,MF,"∂ 18,540,000"
K. Akullu,B,Jumping Beans,Dosqaly,MF,"∂ 24,260,000"
T. Mugoya,B,Jumping Beans,Dosqaly,MF,"∂ 20,330,000"
N. Grgi?,B,Jumping Beans,Ingre,MF,"∂ 25,240,000"
C. Ková?,B,Jumping Beans,Loco Phirema,MF,"∂ 25,200,000"
R. Rusere,B,Jumping Beans,Tercapetralgrorus,MF,"∂ 25,090,000"
H. Rees,B,Jumping Beans,Eastern Covaki,MFDF,"∂ 23,010,000"
C. Nafuna,B,Jumping Beans,Dosqaly,MFFW,"∂ 26,240,000"
H. Kovács,B,Jumping Beans,Dosqaly,MFFW,"∂ 22,040,000"
X. Opira,B,Jumping Beans,Dosqaly,MFFW,"∂ 11,190,000"
E. Ayerango,B,Jumping Beans,Loco Phirema,MFFW,"∂ 6,670,000"
V. Nabbosa,B,Jumping Beans,Quewenia,MFFW,"∂ 10,700,000"
E. Muwanguzi,B,Jumping Beans,Reugha,MFFW,"∂ 28,530,000"
A. Namataka,B,Mean Colts,Dosqaly,DF,"∂ 4,990,000"
D. Kugonza,B,Mean Colts,Dosqaly,DF,"∂ 18,090,000"
K. Kao,B,Mean Colts,Dosqaly,DF,"∂ 18,550,000"
M. Guma,B,Mean Colts,Dosqaly,DF,"∂ 22,060,000"
U. Francisco,B,Mean Colts,Dosqaly,DF,"∂ 19,670,000"
V. Chauke,B,Mean Colts,Dosqaly,DF,"∂ 23,920,000"
K. Nanyonjo,B,Mean Colts,Imaar Vircoand,DF,"∂ 10,010,000"
H. Pärn,B,Mean Colts,Iverde,DF,"∂ 16,810,000"
C. Nurjanah,B,Mean Colts,New Somoe,DF,"∂ 15,050,000"
C. Oloya,B,Mean Colts,Reugha,DF,"∂ 14,890,000"
M. Heinonen,B,Mean Colts,Reugha,DF,"∂ 24,310,000"
Q. Turinawe,B,Mean Colts,Rosvi,DF,"∂ 9,130,000"
Y. bin Abu Bakar,B,Mean Colts,Central Namemo Laand,FW,"∂ 30,190,000"
E. Tahirovi?,B,Mean Colts,Dosqaly,FW,"∂ 28,320,000"
S. Lombardo,B,Mean Colts,Dosqaly,FW,"∂ 26,820,000"
Z. Basile,B,Mean Colts,Dosqaly,FW,"∂ 31,410,000"
M. Wójcik,B,Mean Colts,Dosqaly,FWMF,"∂ 19,610,000"
J. Ogawa,B,Mean Colts,Dosqaly,GK,"∂ 8,370,000"
A. Chipeta,B,Mean Colts,Zamlie Niabangthe,GK,"∂ 22,410,000"
H. Dehghan,B,Mean Colts,Central Diasongo,MF,"∂ 18,500,000"
A. ?engi?,B,Mean Colts,Dosqaly,MF,"∂ 28,800,000"
B. Grabowski,B,Mean Colts,Dosqaly,MF,"∂ 16,950,000"
Q. Messina,B,Mean Colts,Dosqaly,MF,"∂ 19,270,000"
V. Foong,B,Mean Colts,Dosqaly,MF,"∂ 4,050,000"
Z. Robin,B,Mean Colts,Reugha,MF,"∂ 17,370,000"
V. Apio,B,Mean Colts,Greri Landmoslands,MFFW,"∂ 31,290,000"
E. Kunihira,B,Mean Colts,Lenia Gerdanho,MFFW,"∂ 40,710,000"
F. Sepp,B,Mean Poets,Dosqaly,DF,"∂ 11,430,000"
G. Bernardi,B,Mean Poets,Dosqaly,DF,"∂ 28,420,000"
J. Driwaru,B,Mean Poets,Dosqaly,DF,"∂ 9,610,000"
L. Masson,B,Mean Poets,Dosqaly,DF,"∂ 18,480,000"
L. Namugaya,B,Mean Poets,Dosqaly,DF,"∂ 19,120,000"
Q. Nakintu,B,Mean Poets,Dosqaly,DF,"∂ 17,250,000"
R. Okoye,B,Mean Poets,Dosqaly,DF,"∂ 15,700,000"
K. Koskinen,B,Mean Poets,New Rapore,DF,"∂ 17,390,000"
C. Namanda,B,Mean Poets,Puway,DF,"∂ 10,460,000"
D. Günther,B,Mean Poets,Puway,DF,"∂ 13,690,000"
H. Suleiman,B,Mean Poets,People's Land of Maneau,DFMF,"∂ 24,870,000"
R. Lor,B,Mean Poets,Dosqaly,FW,"∂ 35,610,000"
E. Kaweesi,B,Mean Poets,Giumle Lizeibon,FW,"∂ 26,440,000"
X. Ngwenya,B,Mean Poets,Republic of Denand Landsa,FW,"∂ 37,460,000"
A. Tusingwire,B,Mean Poets,Dosqaly,FWMF,"∂ 24,400,000"
M. Musenero,B,Mean Poets,Dosqaly,FWMF,"∂ 22,640,000"
N. Soto,B,Mean Poets,Lenia Gerdanho,FWMF,"∂ 31,860,000"
U. Tan,B,Mean Poets,Varijitri Isles,FWMF,"∂ 11,110,000"
A. Suboti?,B,Mean Poets,Dosqaly,GK,"∂ 12,380,000"
T. Bonabana,B,Mean Poets,Dosqaly,GK,"∂ 9,890,000"
O. Majhi,B,Mean Poets,Dosqaly,MF,"∂ 27,340,000"
P. Giramia,B,Mean Poets,Dosqaly,MF,"∂ 22,520,000"
W. Muwanga,B,Mean Poets,Dosqaly,MF,"∂ 21,640,000"
G. Shah,B,Mean Poets,Central Namemo Laand,MFFW,"∂ 13,510,000"
B. Rubio,B,Mean Poets,Dosqaly,MFFW,"∂ 22,760,000"
H. Hovhannisyan,B,Mean Poets,Dosqaly,MFFW,"∂ 29,210,000"
X. Chevalier,B,Mean Poets,Dosqaly,MFFW,"∂ 25,970,000"
W. Muchenje,B,Overconfident Kangaroos,Biarizea,DF,"∂ 10,490,000"
C. Prakash,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 8,840,000"
F. bin Ishak,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 14,680,000"
K. Amer,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 24,570,000"
K. Ber,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 17,830,000"
S. Aisyah,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 10,830,000"
B. Savolainen,B,Overconfident Kangaroos,Lefghau,DF,"∂ 22,460,000"
Y. Koay,B,Overconfident Kangaroos,Reugha,DF,"∂ 13,180,000"
H. Kabugho,B,Overconfident Kangaroos,Sobianitedrucy,DF,"∂ 11,690,000"
V. Thakor,B,Overconfident Kangaroos,Dosqaly,DFMF,"∂ 27,750,000"
Q. Mangwiro,B,Overconfident Kangaroos,Coastpa Barleslands,FW,"∂ 20,440,000"
E. Akwii,B,Overconfident Kangaroos,Dosqaly,FW,"∂ 12,920,000"
F. Chiumia,B,Overconfident Kangaroos,Dosqaly,FW,"∂ 28,800,000"
K. Katongole,B,Overconfident Kangaroos,Dosqaly,FW,"∂ 9,190,000"
E. De Santis,B,Overconfident Kangaroos,Dosqaly,FWMF,"∂ 22,400,000"
G. Leclercq,B,Overconfident Kangaroos,Dosqaly,FWMF,"∂ 14,560,000"
H. Sugiyama,B,Overconfident Kangaroos,Dosqaly,FWMF,"∂ 28,570,000"
Q. Ajiko,B,Overconfident Kangaroos,Lefghau,FWMF,"∂ 38,960,000"
E. Wibowo,B,Overconfident Kangaroos,Coastpa Barleslands,GK,"∂ 16,090,000"
V. Arnold,B,Overconfident Kangaroos,Coastpa Barleslands,GK,"∂ 15,590,000"
B. Ochieng,B,Overconfident Kangaroos,Dosqaly,GK,"∂ 24,940,000"
G. Nakisuyi,B,Overconfident Kangaroos,Central Namemo Laand,MF,"∂ 20,200,000"
I. Salminen,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 10,790,000"
M. Jha,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 25,320,000"
P. Hakim,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 26,620,000"
Y. Ademovi?,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 22,560,000"
Y. Zia,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 15,920,000"
D. Kakande,B,Overconfident Kangaroos,Dosqaly,MFFW,"∂ 22,650,000"
F. Bello,B,Overconfident Kangaroos,Dosqaly,MFFW,"∂ 24,890,000"
Q. Awekonimungu,B,Overconfident Kangaroos,Dosqaly,MFFW,"∂ 28,840,000"
U. Mustapha,B,Overconfident Kangaroos,Dosqaly,MFFW,"∂ 24,470,000"
B. Amin,B,Overconfident Kangaroos,Southern Ristan,MFFW,"∂ 24,760,000"
X. Ssemakula,B,Serious Thunderbirds,Central Namemo Laand,DF,"∂ 15,690,000"
V. Ezra,B,Serious Thunderbirds,Coastpa Barleslands,DF,"∂ 15,160,000"
Z. Patel,B,Serious Thunderbirds,Coastpa Barleslands,DF,"∂ 19,120,000"
A. Nakiranda,B,Serious Thunderbirds,Dosqaly,DF,"∂ 23,190,000"
B. Simango,B,Serious Thunderbirds,Dosqaly,DF,"∂ 4,720,000"
E. Fernando,B,Serious Thunderbirds,Dosqaly,DF,"∂ 21,360,000"
E. Schmitz,B,Serious Thunderbirds,Dosqaly,DF,"∂ 17,850,000"
Q. Ueda,B,Serious Thunderbirds,Dosqaly,DF,"∂ 23,280,000"
T. Y?ld?z,B,Serious Thunderbirds,Dosqaly,DF,"∂ 15,590,000"
U. Chen,B,Serious Thunderbirds,Dosqaly,DF,"∂ 27,720,000"
L. Rostami,B,Serious Thunderbirds,Former Maneau,DF,"∂ 19,040,000"
Z. Donkor,B,Serious Thunderbirds,Ingre,DF,"∂ 9,650,000"
D. Kyambadde,B,Serious Thunderbirds,Iverde,DF,"∂ 11,710,000"
S. Agustina,B,Serious Thunderbirds,Lefghau,DF,"∂ 6,580,000"
B. Miyasaki,B,Serious Thunderbirds,Dosqaly,DFMF,"∂ 9,710,000"
C. Nankya,B,Serious Thunderbirds,Dosqaly,FW,"∂ 35,850,000"
I. Okada,B,Serious Thunderbirds,Dosqaly,FW,"∂ 29,310,000"
K. Wo?niak,B,Serious Thunderbirds,Dosqaly,FW,"∂ 30,830,000"
M. Galli,B,Serious Thunderbirds,Dosqaly,FW,"∂ 8,840,000"
U. Rees,B,Serious Thunderbirds,Dosqaly,FW,"∂ 26,660,000"
V. Gallo,B,Serious Thunderbirds,Tabhu Striary,FW,"∂ 28,500,000"
K. Guerra,B,Serious Thunderbirds,Dosqaly,FWMF,"∂ 25,510,000"
H. Kamal,B,Serious Thunderbirds,Dosqaly,GK,"∂ 31,230,000"
I. Sano,B,Serious Thunderbirds,Dosqaly,GK,"∂ 5,240,000"
J. Lunkuse,B,Serious Thunderbirds,People's Land of Maneau,GK,"∂ 27,040,000"
T. Khaukha,B,Serious Thunderbirds,Central Namemo Laand,MF,"∂ 22,280,000"
E. Pang,B,Serious Thunderbirds,Dosqaly,MF,"∂ 11,150,000"
H. Nsungwa,B,Serious Thunderbirds,Dosqaly,MF,"∂ 24,890,000"
N. Oyama,B,Serious Thunderbirds,Dosqaly,MF,"∂ 11,790,000"
