"","�..Player","Nation","Pos","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err"
"130","Q. Günther","Esia","FW",24,1996,1.22,0.08,1.68,0.79,50.07,1.68,0.86,0.09,-0.07,11.39,0,0.01,0.03,0.4,0.52,0.27,-0.35,-0.46,21.69,28.37,76.5,305.82,49.2,11.76,13.27,87.55,9.13,11.79,78.56,-0.03,0.88,0.03,0.03,-0.06,-0.08,-0.05,0.83,-0.07,-0.09,0.9,-0.08,0.05,0.08,0.01,-0.07,0.07,0,NA,0.04,9.95,4.21,41.76,0.81,3.3,5.75,-0.04,0.09,-0.03,-0.09,-0.01,-0.03,-0.08,-0.09
"131","Y. Nartey","Esia","FW",25,1995,2.81,-0.05,1.48,0.33,25.01,1.42,0.33,0.09,0.06,14.1,0.02,-0.03,0.01,0.03,0,0.12,-0.13,-0.06,22.56,28.6,78.87,329.3,17.97,13.23,16.1,82.26,6.74,8.2,82.62,1.15,2.07,49.93,-0.09,0.03,-0.02,0.42,1.13,-0.08,-0.06,0.01,1.76,1.38,-0.02,1.08,0.71,0.09,0.27,0.08,0.34,15.32,5.29,34.9,0.65,7.18,7.43,0.27,-0.05,0.09,0.44,1.14,2.87,0.42,-0.03
"132","L. Tu","Esia","FWDF",25,1996,1.28,-0.07,0.84,-0.03,0.04,0.87,-0.03,0.07,NA,26.62,0.03,-0.05,0.74,0.17,0.12,0.1,0,-0.18,39.94,49.24,81.33,626.97,97,22.22,23.19,96.8,14.66,16.27,90.55,2.37,6.2,37.54,-0.07,-0.07,-0.08,0.81,0.68,3.05,1.54,3,1.57,1.59,0.03,0.08,1.44,0.83,0.77,100,0.08,8.44,3.16,36.34,3.16,-0.01,5.36,0.77,-0.05,-0.08,0.83,1.49,3.14,-0.06,-0.09
"133","U. Musa","Esia","FWDF",28,1992,0.14,0.03,0.02,0.05,NA,0.07,0,NA,NA,NA,-0.05,0.08,-0.05,-0.07,0.07,NA,-0.05,0.06,79.96,99.92,80.05,929.94,289.95,49.93,50.02,100.08,20.1,30.03,66.64,0.02,9.99,-0.06,-0.04,0.04,0.03,-0.03,9.92,0.02,-0.06,0.04,0.01,0.07,-0.07,-0.07,-0.01,-0.09,-0.04,NA,-0.02,19.92,9.98,50.01,0.05,10.05,10.04,-0.02,0.05,-0.09,0.04,10.06,10.04,-0.08,-0.09
"134","H. Alobo","Esia","FWMF",21,1999,3.29,0.63,3.3,1.43,45.55,3.26,1.49,0.18,0.32,14.07,0.07,-0.06,0.07,0.75,0.77,0.3,-0.15,-0.13,29.11,35.42,82.14,454.72,112.7,17.37,19.99,86.5,9.92,10.88,91.69,1.79,2.83,66.75,-0.07,0.37,-0.2,1.24,1.27,1.85,0.08,3.07,0.32,0.35,-0.02,0.06,0.36,0.01,0.36,0.08,0.34,15.88,4.87,30.71,2.64,5.5,7.58,1.73,0.52,0.09,1.26,0.1,0.38,0.37,-0.02
"138","J. Halvorsen","Esia","MFFW",17,2003,0.14,-0.01,0.03,0.08,NA,-0.02,0.08,NA,NA,NA,-0.02,0.07,-0.02,-0.04,-0.02,NA,-0.05,0.05,59.92,60.01,99.95,840.05,9.91,40.03,40.09,99.94,20.01,19.94,100.01,0,0.07,NA,-0.05,0.06,-0.01,0.1,-0.09,0,0.02,-0.03,-0.07,0,0.01,0.02,-0.08,-0.06,10.06,0.08,10.1,19.93,20,99.94,0.04,20.08,0.1,-0.01,-0.02,0.06,-0.05,-0.08,0.03,0.08,-0.05
"139","O. Nairuba","Esia","MFFW",31,1989,3.13,-0.03,1.9,0.4,16.64,1.77,0.32,0.07,0.04,16.37,0.09,0.04,0.27,0.24,0.26,0.21,-0.37,-0.26,35.34,46.5,75.77,539.62,123.17,16.22,20.96,77.67,15.69,18.14,86.23,1.16,3.52,36.42,0.02,0.16,-0.16,1.27,2.44,1.23,0.22,4.72,0.92,0.56,-0.05,0.58,0.27,0.4,1.25,25.09,1.01,17.76,4.71,26.25,2.49,9.34,5.89,0.9,0,0.1,0.98,0.58,1.57,0.72,0.01
"140","T. Astuti","Esia","MFFW",25,1995,1.69,0.68,3.15,1.29,39.95,3.18,1.2,0.21,0.51,18.19,-0.09,-0.06,-0.09,0.28,0.15,0.05,0.37,0.41,41.33,45.07,91.75,711.98,156.91,16.92,17.48,96.35,20.09,21.92,91.41,3.14,3.84,83.29,-0.08,0.11,0.02,0.65,4.47,-0.07,-0.08,4.44,0.59,0.68,0.55,0.03,0.09,-0.08,3.81,-0.08,3.69,13.7,3.07,22.6,4.42,8.77,0.67,1.16,0.08,0.06,1.33,0.63,1.2,0.6,0.1
"147","E. Morelli","Galamily","FW",27,1993,3.49,0.05,0.32,0.27,100.08,0.33,0.33,-0.01,0.07,20.8,0.07,0.01,-0.03,0.07,-0.1,0,-0.04,0.03,25.12,31.66,79.34,357.63,84.32,14.54,16.3,89.54,6.88,8.48,80.01,1.48,2.86,49.91,0.07,0.16,-0.05,0.92,0.95,1.13,0.24,1.34,1.62,1.15,0.24,0.59,0.82,0.49,1.46,39.92,0.77,22.52,5.14,22.73,5.07,8.77,8.52,2.06,0.56,0.07,1.41,1.46,3.05,0.82,-0.02
"148","I. Y?ld?r?m","Galamily","FW",28,1992,0.3,-0.01,0.01,-0.03,NA,0.09,0.09,NA,NA,NA,-0.07,0.09,0.07,0.09,0.05,NA,0.05,-0.07,19.94,30.1,66.67,284.91,84.91,12.54,17.52,71.43,2.51,2.44,100.03,2.46,5.05,50.07,-0.01,0.76,-0.8,2.49,-0.01,-0.05,0.02,-0.05,-0.09,-0.03,0.04,-0.01,0.05,0.09,0,NA,0.05,20.01,2.5,12.56,2.51,9.99,7.57,0.1,0.1,-0.08,-0.06,2.52,2.43,0.01,-0.01
"149","I. Zyu","Galamily","FW",27,1993,0.6,-0.07,5.64,2.8,50.08,5.43,2.71,0.09,0,15.29,-0.08,-0.07,0.1,0.72,0.62,0.09,-0.79,-0.73,12.86,18.7,69.13,152.86,35.75,5.74,8.57,66.66,4.2,4.21,100.1,0.01,-0.05,NA,-0.02,0.04,-0.09,1.49,1.48,0,-0.01,1.34,-0.02,-0.09,-0.01,0.05,-0.1,-0.02,0.01,NA,-0.07,8.58,2.88,33.31,1.36,1.45,5.65,0.03,-0.07,0.07,-0.07,0.05,-0.08,-0.03,-0.03
"150","J. binti Ibrahim","Galamily","FW",31,1989,0.1,0.04,5.01,0.04,0.06,5.67,0.05,0.09,NA,17.95,-0.01,0.08,-0.06,0.41,0.53,0.1,-0.4,-0.52,4.96,19.99,25.01,55.09,-0.01,5.01,19.98,25.07,-0.06,0.09,NA,-0.04,-0.03,NA,-0.07,-0.09,0.09,-0.04,0.03,0.05,0.09,0.02,0.1,0.02,0.01,0.07,0,0.01,5.04,-0.09,5.08,74.94,25.04,33.38,4.99,20.08,49.93,5.02,-0.1,-0.06,4.92,0,-0.06,0.1,-0.04
"151","K. Jakobsson","Galamily","FW",25,1996,4.48,1.15,3.45,1.92,53.38,3.43,1.74,0.17,0.49,17.09,0.2,0.18,0.31,0.57,0.36,0.18,0.6,0.62,16.42,22.77,71.94,257.31,41.52,7.65,10.64,72.2,7.14,7.66,91.12,0.81,1.41,66.68,-0.03,0.01,-0.01,0.07,1.52,0.37,-0.02,1.01,1.27,0.72,-0.01,0.6,0.62,0.33,1.1,19.9,0.83,11.05,2.48,22.37,0.96,5.51,4.86,0.01,0.08,-0.1,-0.09,0,1.34,1.16,0.06
"152","O. Acheng","Galamily","FW",18,2002,0.92,0.03,1.01,0.01,-0.06,1.09,-0.05,0,NA,11.29,0.04,0.04,-0.01,0.05,0.16,0.02,-0.05,-0.17,17.78,27.88,63.95,302.21,96.61,8.96,12.23,72.61,7.78,11.13,69.94,1.02,4.5,24.98,-0.06,0.16,-0.22,1.17,-0.04,3.42,2.24,5.56,-0.05,-0.07,0.07,0.08,0.07,-0.07,1.06,0.05,1.2,16.69,4.4,26.73,2.14,8.89,5.55,-0.09,-0.03,-0.01,-0.03,0.05,-0.06,1.19,-0.09
"153","P. Purnomo","Galamily","FWMF",26,1994,2.56,0.07,0.46,-0.01,-0.09,0.39,-0.08,-0.03,NA,14.94,-0.05,-0.02,0.06,-0.03,0.08,0.09,-0.1,0.1,32.72,43.22,75.99,535.11,123.12,17.14,20.5,84.24,11.53,12.31,93.5,2.41,6.75,35.32,0.03,0.25,-0.26,1.69,1.68,0.84,0.79,1.98,1.18,0.76,0.03,0.76,0.37,0.87,2.03,40.02,1.13,16.32,5.69,34.15,2.76,7.13,6.46,1.64,0.04,0.07,1.65,0.33,1.56,0.86,0.01
"154","Y. Atoo","Galamily","FWMF",25,1996,2.77,0.05,1.11,0.08,-0.03,1.19,0.03,-0.07,NA,16.26,-0.06,0.07,-0.1,0.02,-0.01,0.08,-0.09,-0.13,29.51,39.69,74.75,556.64,141.02,17.74,18.55,96.07,7.32,11.51,64.55,4.35,7.74,57.09,-0.02,0.15,-0.25,2.58,1.2,0.46,0.02,2.54,0.32,0.03,0.27,-0.01,0.09,-0.02,1.43,-0.07,1.44,14.86,2.98,20.07,4.03,4.48,6.37,1.9,0.06,0.08,1.84,0.65,1.18,0.81,0.03
"169","A. Azmi","Giumle Lizeibon","FW",23,1997,1.1,0.9,5.09,1.77,33.35,4.72,1.68,0.15,0.53,11.68,0.07,0.04,0.09,0.36,0.34,0.15,0.53,0.51,26.67,32.57,82.02,426.66,85.73,15.87,19.23,82.67,8.26,10.84,76.88,2.44,2.55,99.97,0.05,0.15,-0.02,0.74,2.53,1.62,0.05,3.3,2.5,1.76,-0.09,2.53,0,1.77,1.68,100.04,0.05,11.73,3.28,28.7,0.91,8.26,2.55,0.77,0.82,-0.08,0.02,0.03,2.48,0.92,0.04
"170","I. Peeters","Giumle Lizeibon","FW",28,1992,0.17,0.1,10,10.01,100.03,12.82,12.96,0,-0.04,8.59,0.06,0.05,-0.09,0.98,0.96,0.14,-0.91,-1,10.06,10.07,99.94,90.02,-0.03,9.96,10.07,99.97,0.01,-0.02,NA,0.1,-0.08,NA,-0.04,0.01,0.1,-0.08,0.09,-0.02,0.08,0.1,10.07,9.92,0.05,10.01,-0.02,0.04,-0.06,NA,0.04,10.01,10.01,99.99,0.07,9.95,-0.02,-0.1,0.04,0.03,-0.06,-0.05,9.96,0.05,0.04
"171","M. Omony","Giumle Lizeibon","FW",21,1999,2.63,0.38,1.04,0.74,66.71,1.12,0.82,0.28,0.52,12.07,0.06,-0.06,0.01,0.19,0.13,0.01,0.33,0.29,25.66,33.6,75.72,352.94,69.5,17.33,20.45,85.51,6.27,8.11,77.22,1.16,2.18,49.95,0.03,0.06,0.02,0.44,1.46,0.04,0.02,1.49,2.99,2.3,1.42,0.77,0.72,1.02,1.85,59.92,0.66,21.42,7.48,34.56,5.51,8.07,7.72,0.72,0.1,0.04,0.77,0.42,3.43,0.7,0.01
"172","V. Jankowski","Giumle Lizeibon","FW",31,1989,2.39,0.46,3.29,1.16,37.52,3.22,1.15,0.14,0.33,17.63,-0.02,-0.01,0.01,0.5,0.54,0.18,-0.24,-0.15,19.25,28,68.67,278.87,49.95,11.37,16.34,69.18,6.68,7.83,84.22,0.46,1.22,33.23,0.06,0.09,-0.01,1.61,0.83,1.73,0.34,1.19,0.47,0.35,0.03,0.52,-0.08,-0.08,0.01,NA,0.06,13.35,2.54,18.72,0.8,5.41,7.01,0.38,-0.06,-0.02,0.48,0.48,0.91,0.45,-0.05
"173","X. Seidu","Giumle Lizeibon","FW",26,1994,0.97,-0.01,1.02,0.07,0.06,1.08,0.03,0.09,NA,24.26,-0.07,0.05,-0.1,0.04,-0.01,0,0.03,0.08,37.91,43.95,86.39,543.98,90.02,21.96,25.01,87.92,7.95,8.94,88.84,4.07,4.09,99.96,0.02,0.65,-0.52,3.06,0.98,0.97,1.02,1.02,0.97,0.94,0.02,0.97,-0.06,0.06,0.95,-0.09,0.98,16.95,3.08,17.51,6.01,6.96,4.07,0.02,-0.07,0.08,0.06,1.04,1.98,1,0.06
"174","R. Zamani","Giumle Lizeibon","FWMF",23,1997,3.74,0.07,0.62,0.25,49.94,0.55,0.31,0.01,-0.1,17.05,0.09,-0.03,0.03,0,-0.07,0.09,-0.07,-0.12,22.18,30.35,73.3,339.5,81.47,12.75,14.84,85.53,7.35,7.79,93.04,1.67,5.18,31.51,0.3,0.07,0.17,0.76,1.82,0.73,0.03,2.62,3.04,1.65,1.89,1.07,-0.01,0.18,3.85,7.18,3.47,40.83,12.95,31.71,12.48,19.21,9.24,1.28,0.07,0.09,1.45,0.44,3.55,0.55,-0.03
"175","Z. Matsui","Giumle Lizeibon","FWMF",26,1994,1.23,0.89,2.49,1.68,66.69,2.45,1.6,0.28,0.47,11.54,-0.08,-0.02,-0.07,0.27,0.36,0.11,0.41,0.57,19.19,22.43,85.26,256.77,30,10.04,10.78,92.26,6.7,9.24,72.67,0.09,-0.04,NA,0.04,0.11,-0.14,0.85,-0.04,0.8,0.09,1.59,1.75,1.73,1.64,-0.05,0.06,0.88,0.9,100,-0.02,19.24,4.25,21.69,1.7,8.34,9.23,2.56,1.63,-0.07,0.75,0.07,1.7,0,0.06
"176","Z. Testa","Giumle Lizeibon","FWMF",24,1996,0.29,0.09,0.03,0.04,NA,-0.1,-0.06,NA,NA,NA,0,-0.02,-0.05,0,0.05,NA,-0.02,-0.06,69.97,75.06,93.33,1350.02,470.03,30.02,30.06,99.95,19.91,24.94,79.91,15.09,15.06,99.92,0.09,0.42,-0.49,10.02,10.09,5.06,5.08,5.06,0.05,0.05,0.09,-0.05,-0.04,-0.09,-0.02,NA,-0.01,15.06,14.96,99.96,5.02,4.93,5.05,5.09,0,-0.08,5.08,0.01,0.02,-0.06,0.02
"183","H. Marroquín","Giumle Lizeibon","MFFW",31,1989,0.35,0.05,-0.03,-0.06,NA,-0.06,0.08,NA,NA,NA,0,0.06,-0.08,-0.09,0.09,NA,-0.02,0.07,43.39,49.94,86.74,710.1,410.06,26.77,29.94,88.93,13.36,16.79,80.07,3.35,3.4,100.05,-0.08,-0.02,-0.1,0,-0.09,0,-0.09,3.31,3.35,3.39,-0.09,3.3,0.08,0.09,0.05,NA,0.04,20.09,16.65,83.29,13.36,6.64,-0.08,6.62,-0.1,-0.06,6.6,-0.08,3.37,0.06,-0.08
"188","D. Groß","Greri Landmoslands","FW",21,1999,0.43,-0.06,7.45,2.4,33.26,7.49,2.6,-0.08,0.04,18.86,-0.03,-0.04,-0.06,0.31,0.25,-0.04,-0.22,-0.29,40.07,50.05,79.96,662.59,130.09,20.07,27.59,72.69,15.08,15.02,100.06,5.07,7.48,66.75,-0.05,0.06,-0.06,0.03,2.54,2.56,0.07,7.44,2.47,2.56,-0.04,2.46,-0.07,2.52,2.53,99.95,0.04,14.92,9.94,66.6,4.98,9.96,0.09,0.08,-0.05,0,-0.06,-0.03,2.51,0.1,-0.06
"189","K. Nasution","Greri Landmoslands","FW",25,1995,0.31,-0.08,7.52,2.46,33.35,6.96,2.35,0.06,-0.02,8.52,0.07,0.08,0.05,0.84,0.76,0.18,-0.67,-0.78,25.04,30.09,83.36,245.06,0.04,20.01,22.45,88.92,2.41,5.05,49.93,-0.06,-0.03,NA,-0.04,0.18,-0.34,5.01,-0.01,-0.08,0,0.09,-0.08,0.09,-0.07,0.01,0.06,0,-0.08,NA,0.07,12.52,4.96,40.06,0.05,5.02,7.41,2.48,-0.06,-0.09,2.53,-0.04,-0.1,-0.03,-0.06
"190","L. De Wit","Greri Landmoslands","FW",35,1985,4,1.17,2.99,0.93,33.35,3.02,1.09,0.13,0.44,19.64,0.73,0.84,0.75,1.27,0.68,0.29,0.06,-0.09,27.23,32.51,83.82,383.03,68.26,14.74,16.41,89.46,9.25,11.05,84.16,0.91,1.53,66.72,0.2,0.21,0.02,0.95,1.52,1.85,0.06,2.94,0.57,0.21,-0.07,0.32,0.34,-0.01,0.35,-0.03,0.21,9.41,3.55,36.75,-0.04,3.98,5.49,0.19,0.07,-0.03,0.22,0.15,0.83,0.59,-0.08
"191","B. Sugawara","Greri Landmoslands","FWMF",26,1994,2.6,-0.02,-0.08,0.02,NA,0,-0.02,NA,NA,NA,0.08,0.02,-0.03,0.06,0.09,NA,0.07,0.02,33.78,40.68,82.67,583.25,158.16,14.81,15.18,97.55,15.51,18.01,85.76,2.64,3.69,69.99,0,0.11,-0.18,1.77,2.87,1.44,0.07,4.13,2.21,1.52,0.44,1.4,0.31,0.41,1.41,24.93,1.15,17.81,4.49,24.93,4.78,7.05,5.93,0.74,-0.01,0.02,0.65,2.69,4.77,0.75,0.01
"192","E. Alowo","Greri Landmoslands","FWMF",24,1996,3.51,0.33,2.14,0.75,37.46,2.25,0.85,0.15,0.38,13.3,-0.07,0,0.03,0.44,0.46,0.14,-0.08,-0.08,24.5,29.72,82.2,388.63,54.14,13.08,14.61,88.69,8.35,10.25,81.17,2.3,2.72,79.93,0.25,0.38,0.09,1.45,1.48,0.08,0.09,0.81,1.04,0.48,0.06,0.86,0.29,-0.04,1.33,-0.02,1.34,16.19,3.06,18.95,3.92,8.52,3.69,0.64,0.08,-0.08,0.49,0.83,2.02,0.37,0.06
"193","I. Asante","Greri Landmoslands","FWMF",27,1993,0.55,-0.07,0.02,-0.06,NA,-0.05,0.07,NA,NA,NA,0.02,-0.08,-0.08,-0.04,0.07,NA,-0.03,-0.09,48.3,55.05,87.97,619.9,206.79,36.8,36.77,99.94,10.1,11.76,85.6,1.62,1.7,100,3.35,1.13,2.26,1.71,6.66,3.42,0.1,11.71,3.26,3.31,-0.08,1.7,1.61,0.06,-0.07,NA,-0.05,18.28,10.07,54.52,0.08,8.24,10.01,3.33,-0.03,0,3.24,0.04,3.36,-0.03,-0.07
"208","D. Mumbere","Ledian","FW",29,1991,2.58,-0.1,0.42,-0.03,0.06,0.39,0.04,-0.09,NA,13.09,0.08,-0.1,0.02,-0.02,0.08,0.13,0,0.05,20.02,24.97,80.06,325.85,71.82,13.75,15.9,87.85,3.38,3.44,99.95,2.26,4.3,54.59,0.01,-0.08,-0.04,0.44,1.87,0,0.05,1.64,0.42,-0.03,-0.02,0.34,-0.03,0.06,0.72,-0.06,0.81,21.41,3.13,14.31,7.25,7.24,6.94,1.11,0.02,-0.05,1.06,0.42,0.78,0.7,0.07
"209","F. Tayebwa","Ledian","FW",31,1989,0.37,-0.04,2.55,0.01,-0.03,2.58,-0.1,-0.1,NA,22.34,-0.09,-0.03,0.04,0.2,0.25,0,-0.3,-0.27,45.08,55.03,81.73,774.95,244.94,22.56,27.57,81.79,17.5,22.49,77.73,4.9,4.91,100.06,-0.03,-0.04,0.08,-0.08,5.03,-0.05,-0.05,5.04,2.58,2.54,2.42,-0.04,-0.08,2.5,5.03,50,2.41,22.49,2.44,11,12.56,4.91,4.94,-0.09,0.02,-0.04,0.08,-0.02,2.44,0.02,-0.04
"210","M. Filipovi?","Ledian","FW",18,2002,0.24,-0.04,0.09,-0.03,NA,-0.02,-0.04,NA,NA,NA,0.08,-0.05,-0.08,0.06,0.03,NA,0.02,0.02,16.71,16.65,99.93,320.07,3.27,3.4,3.36,100.05,9.98,10.01,99.99,3.31,3.26,100.04,-0.09,0.03,0.03,-0.05,-0.01,-0.05,0.08,0.01,-0.04,0.06,0.08,-0.02,0,0.07,3.3,-0.09,3.23,43.33,-0.1,0.03,3.29,23.4,16.6,0.03,0.08,0.06,-0.04,0,0.01,-0.01,0.04
"211","P. Khosravi","Ledian","FW",30,1991,-0.05,0.05,-0.05,-0.06,NA,0.02,-0.06,NA,NA,NA,-0.03,-0.01,0.07,0.08,-0.09,NA,0.04,0.07,1.1,1.06,99.93,5.04,-0.03,0.01,0.1,NA,0,0.09,NA,-0.04,0.01,NA,0,0.08,0,-0.07,0.07,-0.1,0.07,0.07,0.09,-0.01,0.06,0.1,0.08,-0.07,0.06,NA,0.01,2.01,0.97,50.04,1.06,0.93,-0.04,0.04,0.04,-0.04,0.09,0.05,0.09,0.02,-0.03
"212","P. Mukalazi","Ledian","FW",24,1996,1.93,0.04,1.47,-0.05,0.06,1.42,0.02,-0.05,NA,22.49,0.08,0.06,0.09,0.08,0.01,0.01,0.05,0.02,15.07,19.01,78.96,252.57,28.47,8.48,9.99,85.07,4.52,5.49,81.73,1.52,2.08,75.07,-0.05,-0.02,0.05,0.58,0.08,0.09,-0.08,-0.08,2.59,1.56,2.05,0.56,0.06,0.94,0.98,100.04,0.06,15.6,4.99,32.37,9,2.93,3.59,1.54,-0.09,-0.09,1.48,0.48,2.98,1.44,0
"213","V. Namayanja","Ledian","FW",26,1994,2.6,-0.06,0.79,0.09,-0.06,0.75,-0.08,-0.03,NA,20.91,0.04,-0.05,0.08,0.09,0.06,0.11,0.01,-0.08,28.45,35.19,80.63,561.62,84.79,13.18,16.81,78.55,10.5,11.6,89.76,4.88,6.5,74.98,0,0,-0.12,1.64,2.09,0.88,-0.06,1.91,1.55,1.13,0.71,0.71,-0.02,0.81,2.42,33.32,1.52,31.22,5.2,16.72,6.79,20.78,3.62,1.6,0.06,-0.09,1.67,0.02,1.5,2.01,-0.09
"214","B. Taremwa","Ledian","FWDF",25,1995,1.11,0.01,0.85,0.09,0.04,0.8,-0.04,-0.02,NA,6.95,0.02,-0.02,-0.02,-0.06,0.07,0.04,0.09,0.04,29.93,38.3,78.66,585.48,149.91,11.86,13.51,86.71,13.68,16.43,83.38,4.57,8.12,55.58,0.02,0.03,0.03,-0.06,0.87,1.9,0.83,1.91,1.74,1.77,0.84,0.84,0.05,0.85,3.7,25.03,2.68,26.46,6.28,24.05,12.74,8.99,4.55,1.75,-0.05,0.04,1.84,0.07,1.73,3.71,0.01
"215","Z. Apili","Ledian","FWMF",32,1988,0.62,-0.05,3.34,-0.09,-0.05,3.16,-0.01,-0.01,NA,23.12,0.01,0,0.07,0.21,0.11,-0.02,-0.11,-0.08,21.66,21.71,99.94,341.67,5.09,9.95,10.07,100.02,6.7,6.63,100,1.66,1.65,100.07,0.01,-0.03,0.04,-0.07,-0.09,0.01,0.07,-0.01,0.09,-0.07,0.1,0.1,0.02,-0.04,1.64,-0.08,1.6,28.4,1.71,5.96,4.99,11.79,11.67,-0.04,-0.04,0.03,0.05,0.09,-0.04,3.41,-0.02
"231","A. Lekuru","Leoneku Guidisia","DFFW",23,1997,0.18,-0.09,0.06,-0.02,NA,0.08,0.08,NA,NA,NA,-0.07,0.1,0.08,0.07,0.04,NA,0.07,0.09,9.93,30.09,33.28,169.95,49.9,-0.05,9.98,0.07,9.96,10.06,100.04,-0.02,0,NA,-0.09,0.01,-0.03,-0.06,10.01,-0.09,-0.06,0.05,0.06,0.05,0.08,-0.03,-0.01,0,-0.03,NA,0.08,39.99,-0.01,0,9.99,30.07,0.06,0.05,0.05,0.06,-0.08,-0.1,-0.04,0,0.05
"232","E. Mtetwa","Leoneku Guidisia","FW",26,1994,2.76,0.36,2.68,0.35,14.27,2.53,0.44,0.24,1.02,12.73,-0.07,0.04,-0.02,0.26,0.38,0.18,0.1,-0.02,12,18.86,62.69,198.48,40.6,6.73,10.77,62.13,3.76,4.87,76.83,1.44,2.18,66.64,-0.01,0.07,-0.07,0.67,0.7,-0.07,0.02,0.64,0.4,0.07,-0.1,-0.04,0.34,0.05,-0.02,NA,0,13.64,2.23,16.19,2.97,7.36,3.32,-0.01,-0.07,0.08,-0.08,0.28,0.68,1.14,-0.1
"233","J. Amsalem","Leoneku Guidisia","FW",30,1990,2.58,0.05,1.56,0.37,25.09,1.54,0.48,-0.07,-0.07,17.53,-0.03,-0.06,0.08,0.17,0.08,0.18,-0.07,-0.14,11.56,15.85,73.12,178.01,29.18,6.96,9.14,74.9,2.98,4.22,72.77,1.06,1.14,100.06,0.02,0.04,-0.13,1.1,0.81,1.24,0.33,1.22,0.48,0.1,0.07,0.09,0.48,0.1,-0.01,NA,0.04,29.19,4.68,15.85,2.24,16.46,10.34,0.81,0,0.07,0.75,0.06,0.28,0.33,-0.05
"234","N. Nabulime","Leoneku Guidisia","FW",22,1998,0.28,-0.01,-0.01,0.08,NA,0.01,-0.04,NA,NA,NA,0.01,0.09,-0.08,-0.02,0.01,NA,-0.05,-0.1,15.1,25.01,59.91,129.95,19.99,14.98,19.99,74.91,-0.04,-0.07,NA,-0.1,4.98,-0.03,0.04,0,-0.04,-0.01,0.07,-0.04,0,-0.07,-0.01,-0.04,0.01,-0.03,0.08,0.04,5.04,-0.04,4.99,24.93,-0.02,0.09,0.09,14.95,9.91,4.92,0.07,-0.02,5.05,0.03,-0.03,0.08,0.05
"235","Y. Bauer","Leoneku Guidisia","FW",21,1999,0,0.08,-0.08,-0.01,NA,0.04,-0.02,NA,NA,NA,-0.06,-0.03,-0.05,-0.03,-0.03,NA,-0.03,0,10.03,19.97,49.91,99.97,0.09,10.02,9.92,100,0.09,-0.05,NA,0.05,-0.02,NA,0.08,0.06,-0.01,0.08,0.05,-0.05,0.02,0.05,-0.02,-0.08,-0.04,0.07,0.01,-0.06,0,NA,-0.04,60.04,10.03,16.66,-0.04,40.07,20.02,-0.1,-0.04,-0.07,-0.06,0.08,-0.09,0.07,0.03
"241","F. ?ahin","Leoneku Guidisia","MFFW",30,1990,0.66,0.05,2.86,-0.05,0.03,2.92,0.09,-0.07,NA,27.57,0,0.02,-0.09,0.04,0.05,-0.04,0.09,0.01,34.24,44.36,77.43,589.93,119.92,18.59,18.51,100.09,12.91,18.6,69.2,2.86,5.8,50.04,0.02,-0.08,0.03,-0.02,2.83,1.42,0.06,2.8,1.48,1.43,1.52,-0.08,0.08,-0.05,1.46,-0.09,1.38,29.92,8.53,28.53,7.11,18.68,4.2,0,0,-0.06,0.06,0.07,1.48,1.5,-0.09
"249","F. Cheah","Manlisgamncent","FW",28,1992,0.52,1.62,3.27,1.72,49.92,3.32,1.6,0.58,0.98,9.4,0,0.08,0.03,1.71,1.7,0.56,0.01,-0.08,13.34,25.03,53.25,198.27,100.08,10.09,13.26,74.92,1.74,4.99,33.35,1.66,5.02,33.28,1.74,0.53,1.08,3.31,3.31,1.73,1.61,3.3,0.09,-0.01,-0.07,-0.1,-0.02,0.04,0,NA,0.02,19.95,3.26,16.65,1.58,11.66,6.57,3.41,0.08,0.09,3.24,1.71,1.69,-0.08,-0.06
"250","G. Muleya","Manlisgamncent","FW",27,1993,2.17,0.04,2.22,0.53,19.94,2.31,0.5,-0.05,-0.04,18.63,0.04,0.04,-0.09,0.17,0.18,0,-0.28,-0.24,10.5,19.44,53.58,144.55,32.79,6.74,9.95,68.24,3.66,6.35,57.13,0.03,1.33,0.03,-0.06,-0.01,-0.03,0.41,1.29,0.42,-0.07,0.97,1.78,1.33,0.92,0.45,0.49,0.97,0.83,99.92,-0.08,34.59,7.77,22.41,3.59,16.45,14.54,1.32,-0.06,-0.01,1.26,0.35,2.27,1.36,0.04
